,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2017-02-27,cookqu01,Quinn Cook,174,[<Position.POINT_GUARD: 'POINT GUARD'>],5.4,Location.HOME,MIAMI_HEAT,15,2,1040,1,5,0,3,0,0,0,2,2,0,0,2,-1.5
1,2017-03-01,cookqu01,Quinn Cook,174,[<Position.POINT_GUARD: 'POINT GUARD'>],7.5,Location.AWAY,ATLANTA_HAWKS,0,6,827,2,5,2,4,0,0,0,0,3,0,0,3,1.6
2,2017-03-03,cookqu01,Quinn Cook,174,[<Position.POINT_GUARD: 'POINT GUARD'>],8.5,Location.HOME,MEMPHIS_GRIZZLIES,14,5,927,2,5,1,4,0,0,0,0,3,0,0,1,3.0
3,2017-03-05,cookqu01,Quinn Cook,174,[<Position.POINT_GUARD: 'POINT GUARD'>],6.7,Location.HOME,OKLAHOMA_CITY_THUNDER,20,4,818,2,4,0,0,0,2,0,1,1,0,0,0,1.8
4,2017-03-07,cookqu01,Quinn Cook,174,[<Position.POINT_GUARD: 'POINT GUARD'>],15.5,Location.HOME,LOS_ANGELES_LAKERS,13,10,1002,4,6,2,3,0,0,0,0,3,1,0,2,8.1
5,2017-03-19,cookqu01,Quinn Cook,174,[<Position.POINT_GUARD: 'POINT GUARD'>],1.5,Location.HOME,MINNESOTA_TIMBERWOLVES,17,0,89,0,1,0,1,0,0,0,0,1,0,0,0,0.0
6,2017-03-21,cookqu01,Quinn Cook,174,[<Position.POINT_GUARD: 'POINT GUARD'>],0.0,Location.HOME,MEMPHIS_GRIZZLIES,14,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7,2017-03-26,cookqu01,Quinn Cook,174,[<Position.POINT_GUARD: 'POINT GUARD'>],8.7,Location.AWAY,DENVER_NUGGETS,7,3,363,1,2,1,2,0,0,0,1,1,1,0,0,3.6
8,2017-03-31,cookqu01,Quinn Cook,174,[<Position.POINT_GUARD: 'POINT GUARD'>],5.0,Location.HOME,SACRAMENTO_KINGS,25,5,196,2,2,1,1,0,0,0,0,0,0,0,0,4.0
9,2017-04-02,cookqu01,Quinn Cook,174,[<Position.POINT_GUARD: 'POINT GUARD'>],0.0,Location.HOME,CHICAGO_BULLS,4,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,2017-04-07,cookqu01,Quinn Cook,174,[<Position.POINT_GUARD: 'POINT GUARD'>],14.2,Location.AWAY,DENVER_NUGGETS,7,8,1415,4,9,0,1,0,0,0,1,4,0,0,1,5.0
11,2017-04-08,cookqu01,Quinn Cook,174,[<Position.POINT_GUARD: 'POINT GUARD'>],27.7,Location.AWAY,GOLDEN_STATE_WARRIORS,9,22,1676,10,13,2,3,0,1,0,1,3,0,0,0,18.5
12,2017-04-11,cookqu01,Quinn Cook,174,[<Position.POINT_GUARD: 'POINT GUARD'>],7.0,Location.AWAY,LOS_ANGELES_LAKERS,13,3,1594,1,7,1,3,0,0,0,0,4,0,0,2,-1.1
13,2017-04-12,cookqu01,Quinn Cook,174,[<Position.POINT_GUARD: 'POINT GUARD'>],17.7,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,11,1180,4,7,1,1,2,2,1,0,1,2,0,2,8.3
14,2017-10-21,cookqu01,Quinn Cook,174,[<Position.POINT_GUARD: 'POINT GUARD'>],2.0,Location.AWAY,MEMPHIS_GRIZZLIES,14,2,43,1,1,0,0,0,0,0,0,0,0,0,0,1.3
15,2017-11-13,cookqu01,Quinn Cook,174,[<Position.POINT_GUARD: 'POINT GUARD'>],0.0,Location.HOME,ORLANDO_MAGIC,21,0,300,0,0,0,0,0,0,0,0,0,0,0,0,-0.4
16,2017-11-24,cookqu01,Quinn Cook,174,[<Position.POINT_GUARD: 'POINT GUARD'>],12.9,Location.HOME,CHICAGO_BULLS,4,4,786,2,4,0,2,0,0,0,2,5,0,0,1,4.7
17,2017-12-06,cookqu01,Quinn Cook,174,[<Position.POINT_GUARD: 'POINT GUARD'>],15.100000000000001,Location.AWAY,CHARLOTTE_HORNETS,3,8,1344,3,7,2,4,0,0,1,2,3,0,0,1,6.7
18,2017-12-08,cookqu01,Quinn Cook,174,[<Position.POINT_GUARD: 'POINT GUARD'>],9.7,Location.AWAY,DETROIT_PISTONS,8,7,975,3,4,1,2,0,0,0,1,1,0,0,0,6.4
19,2017-12-11,cookqu01,Quinn Cook,174,[<Position.POINT_GUARD: 'POINT GUARD'>],5.7,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,3,590,1,2,0,1,1,1,0,1,1,0,0,0,3.0
20,2017-12-14,cookqu01,Quinn Cook,174,[<Position.POINT_GUARD: 'POINT GUARD'>],5.0,Location.HOME,DALLAS_MAVERICKS,6,3,516,1,2,1,2,0,0,0,0,2,0,0,1,0.8
21,2017-12-18,cookqu01,Quinn Cook,174,[<Position.POINT_GUARD: 'POINT GUARD'>],0.0,Location.AWAY,LOS_ANGELES_LAKERS,13,0,294,0,1,0,0,0,0,0,0,0,0,0,0,-0.7
22,2017-12-20,cookqu01,Quinn Cook,174,[<Position.POINT_GUARD: 'POINT GUARD'>],12.3,Location.HOME,MEMPHIS_GRIZZLIES,14,3,1123,1,7,1,3,0,0,1,3,3,0,0,0,1.4
23,2017-12-23,cookqu01,Quinn Cook,174,[<Position.POINT_GUARD: 'POINT GUARD'>],3.5,Location.HOME,DENVER_NUGGETS,7,2,212,1,1,0,0,0,0,0,0,1,0,0,0,2.4
24,2018-02-02,cookqu01,Quinn Cook,174,[<Position.POINT_GUARD: 'POINT GUARD'>],2.7,Location.AWAY,SACRAMENTO_KINGS,25,0,86,0,0,0,0,0,0,0,1,1,0,0,0,1.0
25,2018-02-24,cookqu01,Quinn Cook,174,[<Position.POINT_GUARD: 'POINT GUARD'>],7.2,Location.HOME,OKLAHOMA_CITY_THUNDER,20,6,371,2,3,2,2,0,0,1,0,0,0,0,0,5.4
26,2018-02-26,cookqu01,Quinn Cook,174,[<Position.POINT_GUARD: 'POINT GUARD'>],3.2,Location.AWAY,NEW_YORK_KNICKS,19,3,720,1,5,1,2,0,0,0,1,0,0,0,1,-1.2
27,2018-03-02,cookqu01,Quinn Cook,174,[<Position.POINT_GUARD: 'POINT GUARD'>],4.2,Location.AWAY,ATLANTA_HAWKS,0,4,751,1,2,0,1,2,2,0,1,0,0,0,1,1.9
28,2018-03-06,cookqu01,Quinn Cook,174,[<Position.POINT_GUARD: 'POINT GUARD'>],0.0,Location.HOME,BROOKLYN_NETS,2,0,79,0,1,0,1,0,0,0,0,0,0,0,0,-1.1
29,2018-03-08,cookqu01,Quinn Cook,174,[<Position.POINT_GUARD: 'POINT GUARD'>],3.7,Location.HOME,SAN_ANTONIO_SPURS,26,2,1292,1,6,0,3,0,0,0,1,1,0,0,1,-2.2
30,2018-03-09,cookqu01,Quinn Cook,174,[<Position.POINT_GUARD: 'POINT GUARD'>],9.2,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,8,1806,3,8,0,3,2,2,0,1,0,0,0,0,3.1
31,2018-03-11,cookqu01,Quinn Cook,174,[<Position.POINT_GUARD: 'POINT GUARD'>],8.8,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,4,1741,2,7,0,2,0,0,0,4,2,0,0,3,-1.7
32,2018-03-14,cookqu01,Quinn Cook,174,[<Position.POINT_GUARD: 'POINT GUARD'>],15.899999999999999,Location.HOME,LOS_ANGELES_LAKERS,13,13,1660,5,11,1,3,2,2,1,1,1,0,0,1,5.6
33,2018-03-16,cookqu01,Quinn Cook,174,[<Position.POINT_GUARD: 'POINT GUARD'>],42.3,Location.HOME,SACRAMENTO_KINGS,25,25,2414,10,13,5,7,0,0,0,4,3,3,0,1,24.4
34,2018-03-17,cookqu01,Quinn Cook,174,[<Position.POINT_GUARD: 'POINT GUARD'>],42.8,Location.AWAY,PHOENIX_SUNS,23,28,2400,11,17,5,7,1,1,0,4,4,2,0,2,24.1
35,2018-03-19,cookqu01,Quinn Cook,174,[<Position.POINT_GUARD: 'POINT GUARD'>],29.5,Location.AWAY,SAN_ANTONIO_SPURS,26,20,2259,8,18,2,8,2,4,0,5,5,0,0,4,9.6
36,2018-03-23,cookqu01,Quinn Cook,174,[<Position.POINT_GUARD: 'POINT GUARD'>],33.6,Location.HOME,ATLANTA_HAWKS,0,13,1916,5,11,1,3,2,2,1,7,6,1,0,1,13.1
37,2018-03-25,cookqu01,Quinn Cook,174,[<Position.POINT_GUARD: 'POINT GUARD'>],38.8,Location.HOME,UTAH_JAZZ,28,17,2096,7,15,1,2,2,2,0,4,8,1,1,1,16.4
38,2018-03-27,cookqu01,Quinn Cook,174,[<Position.POINT_GUARD: 'POINT GUARD'>],23.3,Location.HOME,INDIANA_PACERS,11,11,2172,5,17,1,6,0,0,1,3,7,0,0,3,4.2
39,2018-03-29,cookqu01,Quinn Cook,174,[<Position.POINT_GUARD: 'POINT GUARD'>],37.3,Location.HOME,MILWAUKEE_BUCKS,16,30,1928,12,15,5,5,1,1,0,4,3,0,0,2,23.6
