,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-25,crabbal01,Allen Crabbe,180,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],24.1,Location.HOME,UTAH_JAZZ,28,18,1749,6,10,4,5,2,2,0,3,3,0,0,2,13.6
1,2016-10-27,crabbal01,Allen Crabbe,180,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],17.2,Location.HOME,LOS_ANGELES_CLIPPERS,12,10,1895,3,7,0,2,4,4,0,1,4,0,0,0,7.8
2,2016-10-29,crabbal01,Allen Crabbe,180,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23.6,Location.AWAY,DENVER_NUGGETS,7,12,1733,4,10,1,4,3,3,0,3,4,1,0,1,9.1
3,2016-11-01,crabbal01,Allen Crabbe,180,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.2,Location.HOME,GOLDEN_STATE_WARRIORS,9,2,1204,1,2,0,1,0,0,1,0,0,1,0,1,0.9
4,2016-11-02,crabbal01,Allen Crabbe,180,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22.7,Location.AWAY,PHOENIX_SUNS,23,14,2249,5,9,2,5,2,2,0,1,3,1,0,0,11.5
5,2016-11-04,crabbal01,Allen Crabbe,180,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],24.7,Location.AWAY,DALLAS_MAVERICKS,6,4,1976,2,9,0,5,0,0,0,6,3,3,1,3,2.3
6,2016-11-06,crabbal01,Allen Crabbe,180,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.6,Location.AWAY,MEMPHIS_GRIZZLIES,14,6,1606,2,4,2,2,0,0,0,3,0,0,0,1,2.7
7,2016-11-08,crabbal01,Allen Crabbe,180,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.7,Location.HOME,PHOENIX_SUNS,23,5,1895,2,6,1,3,0,1,0,1,1,0,0,1,-0.8
8,2016-11-09,crabbal01,Allen Crabbe,180,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],11.9,Location.AWAY,LOS_ANGELES_CLIPPERS,12,9,1365,4,6,1,2,0,0,0,2,1,0,0,1,6.7
9,2016-11-11,crabbal01,Allen Crabbe,180,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],33.4,Location.HOME,SACRAMENTO_KINGS,25,16,2246,6,10,2,5,2,3,1,6,4,1,0,0,16.9
10,2016-11-13,crabbal01,Allen Crabbe,180,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.4,Location.HOME,DENVER_NUGGETS,7,4,1854,2,8,0,3,0,0,0,2,0,0,1,0,-0.7
11,2016-11-15,crabbal01,Allen Crabbe,180,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],27.3,Location.HOME,CHICAGO_BULLS,4,15,1992,6,12,3,7,0,0,1,3,1,1,1,0,12.6
12,2016-11-17,crabbal01,Allen Crabbe,180,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.7,Location.AWAY,HOUSTON_ROCKETS,10,5,1187,1,5,1,3,2,2,0,1,1,1,0,1,2.5
13,2016-11-18,crabbal01,Allen Crabbe,180,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],13.4,Location.AWAY,NEW_ORLEANS_PELICANS,18,9,1618,3,6,0,3,3,5,0,2,0,0,1,1,5.1
14,2016-11-20,crabbal01,Allen Crabbe,180,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],16.4,Location.AWAY,BROOKLYN_NETS,2,14,1797,5,10,4,7,0,0,1,1,0,0,0,0,9.6
15,2016-11-22,crabbal01,Allen Crabbe,180,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.6,Location.AWAY,NEW_YORK_KNICKS,19,7,1400,1,7,1,3,4,5,1,2,0,0,0,0,3.0
16,2016-11-23,crabbal01,Allen Crabbe,180,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],11.0,Location.AWAY,CLEVELAND_CAVALIERS,5,2,1419,1,6,0,2,0,0,1,4,2,0,0,0,1.5
