,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2019-10-23,culveja01,Jarrett Culver,186,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.4,Location.AWAY,BROOKLYN_NETS,2,4,946,2,5,0,2,0,0,1,1,0,1,0,2,1.3
1,2019-10-25,culveja01,Jarrett Culver,186,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.7,Location.AWAY,CHARLOTTE_HORNETS,3,0,823,0,3,0,1,0,0,1,0,1,1,0,0,-0.1
2,2019-10-27,culveja01,Jarrett Culver,186,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.7,Location.HOME,MIAMI_HEAT,15,2,765,1,3,0,2,0,1,0,1,1,0,0,1,-0.9
3,2019-10-30,culveja01,Jarrett Culver,186,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.5,Location.AWAY,PHILADELPHIA_76ERS,22,6,948,2,8,1,4,1,4,0,0,1,1,0,1,0.3
4,2019-11-02,culveja01,Jarrett Culver,186,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],24.5,Location.AWAY,WASHINGTON_WIZARDS,29,20,1571,8,17,4,9,0,2,1,4,1,1,0,6,6.5
5,2019-11-04,culveja01,Jarrett Culver,186,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.3,Location.HOME,MILWAUKEE_BUCKS,16,8,1448,3,11,2,5,0,0,1,3,1,1,0,2,1.6
6,2019-11-06,culveja01,Jarrett Culver,186,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],31.5,Location.AWAY,MEMPHIS_GRIZZLIES,14,15,1798,5,13,2,5,3,6,2,3,7,0,0,0,12.7
7,2019-11-08,culveja01,Jarrett Culver,186,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],11.8,Location.HOME,GOLDEN_STATE_WARRIORS,9,2,1370,0,5,0,2,2,4,0,4,4,0,0,1,-0.5
8,2019-11-10,culveja01,Jarrett Culver,186,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],26.1,Location.HOME,DENVER_NUGGETS,7,10,1835,4,9,0,4,2,4,1,2,3,2,1,1,8.4
9,2019-11-11,culveja01,Jarrett Culver,186,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],11.4,Location.AWAY,DETROIT_PISTONS,8,7,1353,3,8,1,2,0,0,0,2,2,0,0,1,2.4
10,2019-11-13,culveja01,Jarrett Culver,186,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],30.3,Location.HOME,SAN_ANTONIO_SPURS,26,12,1638,6,10,0,2,0,0,1,3,3,1,2,0,12.3
11,2019-11-15,culveja01,Jarrett Culver,186,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],26.1,Location.HOME,WASHINGTON_WIZARDS,29,11,1809,4,10,2,5,1,4,1,2,3,3,0,2,7.6
12,2019-11-16,culveja01,Jarrett Culver,186,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],19.2,Location.HOME,HOUSTON_ROCKETS,10,13,1723,5,11,2,5,1,4,1,0,2,2,0,4,5.8
13,2019-11-18,culveja01,Jarrett Culver,186,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],19.6,Location.AWAY,UTAH_JAZZ,28,5,1439,2,7,1,4,0,0,1,2,2,0,3,1,3.9
14,2019-11-20,culveja01,Jarrett Culver,186,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],16.8,Location.HOME,UTAH_JAZZ,28,10,1431,4,14,2,7,0,0,3,1,0,1,0,1,3.0
15,2019-11-23,culveja01,Jarrett Culver,186,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],26.5,Location.HOME,PHOENIX_SUNS,23,11,1616,5,13,1,5,0,0,0,5,3,0,2,1,6.3
16,2019-11-25,culveja01,Jarrett Culver,186,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],30.5,Location.AWAY,ATLANTA_HAWKS,0,14,1439,4,11,0,1,6,9,4,1,3,2,0,0,13.9
17,2019-11-27,culveja01,Jarrett Culver,186,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23.9,Location.AWAY,SAN_ANTONIO_SPURS,26,10,1533,4,13,2,6,0,0,0,2,5,1,1,2,5.9
18,2019-12-01,culveja01,Jarrett Culver,186,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],25.9,Location.HOME,MEMPHIS_GRIZZLIES,14,14,1536,6,12,1,4,1,4,1,6,1,1,0,1,9.2
19,2019-12-04,culveja01,Jarrett Culver,186,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],37.6,Location.AWAY,DALLAS_MAVERICKS,6,11,1695,4,10,1,4,2,2,3,5,6,1,2,1,14.8
20,2019-12-06,culveja01,Jarrett Culver,186,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],16.2,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,9,1587,4,13,0,6,1,2,0,1,0,2,0,0,3.0
21,2019-12-08,culveja01,Jarrett Culver,186,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],20.4,Location.AWAY,LOS_ANGELES_LAKERS,13,12,1384,5,6,1,1,1,2,1,1,4,0,0,0,12.8
22,2019-12-09,culveja01,Jarrett Culver,186,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.7,Location.AWAY,PHOENIX_SUNS,23,6,879,2,4,0,1,2,3,1,5,1,0,1,3,2.2
23,2019-12-11,culveja01,Jarrett Culver,186,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.1,Location.HOME,UTAH_JAZZ,28,4,1274,2,8,0,2,0,2,2,1,1,0,0,0,0.8
24,2019-12-13,culveja01,Jarrett Culver,186,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.4,Location.HOME,LOS_ANGELES_CLIPPERS,12,0,1054,0,5,0,3,0,0,1,1,0,0,0,0,-3.3
25,2019-12-20,culveja01,Jarrett Culver,186,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],18.1,Location.AWAY,DENVER_NUGGETS,7,2,766,1,6,0,3,0,0,2,1,1,2,2,1,3.0
26,2019-12-21,culveja01,Jarrett Culver,186,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.7,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,2,870,1,3,0,1,0,0,1,0,1,0,0,0,1.3
27,2019-12-23,culveja01,Jarrett Culver,186,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.4,Location.AWAY,GOLDEN_STATE_WARRIORS,9,0,822,0,2,0,0,0,0,0,2,0,0,1,1,-2.3
28,2019-12-26,culveja01,Jarrett Culver,186,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],16.4,Location.AWAY,SACRAMENTO_KINGS,25,5,863,2,7,0,2,1,3,0,2,0,2,1,0,3.4
29,2019-12-28,culveja01,Jarrett Culver,186,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22.6,Location.HOME,CLEVELAND_CAVALIERS,5,7,1425,3,7,1,2,0,2,2,1,0,2,3,3,3.7
30,2019-12-30,culveja01,Jarrett Culver,186,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],43.5,Location.HOME,BROOKLYN_NETS,2,21,2299,8,21,3,8,2,4,1,4,3,3,1,0,15.6
31,2020-01-01,culveja01,Jarrett Culver,186,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],31.1,Location.AWAY,MILWAUKEE_BUCKS,16,10,1976,5,14,0,5,0,1,1,7,5,1,1,2,6.2
32,2020-01-02,culveja01,Jarrett Culver,186,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],17.5,Location.HOME,GOLDEN_STATE_WARRIORS,9,10,1937,4,14,1,8,1,2,4,1,1,1,0,3,1.2
33,2020-01-05,culveja01,Jarrett Culver,186,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],39.1,Location.AWAY,CLEVELAND_CAVALIERS,5,14,1688,6,11,2,4,0,1,3,0,3,4,2,1,15.3
34,2020-01-07,culveja01,Jarrett Culver,186,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],36.5,Location.AWAY,MEMPHIS_GRIZZLIES,14,24,1697,8,11,3,5,5,7,2,3,1,2,0,1,20.7
35,2020-01-09,culveja01,Jarrett Culver,186,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],19.7,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,12,1802,6,13,0,1,0,0,2,4,1,0,1,4,4.9
36,2020-01-11,culveja01,Jarrett Culver,186,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],28.1,Location.AWAY,HOUSTON_ROCKETS,10,15,1988,6,14,3,6,0,0,2,6,5,0,0,4,10.3
37,2020-01-13,culveja01,Jarrett Culver,186,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],21.0,Location.HOME,OKLAHOMA_CITY_THUNDER,20,14,1912,7,15,0,2,0,0,2,3,2,0,0,2,8.0
38,2020-01-15,culveja01,Jarrett Culver,186,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],32.5,Location.HOME,INDIANA_PACERS,11,17,1875,8,13,1,2,0,0,2,3,1,2,1,1,15.8
39,2020-01-17,culveja01,Jarrett Culver,186,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23.3,Location.AWAY,INDIANA_PACERS,11,12,2136,4,11,1,5,3,4,1,3,1,1,1,1,8.1
40,2020-01-18,culveja01,Jarrett Culver,186,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],40.3,Location.HOME,TORONTO_RAPTORS,27,26,1830,8,16,4,10,6,9,1,3,1,1,2,1,19.3
