,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,cunnida01,Dante Cunningham,187,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.5,Location.HOME,DENVER_NUGGETS,7,0,510,0,2,0,1,0,0,0,0,1,0,0,1,-2.1
1,2016-10-28,cunnida01,Dante Cunningham,187,[<Position.POWER_FORWARD: 'POWER FORWARD'>],29.6,Location.HOME,GOLDEN_STATE_WARRIORS,9,15,1921,6,11,3,6,0,0,0,8,0,0,2,1,11.3
2,2016-10-29,cunnida01,Dante Cunningham,187,[<Position.POWER_FORWARD: 'POWER FORWARD'>],14.0,Location.AWAY,SAN_ANTONIO_SPURS,26,9,1366,3,5,2,3,1,2,2,3,0,0,0,1,6.4
3,2016-11-01,cunnida01,Dante Cunningham,187,[<Position.POWER_FORWARD: 'POWER FORWARD'>],14.5,Location.HOME,MILWAUKEE_BUCKS,16,4,2297,1,9,1,4,1,2,1,4,1,1,0,0,0.5
4,2016-11-02,cunnida01,Dante Cunningham,187,[<Position.POWER_FORWARD: 'POWER FORWARD'>],-1.0,Location.AWAY,MEMPHIS_GRIZZLIES,14,0,315,0,2,0,2,0,0,0,0,0,0,0,1,-2.4
5,2016-11-07,cunnida01,Dante Cunningham,187,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.7,Location.AWAY,GOLDEN_STATE_WARRIORS,9,8,1549,3,5,2,3,0,0,1,0,1,0,1,1,5.6
6,2016-11-08,cunnida01,Dante Cunningham,187,[<Position.POWER_FORWARD: 'POWER FORWARD'>],15.3,Location.AWAY,SACRAMENTO_KINGS,25,7,1393,3,5,1,2,0,1,0,4,1,0,1,1,5.1
7,2016-11-10,cunnida01,Dante Cunningham,187,[<Position.POWER_FORWARD: 'POWER FORWARD'>],20.3,Location.AWAY,MILWAUKEE_BUCKS,16,5,1139,2,8,1,5,0,0,0,4,1,2,1,0,4.0
8,2016-11-12,cunnida01,Dante Cunningham,187,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.3,Location.HOME,LOS_ANGELES_LAKERS,13,3,1061,1,3,1,2,0,0,1,3,1,1,0,0,4.6
9,2016-11-14,cunnida01,Dante Cunningham,187,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.2,Location.HOME,BOSTON_CELTICS,1,5,1405,2,4,1,3,0,0,0,1,0,0,0,1,1.9
10,2016-11-16,cunnida01,Dante Cunningham,187,[<Position.POWER_FORWARD: 'POWER FORWARD'>],24.799999999999997,Location.AWAY,ORLANDO_MAGIC,21,7,1952,3,9,1,2,0,0,3,6,0,2,1,2,6.5
11,2016-11-18,cunnida01,Dante Cunningham,187,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.6,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,4,1527,2,4,0,2,0,0,0,3,0,1,0,0,3.5
12,2016-11-19,cunnida01,Dante Cunningham,187,[<Position.POWER_FORWARD: 'POWER FORWARD'>],20.1,Location.HOME,CHARLOTTE_HORNETS,3,6,2560,2,8,2,3,0,0,4,4,1,1,0,0,4.9
13,2016-11-22,cunnida01,Dante Cunningham,187,[<Position.POWER_FORWARD: 'POWER FORWARD'>],25.5,Location.AWAY,ATLANTA_HAWKS,0,9,1500,4,7,1,1,0,0,1,4,1,0,3,0,9.6
14,2016-11-23,cunnida01,Dante Cunningham,187,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.4,Location.HOME,MINNESOTA_TIMBERWOLVES,17,2,698,1,2,0,0,0,0,0,2,0,1,1,1,1.5
15,2016-12-18,cunnida01,Dante Cunningham,187,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.7,Location.AWAY,SAN_ANTONIO_SPURS,26,6,1031,2,5,1,3,1,2,0,1,1,1,0,1,3.5
16,2016-12-20,cunnida01,Dante Cunningham,187,[<Position.POWER_FORWARD: 'POWER FORWARD'>],16.5,Location.AWAY,PHILADELPHIA_76ERS,22,9,1123,3,6,3,4,0,0,0,5,1,0,0,0,8.2
17,2016-12-21,cunnida01,Dante Cunningham,187,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.2,Location.HOME,OKLAHOMA_CITY_THUNDER,20,0,752,0,1,0,1,0,0,0,1,0,0,0,0,-0.8
18,2016-12-23,cunnida01,Dante Cunningham,187,[<Position.POWER_FORWARD: 'POWER FORWARD'>],21.2,Location.HOME,MIAMI_HEAT,15,5,2030,2,8,1,3,0,0,0,6,2,0,2,0,3.2
19,2016-12-26,cunnida01,Dante Cunningham,187,[<Position.POWER_FORWARD: 'POWER FORWARD'>],21.2,Location.HOME,DALLAS_MAVERICKS,6,11,2209,4,7,1,3,2,2,0,6,0,1,0,0,9.3
20,2016-12-28,cunnida01,Dante Cunningham,187,[<Position.POWER_FORWARD: 'POWER FORWARD'>],26.299999999999997,Location.HOME,LOS_ANGELES_CLIPPERS,12,6,1929,2,6,2,5,0,0,1,8,3,1,1,1,8.1
21,2016-12-30,cunnida01,Dante Cunningham,187,[<Position.POWER_FORWARD: 'POWER FORWARD'>],17.6,Location.HOME,NEW_YORK_KNICKS,19,8,2076,3,7,2,4,0,0,0,3,0,1,1,0,6.5
22,2017-01-02,cunnida01,Dante Cunningham,187,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.2,Location.AWAY,CLEVELAND_CAVALIERS,5,6,1963,3,5,0,1,0,0,0,6,0,0,0,1,3.7
23,2017-01-05,cunnida01,Dante Cunningham,187,[<Position.POWER_FORWARD: 'POWER FORWARD'>],14.5,Location.HOME,ATLANTA_HAWKS,0,5,1637,2,4,1,3,0,0,0,5,1,1,0,1,4.8
24,2017-01-07,cunnida01,Dante Cunningham,187,[<Position.POWER_FORWARD: 'POWER FORWARD'>],8.6,Location.AWAY,BOSTON_CELTICS,1,0,1444,0,4,0,3,0,0,1,2,0,2,0,1,-2.1
25,2017-01-09,cunnida01,Dante Cunningham,187,[<Position.POWER_FORWARD: 'POWER FORWARD'>],15.6,Location.AWAY,NEW_YORK_KNICKS,19,9,1826,3,5,3,3,0,0,1,2,0,1,0,0,8.6
26,2017-01-12,cunnida01,Dante Cunningham,187,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.0,Location.AWAY,BROOKLYN_NETS,2,4,1292,2,6,0,3,0,0,2,3,0,1,0,1,2.9
27,2017-01-14,cunnida01,Dante Cunningham,187,[<Position.POWER_FORWARD: 'POWER FORWARD'>],14.5,Location.AWAY,CHICAGO_BULLS,4,7,1111,3,7,1,4,0,0,1,4,1,0,0,0,4.7
28,2017-01-16,cunnida01,Dante Cunningham,187,[<Position.POWER_FORWARD: 'POWER FORWARD'>],8.4,Location.AWAY,INDIANA_PACERS,11,3,1863,1,7,1,5,0,0,1,1,0,1,0,0,-0.3
29,2017-01-18,cunnida01,Dante Cunningham,187,[<Position.POWER_FORWARD: 'POWER FORWARD'>],20.0,Location.HOME,ORLANDO_MAGIC,21,14,1647,7,11,0,3,0,0,2,3,0,0,0,0,11.0
30,2017-01-20,cunnida01,Dante Cunningham,187,[<Position.POWER_FORWARD: 'POWER FORWARD'>],25.9,Location.HOME,BROOKLYN_NETS,2,14,1822,5,7,4,6,0,0,3,4,1,0,1,1,13.6
31,2017-01-23,cunnida01,Dante Cunningham,187,[<Position.POWER_FORWARD: 'POWER FORWARD'>],24.2,Location.HOME,CLEVELAND_CAVALIERS,5,11,1830,4,10,2,7,1,2,1,5,2,0,1,0,8.3
32,2017-01-25,cunnida01,Dante Cunningham,187,[<Position.POWER_FORWARD: 'POWER FORWARD'>],23.2,Location.HOME,OKLAHOMA_CITY_THUNDER,20,7,1527,3,5,1,2,0,0,1,5,0,0,3,0,8.6
33,2017-01-27,cunnida01,Dante Cunningham,187,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7.9,Location.HOME,SAN_ANTONIO_SPURS,26,4,1748,2,4,0,2,0,0,0,2,1,0,0,0,2.9
34,2017-01-29,cunnida01,Dante Cunningham,187,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.8,Location.HOME,WASHINGTON_WIZARDS,29,5,1280,2,4,1,3,0,0,2,2,2,0,0,0,6.4
35,2017-01-31,cunnida01,Dante Cunningham,187,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.2,Location.AWAY,TORONTO_RAPTORS,27,0,360,0,0,0,0,0,0,1,0,0,0,0,0,0.7
36,2017-02-01,cunnida01,Dante Cunningham,187,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7.4,Location.AWAY,DETROIT_PISTONS,8,2,1306,1,2,0,1,0,0,0,2,2,0,0,0,3.0
37,2017-02-04,cunnida01,Dante Cunningham,187,[<Position.POWER_FORWARD: 'POWER FORWARD'>],11.6,Location.AWAY,WASHINGTON_WIZARDS,29,5,1163,2,3,0,0,1,1,1,2,0,1,0,0,5.6
38,2017-02-06,cunnida01,Dante Cunningham,187,[<Position.POWER_FORWARD: 'POWER FORWARD'>],18.0,Location.HOME,PHOENIX_SUNS,23,6,1216,3,5,0,0,0,0,1,4,0,1,1,0,6.9
39,2017-02-08,cunnida01,Dante Cunningham,187,[<Position.POWER_FORWARD: 'POWER FORWARD'>],14.8,Location.HOME,UTAH_JAZZ,28,4,1410,2,4,0,1,0,0,0,4,2,1,0,0,4.8
40,2017-02-10,cunnida01,Dante Cunningham,187,[<Position.POWER_FORWARD: 'POWER FORWARD'>],20.3,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,12,2297,4,8,3,5,1,2,0,4,1,0,1,1,8.4
41,2017-02-12,cunnida01,Dante Cunningham,187,[<Position.POWER_FORWARD: 'POWER FORWARD'>],23.2,Location.AWAY,SACRAMENTO_KINGS,25,14,2285,5,12,4,7,0,0,1,5,2,0,0,1,9.0
42,2017-02-23,cunnida01,Dante Cunningham,187,[<Position.POWER_FORWARD: 'POWER FORWARD'>],13.3,Location.HOME,HOUSTON_ROCKETS,10,5,1509,2,3,1,2,0,0,1,3,1,1,0,1,4.4
43,2017-02-25,cunnida01,Dante Cunningham,187,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.6,Location.AWAY,DALLAS_MAVERICKS,6,2,1042,1,2,0,1,0,0,0,3,0,0,0,0,1.9
44,2017-02-26,cunnida01,Dante Cunningham,187,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.2,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,3,1289,1,2,1,2,0,0,0,1,0,0,0,1,0.5
