,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,curryse01,Seth Curry,188,[<Position.POINT_GUARD: 'POINT GUARD'>],24.1,Location.AWAY,INDIANA_PACERS,11,7,945,3,4,1,2,0,0,0,3,1,3,1,0,8.3
1,2016-10-28,curryse01,Seth Curry,188,[<Position.POINT_GUARD: 'POINT GUARD'>],9.5,Location.HOME,HOUSTON_ROCKETS,10,8,1223,3,6,1,4,1,1,0,0,1,0,0,0,4.1
2,2016-10-30,curryse01,Seth Curry,188,[<Position.POINT_GUARD: 'POINT GUARD'>],4.6,Location.AWAY,HOUSTON_ROCKETS,10,0,1428,0,4,0,2,0,0,0,3,2,0,0,2,-2.5
3,2016-11-02,curryse01,Seth Curry,188,[<Position.POINT_GUARD: 'POINT GUARD'>],8.7,Location.AWAY,UTAH_JAZZ,28,6,887,3,4,0,1,0,0,0,1,1,0,0,0,5.4
4,2016-11-04,curryse01,Seth Curry,188,[<Position.POINT_GUARD: 'POINT GUARD'>],15.100000000000001,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,8,1533,3,8,2,5,0,0,1,2,1,1,0,1,4.8
5,2016-11-06,curryse01,Seth Curry,188,[<Position.POINT_GUARD: 'POINT GUARD'>],9.0,Location.HOME,MILWAUKEE_BUCKS,16,7,1496,3,7,1,4,0,0,0,0,2,0,0,1,3.7
6,2016-11-08,curryse01,Seth Curry,188,[<Position.POINT_GUARD: 'POINT GUARD'>],41.8,Location.AWAY,LOS_ANGELES_LAKERS,13,23,1881,9,15,4,7,1,2,1,3,4,3,0,1,21.3
7,2016-11-09,curryse01,Seth Curry,188,[<Position.POINT_GUARD: 'POINT GUARD'>],42.7,Location.AWAY,GOLDEN_STATE_WARRIORS,9,10,2103,4,17,2,9,0,1,0,1,9,5,2,3,8.1
8,2016-11-14,curryse01,Seth Curry,188,[<Position.POINT_GUARD: 'POINT GUARD'>],21.5,Location.AWAY,NEW_YORK_KNICKS,19,9,1819,4,12,1,7,0,0,2,3,3,1,0,1,6.6
9,2016-11-16,curryse01,Seth Curry,188,[<Position.POINT_GUARD: 'POINT GUARD'>],14.8,Location.AWAY,BOSTON_CELTICS,1,6,1936,3,7,0,1,0,0,0,4,4,0,0,2,3.9
10,2016-11-18,curryse01,Seth Curry,188,[<Position.POINT_GUARD: 'POINT GUARD'>],17.8,Location.HOME,MEMPHIS_GRIZZLIES,14,11,2042,4,14,2,4,1,1,2,2,2,0,0,1,4.0
11,2016-11-19,curryse01,Seth Curry,188,[<Position.POINT_GUARD: 'POINT GUARD'>],24.2,Location.AWAY,ORLANDO_MAGIC,21,13,2124,4,12,2,5,3,4,0,1,4,2,0,2,8.5
12,2016-11-21,curryse01,Seth Curry,188,[<Position.POINT_GUARD: 'POINT GUARD'>],30.4,Location.AWAY,SAN_ANTONIO_SPURS,26,23,2149,9,16,5,10,0,1,0,2,4,1,0,4,14.2
13,2016-11-23,curryse01,Seth Curry,188,[<Position.POINT_GUARD: 'POINT GUARD'>],13.2,Location.HOME,LOS_ANGELES_CLIPPERS,12,7,1724,3,7,0,2,1,1,0,1,2,1,0,1,4.2
14,2016-11-25,curryse01,Seth Curry,188,[<Position.POINT_GUARD: 'POINT GUARD'>],19.3,Location.AWAY,CLEVELAND_CAVALIERS,5,13,1564,5,13,0,6,3,3,0,4,3,0,0,3,5.0
15,2016-11-27,curryse01,Seth Curry,188,[<Position.POINT_GUARD: 'POINT GUARD'>],17.0,Location.HOME,NEW_ORLEANS_PELICANS,18,10,2014,4,8,0,2,2,2,1,4,2,0,0,2,6.5
16,2016-11-30,curryse01,Seth Curry,188,[<Position.POINT_GUARD: 'POINT GUARD'>],19.4,Location.HOME,SAN_ANTONIO_SPURS,26,14,1652,5,11,2,5,2,2,1,1,0,1,0,0,10.3
17,2016-12-09,curryse01,Seth Curry,188,[<Position.POINT_GUARD: 'POINT GUARD'>],14.0,Location.HOME,INDIANA_PACERS,11,4,1481,2,8,0,3,0,1,0,0,6,1,0,2,1.6
18,2016-12-10,curryse01,Seth Curry,188,[<Position.POINT_GUARD: 'POINT GUARD'>],18.1,Location.AWAY,HOUSTON_ROCKETS,10,7,1585,3,5,1,2,0,0,0,3,3,1,0,0,8.3
19,2016-12-12,curryse01,Seth Curry,188,[<Position.POINT_GUARD: 'POINT GUARD'>],18.0,Location.HOME,DENVER_NUGGETS,7,10,983,4,7,2,3,0,0,0,0,4,1,0,1,8.3
20,2016-12-14,curryse01,Seth Curry,188,[<Position.POINT_GUARD: 'POINT GUARD'>],16.0,Location.HOME,DETROIT_PISTONS,8,7,1372,3,8,1,1,0,0,0,0,2,2,0,0,4.8
21,2016-12-16,curryse01,Seth Curry,188,[<Position.POINT_GUARD: 'POINT GUARD'>],25.0,Location.AWAY,UTAH_JAZZ,28,13,1666,5,11,3,5,0,1,0,5,4,0,0,0,10.8
22,2016-12-18,curryse01,Seth Curry,188,[<Position.POINT_GUARD: 'POINT GUARD'>],29.0,Location.HOME,SACRAMENTO_KINGS,25,13,1723,5,10,3,6,0,0,0,5,4,2,0,2,12.3
23,2016-12-19,curryse01,Seth Curry,188,[<Position.POINT_GUARD: 'POINT GUARD'>],20.8,Location.AWAY,DENVER_NUGGETS,7,14,1562,5,7,2,3,2,2,1,3,2,0,0,1,13.1
24,2016-12-21,curryse01,Seth Curry,188,[<Position.POINT_GUARD: 'POINT GUARD'>],16.0,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,12,1436,4,10,4,8,0,0,0,0,0,2,0,2,6.2
25,2016-12-23,curryse01,Seth Curry,188,[<Position.POINT_GUARD: 'POINT GUARD'>],23.7,Location.AWAY,LOS_ANGELES_CLIPPERS,12,3,1494,1,4,1,2,0,0,1,0,7,3,0,0,9.2
