,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-29,danietr01,Troy Daniels,190,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.5,Location.AWAY,NEW_YORK_KNICKS,19,4,726,1,5,0,3,2,2,0,0,1,0,0,0,0.8
1,2016-11-01,danietr01,Troy Daniels,190,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.5,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,0,720,0,5,0,4,0,0,0,0,1,0,0,0,-2.8
2,2016-11-04,danietr01,Troy Daniels,190,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],-1.0,Location.HOME,LOS_ANGELES_CLIPPERS,12,0,352,0,2,0,2,0,0,0,0,0,0,0,1,-2.4
3,2016-11-21,danietr01,Troy Daniels,190,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,CHARLOTTE_HORNETS,3,0,107,0,1,0,1,0,0,0,0,0,0,0,0,-0.7
4,2016-11-23,danietr01,Troy Daniels,190,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.3,Location.AWAY,PHILADELPHIA_76ERS,22,6,1407,2,7,2,5,0,0,0,4,1,1,0,0,4.8
5,2016-11-25,danietr01,Troy Daniels,190,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.6,Location.HOME,MIAMI_HEAT,15,3,1136,1,5,1,4,0,0,1,2,0,0,0,2,-1.2
6,2016-11-28,danietr01,Troy Daniels,190,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.7,Location.HOME,CHARLOTTE_HORNETS,3,0,842,0,3,0,2,0,0,0,1,1,0,1,0,-0.8
7,2016-11-30,danietr01,Troy Daniels,190,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23.7,Location.AWAY,TORONTO_RAPTORS,27,19,1276,6,12,4,8,3,3,1,0,1,1,0,1,14.4
8,2016-12-01,danietr01,Troy Daniels,190,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22.9,Location.HOME,ORLANDO_MAGIC,21,19,1710,6,9,3,5,4,5,0,2,1,0,0,0,15.6
9,2016-12-03,danietr01,Troy Daniels,190,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],45.4,Location.HOME,LOS_ANGELES_LAKERS,13,31,2061,12,23,6,12,1,3,1,1,4,1,1,0,23.6
10,2016-12-05,danietr01,Troy Daniels,190,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],32.5,Location.AWAY,NEW_ORLEANS_PELICANS,18,29,2612,10,20,7,11,2,2,0,0,3,0,0,1,19.3
11,2016-12-06,danietr01,Troy Daniels,190,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.7,Location.HOME,PHILADELPHIA_76ERS,22,10,1481,4,14,1,8,1,1,0,1,1,1,0,0,1.8
12,2016-12-08,danietr01,Troy Daniels,190,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.4,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,5,1895,2,12,1,4,0,0,0,2,0,1,0,1,-2.8
13,2016-12-10,danietr01,Troy Daniels,190,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],16.1,Location.HOME,GOLDEN_STATE_WARRIORS,9,5,1294,2,9,1,6,0,1,2,1,1,1,1,0,2.0
14,2016-12-13,danietr01,Troy Daniels,190,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.9,Location.AWAY,CLEVELAND_CAVALIERS,5,5,1222,1,6,1,5,2,2,0,2,1,0,0,2,0.1
15,2016-12-14,danietr01,Troy Daniels,190,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],21.9,Location.HOME,CLEVELAND_CAVALIERS,5,20,1328,7,13,4,8,2,2,1,1,1,0,0,2,11.8
16,2016-12-16,danietr01,Troy Daniels,190,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],18.6,Location.HOME,SACRAMENTO_KINGS,25,13,1651,4,11,4,9,1,1,1,2,0,0,1,1,7.1
17,2016-12-18,danietr01,Troy Daniels,190,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],-1.0,Location.HOME,UTAH_JAZZ,28,0,661,0,1,0,0,0,0,0,0,0,0,0,1,-2.9
18,2016-12-20,danietr01,Troy Daniels,190,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],27.4,Location.HOME,BOSTON_CELTICS,1,24,2104,8,13,4,7,4,4,0,2,0,1,0,2,16.5
19,2016-12-21,danietr01,Troy Daniels,190,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.2,Location.AWAY,DETROIT_PISTONS,8,6,1001,2,9,2,8,0,0,0,1,0,1,0,0,1.4
20,2016-12-23,danietr01,Troy Daniels,190,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.4,Location.HOME,HOUSTON_ROCKETS,10,5,592,1,1,1,1,2,3,1,1,0,0,0,0,5.3
21,2016-12-26,danietr01,Troy Daniels,190,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],25.3,Location.AWAY,ORLANDO_MAGIC,21,16,1186,5,12,4,8,2,3,1,3,1,1,0,0,12.5
22,2016-12-27,danietr01,Troy Daniels,190,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.0,Location.AWAY,BOSTON_CELTICS,1,8,1209,3,10,2,8,0,0,0,0,0,0,0,0,1.8
23,2016-12-29,danietr01,Troy Daniels,190,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],28.6,Location.HOME,OKLAHOMA_CITY_THUNDER,20,22,1067,8,12,6,8,0,0,1,2,2,0,0,0,18.3
24,2016-12-31,danietr01,Troy Daniels,190,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],13.7,Location.AWAY,SACRAMENTO_KINGS,25,11,710,4,8,3,5,0,0,0,1,1,0,0,0,7.2
25,2017-01-03,danietr01,Troy Daniels,190,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.9,Location.AWAY,LOS_ANGELES_LAKERS,13,9,1126,3,7,3,7,0,0,0,2,1,1,0,0,7.6
