,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,davisan02,Anthony Davis,191,[<Position.CENTER: 'CENTER'>],99.5,Location.HOME,DENVER_NUGGETS,7,50,2474,17,34,0,2,16,17,1,14,5,5,4,3,44.2
1,2016-10-28,davisan02,Anthony Davis,191,[<Position.CENTER: 'CENTER'>],80.9,Location.HOME,GOLDEN_STATE_WARRIORS,9,45,2398,17,31,1,2,10,14,6,11,3,2,2,1,39.7
2,2016-10-29,davisan02,Anthony Davis,191,[<Position.CENTER: 'CENTER'>],32.0,Location.AWAY,SAN_ANTONIO_SPURS,26,18,1895,6,15,0,0,6,8,0,5,0,0,3,1,11.3
3,2016-11-01,davisan02,Anthony Davis,191,[<Position.CENTER: 'CENTER'>],73.0,Location.HOME,MILWAUKEE_BUCKS,16,35,2230,9,21,0,3,17,18,3,12,2,3,3,1,33.9
4,2016-11-02,davisan02,Anthony Davis,191,[<Position.CENTER: 'CENTER'>],29.9,Location.AWAY,MEMPHIS_GRIZZLIES,14,10,2140,3,13,1,4,3,5,1,6,1,2,3,5,1.6
5,2016-11-04,davisan02,Anthony Davis,191,[<Position.CENTER: 'CENTER'>],51.0,Location.HOME,PHOENIX_SUNS,23,22,2553,7,11,0,1,8,12,1,9,2,1,4,1,22.7
6,2016-11-07,davisan02,Anthony Davis,191,[<Position.CENTER: 'CENTER'>],47.1,Location.AWAY,GOLDEN_STATE_WARRIORS,9,33,2100,11,18,1,2,10,13,1,12,1,0,0,3,25.2
7,2016-11-08,davisan02,Anthony Davis,191,[<Position.CENTER: 'CENTER'>],60.1,Location.AWAY,SACRAMENTO_KINGS,25,34,2197,14,22,0,2,6,7,1,7,1,2,4,3,28.3
8,2016-11-10,davisan02,Anthony Davis,191,[<Position.CENTER: 'CENTER'>],58.6,Location.AWAY,MILWAUKEE_BUCKS,16,30,2487,11,24,0,0,8,8,3,5,2,2,4,2,24.2
9,2016-11-12,davisan02,Anthony Davis,191,[<Position.CENTER: 'CENTER'>],51.6,Location.HOME,LOS_ANGELES_LAKERS,13,34,2091,13,26,0,2,8,11,1,7,2,0,2,1,24.4
10,2016-11-14,davisan02,Anthony Davis,191,[<Position.CENTER: 'CENTER'>],55.2,Location.HOME,BOSTON_CELTICS,1,25,2300,7,22,0,1,11,13,1,15,0,4,2,7,14.4
11,2016-11-18,davisan02,Anthony Davis,191,[<Position.CENTER: 'CENTER'>],73.8,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,38,2201,14,22,2,5,8,10,0,9,6,2,4,2,36.3
