,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-25,dedmode01,Dewayne Dedmon,196,[<Position.CENTER: 'CENTER'>],19.6,Location.AWAY,GOLDEN_STATE_WARRIORS,9,2,994,1,4,0,0,0,0,4,4,0,1,2,1,3.8
1,2016-10-27,dedmode01,Dewayne Dedmon,196,[<Position.CENTER: 'CENTER'>],32.4,Location.AWAY,SACRAMENTO_KINGS,25,12,1453,5,6,0,0,2,2,4,3,0,0,4,0,14.7
2,2016-10-29,dedmode01,Dewayne Dedmon,196,[<Position.CENTER: 'CENTER'>],21.2,Location.HOME,NEW_ORLEANS_PELICANS,18,5,957,2,4,0,0,1,2,1,5,0,1,2,0,6.8
3,2016-10-30,dedmode01,Dewayne Dedmon,196,[<Position.CENTER: 'CENTER'>],20.1,Location.AWAY,MIAMI_HEAT,15,9,985,2,5,0,0,5,6,4,4,1,0,0,0,9.0
4,2016-11-01,dedmode01,Dewayne Dedmon,196,[<Position.CENTER: 'CENTER'>],6.0,Location.HOME,UTAH_JAZZ,28,1,736,0,3,0,0,1,2,1,4,0,0,0,1,-1.8
5,2016-11-04,dedmode01,Dewayne Dedmon,196,[<Position.CENTER: 'CENTER'>],24.6,Location.AWAY,UTAH_JAZZ,28,6,747,3,5,0,0,0,0,1,7,0,0,3,0,7.4
6,2016-11-05,dedmode01,Dewayne Dedmon,196,[<Position.CENTER: 'CENTER'>],12.6,Location.HOME,LOS_ANGELES_CLIPPERS,12,4,1117,2,4,0,0,0,0,0,3,0,1,1,1,2.0
7,2016-11-09,dedmode01,Dewayne Dedmon,196,[<Position.CENTER: 'CENTER'>],1.0,Location.HOME,HOUSTON_ROCKETS,10,1,249,0,0,0,0,1,2,0,0,0,0,0,0,0.6
8,2016-11-11,dedmode01,Dewayne Dedmon,196,[<Position.CENTER: 'CENTER'>],5.9,Location.HOME,DETROIT_PISTONS,8,0,349,0,0,0,0,0,0,1,1,1,1,0,1,0.9
9,2016-11-12,dedmode01,Dewayne Dedmon,196,[<Position.CENTER: 'CENTER'>],12.2,Location.AWAY,HOUSTON_ROCKETS,10,2,438,1,2,0,0,0,0,1,0,0,2,1,0,4.4
10,2016-11-14,dedmode01,Dewayne Dedmon,196,[<Position.CENTER: 'CENTER'>],11.2,Location.HOME,MIAMI_HEAT,15,0,614,0,3,0,0,0,0,3,3,0,0,2,2,-0.9
11,2016-11-29,dedmode01,Dewayne Dedmon,196,[<Position.CENTER: 'CENTER'>],23.6,Location.HOME,ORLANDO_MAGIC,21,6,1029,3,4,0,0,0,1,1,7,0,1,2,1,7.4
12,2016-11-30,dedmode01,Dewayne Dedmon,196,[<Position.CENTER: 'CENTER'>],33.0,Location.AWAY,DALLAS_MAVERICKS,6,6,1569,2,5,0,0,2,2,1,9,0,2,3,0,10.4
13,2016-12-02,dedmode01,Dewayne Dedmon,196,[<Position.CENTER: 'CENTER'>],3.8,Location.HOME,WASHINGTON_WIZARDS,29,0,462,0,2,0,0,0,0,1,3,0,0,0,1,-2.0
14,2016-12-05,dedmode01,Dewayne Dedmon,196,[<Position.CENTER: 'CENTER'>],19.2,Location.AWAY,MILWAUKEE_BUCKS,16,10,853,5,5,0,0,0,1,4,2,0,0,1,1,10.4
15,2016-12-06,dedmode01,Dewayne Dedmon,196,[<Position.CENTER: 'CENTER'>],14.6,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,5,1436,2,2,0,0,1,2,1,7,0,0,0,0,6.0
16,2016-12-08,dedmode01,Dewayne Dedmon,196,[<Position.CENTER: 'CENTER'>],11.4,Location.AWAY,CHICAGO_BULLS,4,0,798,0,0,0,0,0,0,1,6,0,0,1,0,1.6
17,2016-12-10,dedmode01,Dewayne Dedmon,196,[<Position.CENTER: 'CENTER'>],15.2,Location.HOME,BROOKLYN_NETS,2,5,501,2,2,0,0,1,1,0,6,2,0,0,0,7.2
18,2016-12-14,dedmode01,Dewayne Dedmon,196,[<Position.CENTER: 'CENTER'>],18.0,Location.HOME,BOSTON_CELTICS,1,10,965,5,6,0,0,0,0,1,4,0,1,0,1,8.5
19,2016-12-15,dedmode01,Dewayne Dedmon,196,[<Position.CENTER: 'CENTER'>],24.799999999999997,Location.AWAY,PHOENIX_SUNS,23,11,1403,5,6,0,0,1,2,1,8,0,0,1,0,11.4
20,2016-12-18,dedmode01,Dewayne Dedmon,196,[<Position.CENTER: 'CENTER'>],13.4,Location.HOME,NEW_ORLEANS_PELICANS,18,6,996,3,7,0,0,0,0,0,2,2,0,1,1,3.2
21,2016-12-20,dedmode01,Dewayne Dedmon,196,[<Position.CENTER: 'CENTER'>],2.5999999999999996,Location.AWAY,HOUSTON_ROCKETS,10,0,654,0,0,0,0,0,0,2,1,0,0,0,1,-0.1
22,2016-12-22,dedmode01,Dewayne Dedmon,196,[<Position.CENTER: 'CENTER'>],14.2,Location.AWAY,LOS_ANGELES_CLIPPERS,12,4,905,1,3,0,0,2,2,1,5,2,0,0,0,5.9
23,2016-12-23,dedmode01,Dewayne Dedmon,196,[<Position.CENTER: 'CENTER'>],20.4,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,6,1621,2,4,0,0,2,2,2,5,0,0,2,0,7.1
24,2016-12-25,dedmode01,Dewayne Dedmon,196,[<Position.CENTER: 'CENTER'>],17.2,Location.HOME,CHICAGO_BULLS,4,9,894,4,5,0,0,1,1,2,4,2,0,0,2,7.9
25,2016-12-28,dedmode01,Dewayne Dedmon,196,[<Position.CENTER: 'CENTER'>],14.8,Location.HOME,PHOENIX_SUNS,23,5,888,2,4,0,0,1,2,1,3,0,2,0,1,4.0
26,2016-12-30,dedmode01,Dewayne Dedmon,196,[<Position.CENTER: 'CENTER'>],13.1,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,3,803,1,1,0,0,1,2,2,6,1,0,0,1,4.0
27,2017-01-01,dedmode01,Dewayne Dedmon,196,[<Position.CENTER: 'CENTER'>],1.4,Location.AWAY,ATLANTA_HAWKS,0,0,343,0,1,0,0,0,0,0,2,0,0,0,1,-1.9
28,2017-01-03,dedmode01,Dewayne Dedmon,196,[<Position.CENTER: 'CENTER'>],13.2,Location.HOME,TORONTO_RAPTORS,27,3,1462,1,1,0,0,1,2,2,4,0,0,1,0,4.4
29,2017-01-05,dedmode01,Dewayne Dedmon,196,[<Position.CENTER: 'CENTER'>],7.1,Location.AWAY,DENVER_NUGGETS,7,2,760,1,2,0,0,0,0,1,2,1,0,0,0,2.2
30,2017-01-07,dedmode01,Dewayne Dedmon,196,[<Position.CENTER: 'CENTER'>],37.5,Location.HOME,CHARLOTTE_HORNETS,3,15,1368,6,6,0,0,3,4,1,9,1,2,1,0,17.6
31,2017-01-10,dedmode01,Dewayne Dedmon,196,[<Position.CENTER: 'CENTER'>],19.4,Location.HOME,MILWAUKEE_BUCKS,16,5,1193,2,6,0,0,1,2,4,3,0,1,1,0,6.6
32,2017-01-12,dedmode01,Dewayne Dedmon,196,[<Position.CENTER: 'CENTER'>],31.4,Location.HOME,LOS_ANGELES_LAKERS,13,6,1246,2,3,0,0,2,2,3,9,2,1,2,1,11.5
33,2017-01-14,dedmode01,Dewayne Dedmon,196,[<Position.CENTER: 'CENTER'>],14.100000000000001,Location.AWAY,PHOENIX_SUNS,23,2,847,1,1,0,0,0,0,1,2,1,2,1,2,4.0
34,2017-01-17,dedmode01,Dewayne Dedmon,196,[<Position.CENTER: 'CENTER'>],17.6,Location.HOME,MINNESOTA_TIMBERWOLVES,17,5,1158,2,4,0,0,1,2,2,6,0,1,0,0,5.6
35,2017-01-19,dedmode01,Dewayne Dedmon,196,[<Position.CENTER: 'CENTER'>],19.3,Location.HOME,DENVER_NUGGETS,7,7,1144,3,5,0,0,1,1,0,4,1,2,0,0,7.0
36,2017-01-21,dedmode01,Dewayne Dedmon,196,[<Position.CENTER: 'CENTER'>],6.8,Location.AWAY,CLEVELAND_CAVALIERS,5,2,587,1,2,0,0,0,0,0,4,0,0,0,0,1.8
37,2017-01-23,dedmode01,Dewayne Dedmon,196,[<Position.CENTER: 'CENTER'>],25.1,Location.AWAY,BROOKLYN_NETS,2,10,1731,4,5,0,0,2,2,1,7,1,1,1,2,9.7
38,2017-01-24,dedmode01,Dewayne Dedmon,196,[<Position.CENTER: 'CENTER'>],15.0,Location.AWAY,TORONTO_RAPTORS,27,7,1131,2,3,0,0,3,4,2,3,2,0,0,1,7.2
39,2017-01-27,dedmode01,Dewayne Dedmon,196,[<Position.CENTER: 'CENTER'>],7.5,Location.AWAY,NEW_ORLEANS_PELICANS,18,0,495,0,1,0,0,0,0,1,4,1,0,0,0,1.5
40,2017-01-29,dedmode01,Dewayne Dedmon,196,[<Position.CENTER: 'CENTER'>],9.2,Location.HOME,DALLAS_MAVERICKS,6,2,839,1,2,0,0,0,0,0,6,0,0,0,0,1.6
41,2017-01-31,dedmode01,Dewayne Dedmon,196,[<Position.CENTER: 'CENTER'>],26.6,Location.HOME,OKLAHOMA_CITY_THUNDER,20,6,1021,2,3,0,0,2,2,2,6,0,3,1,1,9.0
42,2017-02-02,dedmode01,Dewayne Dedmon,196,[<Position.CENTER: 'CENTER'>],30.5,Location.HOME,PHILADELPHIA_76ERS,22,13,1340,5,7,0,0,3,3,2,8,1,0,2,2,12.4
