,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,dellama01,Matthew Dellavedova,200,[<Position.POINT_GUARD: 'POINT GUARD'>],17.1,Location.HOME,CHARLOTTE_HORNETS,3,11,1747,5,10,1,3,0,0,0,3,3,0,0,2,5.8
1,2016-10-29,dellama01,Matthew Dellavedova,200,[<Position.POINT_GUARD: 'POINT GUARD'>],39.1,Location.HOME,BROOKLYN_NETS,2,14,2169,5,10,0,1,4,4,1,2,9,3,0,1,17.0
2,2016-10-30,dellama01,Matthew Dellavedova,200,[<Position.POINT_GUARD: 'POINT GUARD'>],17.9,Location.AWAY,DETROIT_PISTONS,8,10,1857,4,7,2,3,0,0,1,1,5,0,0,2,9.2
3,2016-11-01,dellama01,Matthew Dellavedova,200,[<Position.POINT_GUARD: 'POINT GUARD'>],32.8,Location.AWAY,NEW_ORLEANS_PELICANS,18,11,1737,4,8,2,4,1,1,0,4,8,2,0,1,13.6
4,2016-11-03,dellama01,Matthew Dellavedova,200,[<Position.POINT_GUARD: 'POINT GUARD'>],11.399999999999999,Location.HOME,INDIANA_PACERS,11,5,1427,2,6,0,3,1,1,0,2,4,1,0,5,-1.0
5,2016-11-05,dellama01,Matthew Dellavedova,200,[<Position.POINT_GUARD: 'POINT GUARD'>],26.0,Location.HOME,SACRAMENTO_KINGS,25,10,1262,4,7,2,3,0,0,1,4,4,2,0,2,11.4
6,2016-11-06,dellama01,Matthew Dellavedova,200,[<Position.POINT_GUARD: 'POINT GUARD'>],12.0,Location.AWAY,DALLAS_MAVERICKS,6,2,1989,1,7,0,3,0,0,0,5,6,0,0,5,-2.2
7,2016-11-10,dellama01,Matthew Dellavedova,200,[<Position.POINT_GUARD: 'POINT GUARD'>],29.0,Location.HOME,NEW_ORLEANS_PELICANS,18,7,1730,2,7,0,2,3,5,1,4,12,0,0,2,10.0
8,2016-11-12,dellama01,Matthew Dellavedova,200,[<Position.POINT_GUARD: 'POINT GUARD'>],9.4,Location.HOME,MEMPHIS_GRIZZLIES,14,4,1539,2,4,0,1,0,0,1,1,2,0,0,0,3.6
9,2016-11-16,dellama01,Matthew Dellavedova,200,[<Position.POINT_GUARD: 'POINT GUARD'>],21.7,Location.AWAY,ATLANTA_HAWKS,0,8,1612,3,9,2,5,0,0,0,1,7,1,0,1,8.1
10,2016-11-17,dellama01,Matthew Dellavedova,200,[<Position.POINT_GUARD: 'POINT GUARD'>],19.3,Location.AWAY,MIAMI_HEAT,15,0,1890,0,7,0,1,0,0,0,4,9,1,0,2,1.6
11,2016-11-19,dellama01,Matthew Dellavedova,200,[<Position.POINT_GUARD: 'POINT GUARD'>],23.1,Location.HOME,GOLDEN_STATE_WARRIORS,9,10,2018,4,7,1,1,1,1,0,3,5,1,0,1,9.9
12,2016-11-21,dellama01,Matthew Dellavedova,200,[<Position.POINT_GUARD: 'POINT GUARD'>],11.2,Location.HOME,ORLANDO_MAGIC,21,7,1591,3,7,1,5,0,0,0,1,4,1,0,6,-0.2
13,2016-11-25,dellama01,Matthew Dellavedova,200,[<Position.POINT_GUARD: 'POINT GUARD'>],27.6,Location.HOME,TORONTO_RAPTORS,27,11,1761,4,9,3,5,0,1,1,2,8,1,0,2,11.0
14,2016-11-27,dellama01,Matthew Dellavedova,200,[<Position.POINT_GUARD: 'POINT GUARD'>],23.2,Location.AWAY,ORLANDO_MAGIC,21,8,1871,3,13,2,7,0,0,0,1,8,1,0,1,5.2
15,2016-11-29,dellama01,Matthew Dellavedova,200,[<Position.POINT_GUARD: 'POINT GUARD'>],21.1,Location.HOME,CLEVELAND_CAVALIERS,5,3,1517,1,5,0,1,1,1,0,3,7,2,0,2,4.5
16,2016-12-01,dellama01,Matthew Dellavedova,200,[<Position.POINT_GUARD: 'POINT GUARD'>],16.0,Location.AWAY,BROOKLYN_NETS,2,9,1429,3,6,3,4,0,0,0,0,4,1,0,2,7.0
17,2016-12-03,dellama01,Matthew Dellavedova,200,[<Position.POINT_GUARD: 'POINT GUARD'>],28.4,Location.HOME,BROOKLYN_NETS,2,18,1613,6,10,0,2,6,6,1,1,6,0,0,1,16.8
18,2016-12-05,dellama01,Matthew Dellavedova,200,[<Position.POINT_GUARD: 'POINT GUARD'>],10.0,Location.HOME,SAN_ANTONIO_SPURS,26,8,1896,3,8,1,3,1,1,0,0,2,0,0,1,3.2
19,2016-12-07,dellama01,Matthew Dellavedova,200,[<Position.POINT_GUARD: 'POINT GUARD'>],21.3,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,17,1434,7,11,3,5,0,0,1,3,1,0,0,2,11.6
