,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2018-10-16,diallha01,Hamidou Diallo,205,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.7,Location.AWAY,GOLDEN_STATE_WARRIORS,9,4,517,2,4,0,0,0,1,0,1,1,1,0,0,2.8
1,2018-10-19,diallha01,Hamidou Diallo,205,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.6,Location.AWAY,LOS_ANGELES_CLIPPERS,12,3,512,0,1,0,0,3,4,2,1,0,0,0,0,2.4
2,2018-10-21,diallha01,Hamidou Diallo,205,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],20.2,Location.HOME,SACRAMENTO_KINGS,25,11,1265,5,7,1,2,0,0,1,0,2,2,0,1,10.0
3,2018-10-25,diallha01,Hamidou Diallo,205,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23.0,Location.HOME,BOSTON_CELTICS,1,6,1174,3,7,0,0,0,0,2,3,0,1,3,1,6.3
4,2018-10-30,diallha01,Hamidou Diallo,205,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.6,Location.HOME,LOS_ANGELES_CLIPPERS,12,4,649,1,5,0,1,2,2,1,2,0,1,0,1,1.0
5,2018-11-01,diallha01,Hamidou Diallo,205,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.4,Location.AWAY,CHARLOTTE_HORNETS,3,6,646,3,4,0,1,0,0,2,0,0,0,0,0,5.4
6,2018-11-02,diallha01,Hamidou Diallo,205,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.8,Location.AWAY,WASHINGTON_WIZARDS,29,7,1123,2,5,0,1,3,4,1,3,0,1,0,0,6.5
7,2018-11-05,diallha01,Hamidou Diallo,205,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.0,Location.HOME,NEW_ORLEANS_PELICANS,18,4,648,2,4,0,1,0,1,0,0,0,2,0,0,2.8
8,2018-11-07,diallha01,Hamidou Diallo,205,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],13.6,Location.AWAY,CLEVELAND_CAVALIERS,5,8,789,3,7,0,2,2,2,0,3,0,1,0,1,3.6
9,2018-11-08,diallha01,Hamidou Diallo,205,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.8,Location.HOME,HOUSTON_ROCKETS,10,5,702,2,4,0,1,1,2,2,2,0,0,0,1,3.2
10,2018-11-10,diallha01,Hamidou Diallo,205,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.9,Location.AWAY,DALLAS_MAVERICKS,6,0,439,0,3,0,0,0,0,2,0,1,0,0,0,-0.4
11,2018-11-12,diallha01,Hamidou Diallo,205,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],11.2,Location.HOME,PHOENIX_SUNS,23,9,839,3,7,0,1,3,3,0,1,0,1,0,2,3.8
12,2018-11-14,diallha01,Hamidou Diallo,205,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],21.8,Location.HOME,NEW_YORK_KNICKS,19,11,1166,5,11,1,1,0,0,2,2,0,2,0,0,8.5
13,2018-11-17,diallha01,Hamidou Diallo,205,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.3,Location.AWAY,PHOENIX_SUNS,23,1,1150,0,1,0,0,1,2,2,2,1,0,0,0,2.6
