,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-25,diawbo01,Boris Diaw,206,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4.6,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,2,1930,1,8,0,3,0,0,1,2,0,0,0,1,-4.9
1,2016-10-28,diawbo01,Boris Diaw,206,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.6,Location.HOME,LOS_ANGELES_LAKERS,13,0,1104,0,1,0,0,0,0,1,2,2,0,0,1,0.6
2,2016-10-30,diawbo01,Boris Diaw,206,[<Position.POWER_FORWARD: 'POWER FORWARD'>],-2.8,Location.AWAY,LOS_ANGELES_CLIPPERS,12,0,1125,0,2,0,1,0,0,0,1,0,0,0,4,-5.1
3,2016-11-14,diawbo01,Boris Diaw,206,[<Position.POWER_FORWARD: 'POWER FORWARD'>],11.7,Location.HOME,MEMPHIS_GRIZZLIES,14,6,1230,3,4,0,0,0,0,1,0,1,1,0,0,4.8
4,2016-11-17,diawbo01,Boris Diaw,206,[<Position.POWER_FORWARD: 'POWER FORWARD'>],2.2,Location.HOME,CHICAGO_BULLS,4,3,1297,1,6,1,4,0,0,0,1,0,0,0,2,-3.3
5,2016-11-20,diawbo01,Boris Diaw,206,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.9,Location.AWAY,DENVER_NUGGETS,7,2,469,0,0,0,0,2,2,1,1,1,0,0,0,3.7
6,2016-11-23,diawbo01,Boris Diaw,206,[<Position.POWER_FORWARD: 'POWER FORWARD'>],19.1,Location.HOME,DENVER_NUGGETS,7,11,1355,4,7,1,2,2,3,0,3,3,0,0,0,10.3
7,2016-11-25,diawbo01,Boris Diaw,206,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.1,Location.HOME,ATLANTA_HAWKS,0,2,1147,1,6,0,4,0,0,1,2,3,0,0,1,-0.2
8,2016-11-28,diawbo01,Boris Diaw,206,[<Position.POWER_FORWARD: 'POWER FORWARD'>],20.9,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,7,1730,3,3,1,1,0,0,1,1,5,2,0,2,9.4
9,2016-11-29,diawbo01,Boris Diaw,206,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7.9,Location.HOME,HOUSTON_ROCKETS,10,4,761,2,2,0,0,0,0,0,2,1,0,0,0,3.9
10,2016-12-01,diawbo01,Boris Diaw,206,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.19999999999999996,Location.HOME,MIAMI_HEAT,15,0,814,0,4,0,2,0,0,0,1,0,0,0,1,-4.3
11,2016-12-03,diawbo01,Boris Diaw,206,[<Position.POWER_FORWARD: 'POWER FORWARD'>],17.2,Location.HOME,DENVER_NUGGETS,7,4,1363,2,5,0,1,0,0,1,5,4,0,0,0,6.3
12,2016-12-05,diawbo01,Boris Diaw,206,[<Position.POWER_FORWARD: 'POWER FORWARD'>],20.4,Location.AWAY,LOS_ANGELES_LAKERS,13,12,1570,5,5,2,2,0,0,0,2,4,0,0,0,13.1
13,2016-12-06,diawbo01,Boris Diaw,206,[<Position.POWER_FORWARD: 'POWER FORWARD'>],24.8,Location.HOME,PHOENIX_SUNS,23,13,2003,5,11,1,5,2,2,1,3,6,0,0,2,10.7
14,2016-12-08,diawbo01,Boris Diaw,206,[<Position.POWER_FORWARD: 'POWER FORWARD'>],13.3,Location.HOME,GOLDEN_STATE_WARRIORS,9,8,1571,4,7,0,2,0,0,3,1,3,0,0,4,4.8
15,2016-12-10,diawbo01,Boris Diaw,206,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.699999999999999,Location.HOME,SACRAMENTO_KINGS,25,7,1037,3,4,1,1,0,0,0,1,1,0,0,4,2.0
16,2016-12-14,diawbo01,Boris Diaw,206,[<Position.POWER_FORWARD: 'POWER FORWARD'>],8.2,Location.HOME,OKLAHOMA_CITY_THUNDER,20,2,1511,1,6,0,0,0,0,1,0,6,0,0,4,-1.3
17,2016-12-16,diawbo01,Boris Diaw,206,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.4,Location.HOME,DALLAS_MAVERICKS,6,4,1066,2,2,0,0,0,0,1,1,2,0,0,0,4.6
18,2016-12-18,diawbo01,Boris Diaw,206,[<Position.POWER_FORWARD: 'POWER FORWARD'>],20.7,Location.AWAY,MEMPHIS_GRIZZLIES,14,11,1801,4,5,1,1,2,2,1,5,3,0,0,2,11.0
19,2016-12-20,diawbo01,Boris Diaw,206,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.0999999999999996,Location.AWAY,GOLDEN_STATE_WARRIORS,9,2,933,1,5,0,0,0,0,0,3,1,0,0,4,-3.5
