,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-12-10,dinwisp01,Spencer Dinwiddie,208,[<Position.POINT_GUARD: 'POINT GUARD'>],13.2,Location.AWAY,SAN_ANTONIO_SPURS,26,4,594,2,3,0,0,0,0,0,1,2,2,0,1,5.4
1,2016-12-12,dinwisp01,Spencer Dinwiddie,208,[<Position.POINT_GUARD: 'POINT GUARD'>],5.0,Location.AWAY,HOUSTON_ROCKETS,10,0,209,0,1,0,0,0,0,0,0,2,0,1,1,0.0
2,2016-12-14,dinwisp01,Spencer Dinwiddie,208,[<Position.POINT_GUARD: 'POINT GUARD'>],4.7,Location.HOME,LOS_ANGELES_LAKERS,13,0,802,0,3,0,1,0,0,1,0,1,1,0,1,-1.5
3,2016-12-16,dinwisp01,Spencer Dinwiddie,208,[<Position.POINT_GUARD: 'POINT GUARD'>],-2.0,Location.AWAY,ORLANDO_MAGIC,21,0,290,0,0,0,0,0,0,0,0,0,0,0,2,-2.4
4,2016-12-20,dinwisp01,Spencer Dinwiddie,208,[<Position.POINT_GUARD: 'POINT GUARD'>],20.3,Location.AWAY,TORONTO_RAPTORS,27,14,1323,4,9,0,3,6,7,1,3,1,0,1,3,7.3
5,2016-12-22,dinwisp01,Spencer Dinwiddie,208,[<Position.POINT_GUARD: 'POINT GUARD'>],2.0,Location.HOME,GOLDEN_STATE_WARRIORS,9,2,680,1,3,0,0,0,0,0,0,0,0,0,0,0.3
6,2016-12-23,dinwisp01,Spencer Dinwiddie,208,[<Position.POINT_GUARD: 'POINT GUARD'>],24.1,Location.AWAY,CLEVELAND_CAVALIERS,5,13,1266,6,7,1,1,0,1,1,2,3,1,0,0,13.7
7,2016-12-28,dinwisp01,Spencer Dinwiddie,208,[<Position.POINT_GUARD: 'POINT GUARD'>],8.2,Location.AWAY,CHICAGO_BULLS,4,2,891,0,3,0,0,2,2,0,1,0,2,0,1,-0.4
8,2016-12-30,dinwisp01,Spencer Dinwiddie,208,[<Position.POINT_GUARD: 'POINT GUARD'>],4.5,Location.AWAY,WASHINGTON_WIZARDS,29,4,1357,2,2,0,0,0,0,0,0,3,0,0,4,0.7
9,2017-01-02,dinwisp01,Spencer Dinwiddie,208,[<Position.POINT_GUARD: 'POINT GUARD'>],16.2,Location.HOME,UTAH_JAZZ,28,7,775,3,6,0,2,1,3,0,1,4,1,0,1,6.3
10,2017-01-05,dinwisp01,Spencer Dinwiddie,208,[<Position.POINT_GUARD: 'POINT GUARD'>],29.1,Location.AWAY,INDIANA_PACERS,11,13,1944,4,7,1,1,4,4,1,2,3,1,2,1,13.3
11,2017-01-06,dinwisp01,Spencer Dinwiddie,208,[<Position.POINT_GUARD: 'POINT GUARD'>],14.0,Location.HOME,CLEVELAND_CAVALIERS,5,7,1066,2,3,0,0,3,3,0,5,2,0,0,2,4.6
