,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2017-10-19,dotsoda01,Damyean Dotson,213,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,0,168,0,1,0,0,0,0,0,0,0,0,0,0,-0.7
1,2017-10-24,dotsoda01,Damyean Dotson,213,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.2,Location.AWAY,BOSTON_CELTICS,1,0,284,0,0,0,0,0,0,0,1,0,0,0,0,0.3
2,2017-10-27,dotsoda01,Damyean Dotson,213,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.2,Location.HOME,BROOKLYN_NETS,2,0,384,0,4,0,2,0,0,1,0,0,0,0,0,-2.1
3,2017-10-30,dotsoda01,Damyean Dotson,213,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.0,Location.HOME,DENVER_NUGGETS,7,0,372,0,1,0,1,0,0,1,4,2,0,0,0,2.6
4,2017-11-01,dotsoda01,Damyean Dotson,213,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.1,Location.HOME,HOUSTON_ROCKETS,10,9,1031,4,5,0,1,1,1,0,3,1,0,0,0,7.9
5,2017-11-08,dotsoda01,Damyean Dotson,213,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.19999999999999996,Location.AWAY,ORLANDO_MAGIC,21,0,111,0,0,0,0,0,0,0,1,0,0,0,1,-0.7
6,2017-11-11,dotsoda01,Damyean Dotson,213,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.7,Location.HOME,SACRAMENTO_KINGS,25,14,859,6,9,2,3,0,0,0,1,1,0,0,2,7.9
7,2017-11-13,dotsoda01,Damyean Dotson,213,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,CLEVELAND_CAVALIERS,5,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0.0
8,2017-11-17,dotsoda01,Damyean Dotson,213,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,TORONTO_RAPTORS,27,0,199,0,1,0,1,0,0,0,0,0,0,0,0,-0.7
9,2017-11-20,dotsoda01,Damyean Dotson,213,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.9,Location.HOME,LOS_ANGELES_CLIPPERS,12,3,666,1,2,1,2,0,0,0,2,1,0,0,0,3.3
