,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2019-11-23,doumbse01,Sekou Doumbouya,215,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.AWAY,MILWAUKEE_BUCKS,16,0,134,0,1,0,1,0,0,0,0,0,0,0,0,-0.7
1,2019-12-01,doumbse01,Sekou Doumbouya,215,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],4.0,Location.HOME,SAN_ANTONIO_SPURS,26,4,155,2,2,0,0,0,1,0,0,0,0,0,0,3.0
2,2019-12-03,doumbse01,Sekou Doumbouya,215,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],4.4,Location.AWAY,CLEVELAND_CAVALIERS,5,2,229,1,3,0,0,0,0,0,2,0,0,0,0,0.1
3,2019-12-04,doumbse01,Sekou Doumbouya,215,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.HOME,MILWAUKEE_BUCKS,16,0,161,0,0,0,0,0,0,0,0,0,0,0,0,-0.4
4,2019-12-20,doumbse01,Sekou Doumbouya,215,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],5.2,Location.AWAY,BOSTON_CELTICS,1,2,590,1,5,0,2,0,0,0,1,0,1,0,1,-0.8
5,2019-12-23,doumbse01,Sekou Doumbouya,215,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],2.2,Location.HOME,PHILADELPHIA_76ERS,22,1,58,0,0,0,0,1,2,0,1,0,0,0,0,0.9
6,2019-12-30,doumbse01,Sekou Doumbouya,215,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.AWAY,UTAH_JAZZ,28,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7,2020-01-02,doumbse01,Sekou Doumbouya,215,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],26.2,Location.AWAY,LOS_ANGELES_CLIPPERS,12,10,1626,4,11,0,4,2,3,4,7,0,1,0,0,7.4
8,2020-01-04,doumbse01,Sekou Doumbouya,215,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],38.0,Location.AWAY,GOLDEN_STATE_WARRIORS,9,16,2294,6,10,4,7,0,1,0,10,2,2,1,2,14.5
9,2020-01-05,doumbse01,Sekou Doumbouya,215,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],19.0,Location.AWAY,LOS_ANGELES_LAKERS,13,11,2041,4,12,1,4,2,2,0,5,0,0,1,1,3.0
10,2020-01-07,doumbse01,Sekou Doumbouya,215,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],25.4,Location.AWAY,CLEVELAND_CAVALIERS,5,15,2002,6,9,0,1,3,4,1,1,0,3,0,1,12.5
11,2020-01-09,doumbse01,Sekou Doumbouya,215,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],12.7,Location.HOME,CLEVELAND_CAVALIERS,5,8,1183,3,5,2,2,0,0,0,1,1,0,1,1,4.8
12,2020-01-11,doumbse01,Sekou Doumbouya,215,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],15.100000000000001,Location.HOME,CHICAGO_BULLS,4,12,1720,4,10,1,2,3,4,0,3,1,0,0,2,3.8
13,2020-01-13,doumbse01,Sekou Doumbouya,215,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],32.1,Location.HOME,NEW_ORLEANS_PELICANS,18,16,2070,6,9,2,4,2,2,0,8,1,1,1,1,14.3
14,2020-01-15,doumbse01,Sekou Doumbouya,215,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],30.9,Location.AWAY,BOSTON_CELTICS,1,24,1664,10,13,2,5,2,4,1,1,1,1,0,0,19.6
15,2020-01-18,doumbse01,Sekou Doumbouya,215,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],8.8,Location.AWAY,ATLANTA_HAWKS,0,4,1655,1,8,1,4,1,2,1,3,0,0,0,0,-0.4
16,2020-01-20,doumbse01,Sekou Doumbouya,215,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],10.6,Location.AWAY,WASHINGTON_WIZARDS,29,6,1400,2,7,0,4,2,3,1,2,2,0,0,2,1.8
17,2020-01-22,doumbse01,Sekou Doumbouya,215,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],12.4,Location.HOME,SACRAMENTO_KINGS,25,4,1287,1,4,0,3,2,2,0,7,0,0,1,3,1.0
18,2020-01-24,doumbse01,Sekou Doumbouya,215,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],13.1,Location.HOME,MEMPHIS_GRIZZLIES,14,5,1362,2,4,1,2,0,0,0,3,1,1,0,0,4.8
19,2020-01-25,doumbse01,Sekou Doumbouya,215,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],1.4,Location.HOME,BROOKLYN_NETS,2,0,1046,0,5,0,2,0,0,1,1,0,0,0,1,-4.3
20,2020-01-27,doumbse01,Sekou Doumbouya,215,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],15.8,Location.HOME,CLEVELAND_CAVALIERS,5,8,2128,3,7,0,2,2,2,2,2,0,0,2,3,3.1
21,2020-01-29,doumbse01,Sekou Doumbouya,215,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],2.0,Location.AWAY,BROOKLYN_NETS,2,0,476,0,2,0,2,0,0,0,0,0,1,0,1,-1.4
22,2020-02-02,doumbse01,Sekou Doumbouya,215,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],21.0,Location.HOME,DENVER_NUGGETS,7,17,2093,6,12,2,5,3,4,0,5,0,0,0,2,8.9
23,2020-02-03,doumbse01,Sekou Doumbouya,215,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],18.9,Location.AWAY,MEMPHIS_GRIZZLIES,14,6,1582,2,15,2,5,0,0,4,3,1,2,0,3,-0.7
24,2020-02-05,doumbse01,Sekou Doumbouya,215,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],11.9,Location.HOME,PHOENIX_SUNS,23,5,958,2,4,1,2,0,0,0,2,1,1,0,0,4.1
25,2020-02-07,doumbse01,Sekou Doumbouya,215,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],11.8,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,8,1534,3,10,2,5,0,0,1,3,0,0,0,1,2.0
26,2020-02-08,doumbse01,Sekou Doumbouya,215,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],8.6,Location.HOME,NEW_YORK_KNICKS,19,5,763,1,3,1,2,2,2,0,3,0,1,0,3,1.8
27,2020-02-10,doumbse01,Sekou Doumbouya,215,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],8.8,Location.HOME,CHARLOTTE_HORNETS,3,4,1124,2,8,0,3,0,0,0,4,0,0,0,0,0.4
28,2020-02-12,doumbse01,Sekou Doumbouya,215,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],9.6,Location.AWAY,ORLANDO_MAGIC,21,3,814,1,6,1,2,0,0,0,3,0,2,0,3,-2.1
29,2020-02-20,doumbse01,Sekou Doumbouya,215,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],17.5,Location.HOME,MILWAUKEE_BUCKS,16,8,2018,3,8,2,7,0,2,0,5,3,0,0,1,4.2
30,2020-02-23,doumbse01,Sekou Doumbouya,215,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],13.6,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,7,1454,3,7,1,4,0,0,0,3,0,1,0,0,4.0
31,2020-02-25,doumbse01,Sekou Doumbouya,215,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],3.0,Location.AWAY,DENVER_NUGGETS,7,3,1106,1,5,1,4,0,0,0,0,0,0,0,0,-0.5
32,2020-02-28,doumbse01,Sekou Doumbouya,215,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],14.1,Location.AWAY,PHOENIX_SUNS,23,6,1180,3,8,0,1,0,0,2,1,1,1,0,0,4.2
33,2020-03-01,doumbse01,Sekou Doumbouya,215,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],6.6,Location.AWAY,SACRAMENTO_KINGS,25,5,939,1,3,0,1,3,4,0,3,0,0,0,2,0.2
34,2020-03-04,doumbse01,Sekou Doumbouya,215,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],8.4,Location.HOME,OKLAHOMA_CITY_THUNDER,20,3,763,1,4,1,3,0,0,1,1,0,0,1,0,1.5
35,2020-03-07,doumbse01,Sekou Doumbouya,215,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],13.1,Location.HOME,UTAH_JAZZ,28,9,1188,4,6,0,1,1,2,1,2,1,0,0,1,6.6
36,2020-03-08,doumbse01,Sekou Doumbouya,215,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],9.7,Location.AWAY,NEW_YORK_KNICKS,19,4,948,2,6,0,1,0,0,0,1,1,1,0,0,2.2
37,2020-03-11,doumbse01,Sekou Doumbouya,215,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],6.2,Location.AWAY,PHILADELPHIA_76ERS,22,2,1360,1,4,0,1,0,0,0,1,2,0,0,0,0.5
