,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2018-02-08,doziepj01,PJ Dozier,217,[<Position.POINT_GUARD: 'POINT GUARD'>],3.2,Location.AWAY,LOS_ANGELES_LAKERS,13,2,132,1,2,0,0,0,0,0,1,0,0,0,0,0.9
1,2018-02-11,doziepj01,PJ Dozier,217,[<Position.POINT_GUARD: 'POINT GUARD'>],-1.0,Location.HOME,MEMPHIS_GRIZZLIES,14,0,59,0,0,0,0,0,0,0,0,0,0,0,1,-1.0
2,2018-11-30,doziepj01,PJ Dozier,217,[<Position.POINT_GUARD: 'POINT GUARD'>],11.8,Location.HOME,CLEVELAND_CAVALIERS,5,7,347,3,5,1,1,0,0,2,2,0,0,0,0,6.3
3,2018-12-10,doziepj01,PJ Dozier,217,[<Position.POINT_GUARD: 'POINT GUARD'>],0.0,Location.HOME,NEW_ORLEANS_PELICANS,18,0,104,0,1,0,1,0,0,0,0,0,0,0,0,-0.7
4,2019-01-02,doziepj01,PJ Dozier,217,[<Position.POINT_GUARD: 'POINT GUARD'>],0.0,Location.HOME,MINNESOTA_TIMBERWOLVES,17,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,2019-01-04,doziepj01,PJ Dozier,217,[<Position.POINT_GUARD: 'POINT GUARD'>],0.0,Location.HOME,DALLAS_MAVERICKS,6,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,2019-03-24,doziepj01,PJ Dozier,217,[<Position.POINT_GUARD: 'POINT GUARD'>],2.4,Location.HOME,SAN_ANTONIO_SPURS,26,0,202,0,1,0,0,0,0,0,2,0,0,0,0,-0.1
7,2019-04-09,doziepj01,PJ Dozier,217,[<Position.POINT_GUARD: 'POINT GUARD'>],38.7,Location.AWAY,WASHINGTON_WIZARDS,29,12,2240,5,14,1,6,1,2,4,7,5,2,0,0,13.8
8,2020-01-15,doziepj01,PJ Dozier,217,[<Position.POINT_GUARD: 'POINT GUARD'>],19.8,Location.HOME,CHARLOTTE_HORNETS,3,12,782,5,7,2,4,0,0,0,4,2,0,0,0,10.1
9,2020-01-16,doziepj01,PJ Dozier,217,[<Position.POINT_GUARD: 'POINT GUARD'>],0.0,Location.AWAY,GOLDEN_STATE_WARRIORS,9,0,447,0,3,0,0,0,0,0,0,0,0,0,0,-2.5
10,2020-01-19,doziepj01,PJ Dozier,217,[<Position.POINT_GUARD: 'POINT GUARD'>],12.7,Location.HOME,INDIANA_PACERS,11,8,1025,4,9,0,2,0,0,0,1,3,0,0,1,4.3
11,2020-01-20,doziepj01,PJ Dozier,217,[<Position.POINT_GUARD: 'POINT GUARD'>],12.1,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,6,1117,3,8,0,0,0,0,0,3,3,0,0,2,1.8
