,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,dudleja01,Jared Dudley,221,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.9,Location.HOME,SACRAMENTO_KINGS,25,4,1548,2,4,0,0,0,2,0,2,1,0,1,0,2.8
1,2016-10-28,dudleja01,Jared Dudley,221,[<Position.POWER_FORWARD: 'POWER FORWARD'>],15.9,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,6,1513,1,2,1,2,3,5,0,2,3,1,0,0,7.1
2,2016-10-30,dudleja01,Jared Dudley,221,[<Position.POWER_FORWARD: 'POWER FORWARD'>],25.9,Location.HOME,GOLDEN_STATE_WARRIORS,9,9,1624,3,7,2,4,1,2,1,1,3,3,1,2,8.1
3,2016-10-31,dudleja01,Jared Dudley,221,[<Position.POWER_FORWARD: 'POWER FORWARD'>],16.5,Location.AWAY,LOS_ANGELES_CLIPPERS,12,5,1155,2,6,1,3,0,0,1,4,1,2,0,2,2.2
4,2016-11-02,dudleja01,Jared Dudley,221,[<Position.POWER_FORWARD: 'POWER FORWARD'>],18.0,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,6,1230,2,5,2,3,0,0,0,5,2,2,0,3,4.4
5,2016-11-04,dudleja01,Jared Dudley,221,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.4,Location.AWAY,NEW_ORLEANS_PELICANS,18,5,1204,2,4,1,3,0,0,0,2,2,0,0,0,3.4
6,2016-11-06,dudleja01,Jared Dudley,221,[<Position.POWER_FORWARD: 'POWER FORWARD'>],17.1,Location.AWAY,LOS_ANGELES_LAKERS,13,10,1523,3,6,1,3,3,5,2,1,3,0,0,1,7.0
7,2016-11-08,dudleja01,Jared Dudley,221,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7.800000000000001,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,2,1346,1,2,0,1,0,0,0,4,0,1,0,2,0.0
8,2016-11-09,dudleja01,Jared Dudley,221,[<Position.POWER_FORWARD: 'POWER FORWARD'>],33.5,Location.HOME,DETROIT_PISTONS,8,19,1774,6,9,4,6,3,4,0,5,1,1,2,2,16.5
9,2016-11-12,dudleja01,Jared Dudley,221,[<Position.POWER_FORWARD: 'POWER FORWARD'>],26.2,Location.HOME,BROOKLYN_NETS,2,17,1678,6,12,4,8,1,2,2,4,2,0,0,1,12.4
10,2016-11-13,dudleja01,Jared Dudley,221,[<Position.POWER_FORWARD: 'POWER FORWARD'>],27.1,Location.AWAY,GOLDEN_STATE_WARRIORS,9,14,1843,5,9,3,5,1,2,0,3,5,1,0,1,12.9
11,2016-11-16,dudleja01,Jared Dudley,221,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7.4,Location.AWAY,DENVER_NUGGETS,7,6,1357,2,4,1,3,1,2,0,2,0,0,0,1,2.0
