,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,dunnkr01,Kris Dunn,223,[<Position.POINT_GUARD: 'POINT GUARD'>],16.3,Location.AWAY,MEMPHIS_GRIZZLIES,14,8,913,4,6,0,1,0,0,1,3,1,1,0,1,6.5
1,2016-10-29,dunnkr01,Kris Dunn,223,[<Position.POINT_GUARD: 'POINT GUARD'>],10.2,Location.AWAY,SACRAMENTO_KINGS,25,4,1185,1,2,1,1,1,4,0,1,4,0,0,1,3.1
2,2016-11-01,dunnkr01,Kris Dunn,223,[<Position.POINT_GUARD: 'POINT GUARD'>],35.8,Location.HOME,MEMPHIS_GRIZZLIES,14,10,1750,3,7,2,3,2,2,1,3,6,5,0,3,12.9
3,2016-11-03,dunnkr01,Kris Dunn,223,[<Position.POINT_GUARD: 'POINT GUARD'>],27.5,Location.HOME,DENVER_NUGGETS,7,3,1792,1,6,0,1,1,2,1,4,9,3,0,4,4.8
4,2016-11-05,dunnkr01,Kris Dunn,223,[<Position.POINT_GUARD: 'POINT GUARD'>],18.3,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,7,1703,2,8,0,0,3,6,2,2,3,1,0,1,3.5
5,2016-11-08,dunnkr01,Kris Dunn,223,[<Position.POINT_GUARD: 'POINT GUARD'>],8.6,Location.AWAY,BROOKLYN_NETS,2,0,940,0,1,0,1,0,0,0,3,2,1,0,1,0.8
6,2016-11-09,dunnkr01,Kris Dunn,223,[<Position.POINT_GUARD: 'POINT GUARD'>],13.9,Location.AWAY,ORLANDO_MAGIC,21,2,1048,1,3,0,0,0,0,0,2,3,0,2,1,3.0
7,2016-11-12,dunnkr01,Kris Dunn,223,[<Position.POINT_GUARD: 'POINT GUARD'>],18.8,Location.HOME,LOS_ANGELES_CLIPPERS,12,3,1146,0,4,0,1,3,4,0,4,4,2,0,1,4.4
8,2016-11-13,dunnkr01,Kris Dunn,223,[<Position.POINT_GUARD: 'POINT GUARD'>],13.4,Location.HOME,LOS_ANGELES_LAKERS,13,5,812,1,2,0,0,3,5,0,2,2,1,0,0,5.8
9,2016-11-15,dunnkr01,Kris Dunn,223,[<Position.POINT_GUARD: 'POINT GUARD'>],15.899999999999999,Location.HOME,CHARLOTTE_HORNETS,3,4,809,2,3,0,0,0,0,1,1,3,1,1,1,6.1
10,2016-11-17,dunnkr01,Kris Dunn,223,[<Position.POINT_GUARD: 'POINT GUARD'>],9.6,Location.HOME,PHILADELPHIA_76ERS,22,2,1383,1,3,0,1,0,0,0,3,2,1,0,2,0.8
11,2016-11-19,dunnkr01,Kris Dunn,223,[<Position.POINT_GUARD: 'POINT GUARD'>],2.7,Location.AWAY,MEMPHIS_GRIZZLIES,14,0,1061,0,4,0,2,0,0,0,1,1,0,0,0,-4.2
12,2016-11-21,dunnkr01,Kris Dunn,223,[<Position.POINT_GUARD: 'POINT GUARD'>],6.2,Location.HOME,BOSTON_CELTICS,1,0,587,0,2,0,0,0,0,0,1,2,1,0,1,-0.1
13,2016-11-23,dunnkr01,Kris Dunn,223,[<Position.POINT_GUARD: 'POINT GUARD'>],26.8,Location.AWAY,NEW_ORLEANS_PELICANS,18,6,1575,2,4,0,0,2,2,0,4,2,4,1,2,8.1
14,2016-11-25,dunnkr01,Kris Dunn,223,[<Position.POINT_GUARD: 'POINT GUARD'>],5.0,Location.AWAY,PHOENIX_SUNS,23,3,680,1,4,1,1,0,0,0,0,0,0,1,1,-0.5
15,2016-11-26,dunnkr01,Kris Dunn,223,[<Position.POINT_GUARD: 'POINT GUARD'>],7.4,Location.AWAY,GOLDEN_STATE_WARRIORS,9,2,585,1,2,0,0,0,0,0,2,0,1,0,0,2.2
16,2016-11-28,dunnkr01,Kris Dunn,223,[<Position.POINT_GUARD: 'POINT GUARD'>],3.5,Location.HOME,UTAH_JAZZ,28,0,524,0,2,0,0,0,0,0,0,1,1,0,1,-1.1
17,2016-11-30,dunnkr01,Kris Dunn,223,[<Position.POINT_GUARD: 'POINT GUARD'>],3.0,Location.HOME,NEW_YORK_KNICKS,19,0,617,0,1,0,1,0,0,0,0,0,1,1,3,-2.8
18,2016-12-02,dunnkr01,Kris Dunn,223,[<Position.POINT_GUARD: 'POINT GUARD'>],16.7,Location.AWAY,NEW_YORK_KNICKS,19,6,1094,2,3,0,0,2,2,0,1,5,1,0,1,7.3
19,2016-12-03,dunnkr01,Kris Dunn,223,[<Position.POINT_GUARD: 'POINT GUARD'>],24.4,Location.AWAY,CHARLOTTE_HORNETS,3,8,977,3,5,1,1,1,2,1,1,6,1,1,1,10.4
20,2016-12-06,dunnkr01,Kris Dunn,223,[<Position.POINT_GUARD: 'POINT GUARD'>],17.2,Location.HOME,SAN_ANTONIO_SPURS,26,15,1005,6,7,1,1,2,2,1,0,2,0,0,2,11.4
21,2016-12-08,dunnkr01,Kris Dunn,223,[<Position.POINT_GUARD: 'POINT GUARD'>],10.7,Location.AWAY,TORONTO_RAPTORS,27,4,1152,2,5,0,0,0,0,0,1,5,0,0,2,1.5
22,2016-12-09,dunnkr01,Kris Dunn,223,[<Position.POINT_GUARD: 'POINT GUARD'>],17.0,Location.HOME,DETROIT_PISTONS,8,8,1192,4,10,0,4,0,0,1,4,0,1,0,0,4.7
23,2016-12-11,dunnkr01,Kris Dunn,223,[<Position.POINT_GUARD: 'POINT GUARD'>],8.9,Location.HOME,GOLDEN_STATE_WARRIORS,9,5,932,2,4,0,0,1,2,0,2,1,0,0,0,3.5
24,2016-12-13,dunnkr01,Kris Dunn,223,[<Position.POINT_GUARD: 'POINT GUARD'>],2.9000000000000004,Location.AWAY,CHICAGO_BULLS,4,2,808,1,3,0,1,0,0,1,1,1,0,0,3,-1.4
25,2016-12-17,dunnkr01,Kris Dunn,223,[<Position.POINT_GUARD: 'POINT GUARD'>],10.4,Location.HOME,HOUSTON_ROCKETS,10,2,751,1,6,0,2,0,0,1,1,2,1,0,0,0.8
26,2016-12-19,dunnkr01,Kris Dunn,223,[<Position.POINT_GUARD: 'POINT GUARD'>],19.1,Location.HOME,PHOENIX_SUNS,23,8,678,3,6,1,1,1,1,0,3,1,1,2,3,5.6
27,2016-12-21,dunnkr01,Kris Dunn,223,[<Position.POINT_GUARD: 'POINT GUARD'>],7.2,Location.AWAY,ATLANTA_HAWKS,0,6,889,2,5,1,3,1,1,0,1,0,0,0,0,2.8
28,2016-12-23,dunnkr01,Kris Dunn,223,[<Position.POINT_GUARD: 'POINT GUARD'>],9.1,Location.HOME,SACRAMENTO_KINGS,25,3,867,1,4,0,1,1,3,1,2,1,0,1,2,-0.3
29,2016-12-25,dunnkr01,Kris Dunn,223,[<Position.POINT_GUARD: 'POINT GUARD'>],17.9,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,3,1053,1,2,1,2,0,0,0,2,3,2,1,1,5.2
30,2016-12-26,dunnkr01,Kris Dunn,223,[<Position.POINT_GUARD: 'POINT GUARD'>],16.7,Location.HOME,ATLANTA_HAWKS,0,3,1431,1,4,0,1,1,2,0,6,1,2,0,1,3.3
31,2016-12-28,dunnkr01,Kris Dunn,223,[<Position.POINT_GUARD: 'POINT GUARD'>],6.5,Location.AWAY,DENVER_NUGGETS,7,2,842,1,5,0,1,0,0,0,0,3,0,0,0,1.0
32,2016-12-30,dunnkr01,Kris Dunn,223,[<Position.POINT_GUARD: 'POINT GUARD'>],7.2,Location.HOME,MILWAUKEE_BUCKS,16,0,764,0,1,0,0,0,0,0,1,4,0,0,0,1.6
33,2017-01-01,dunnkr01,Kris Dunn,223,[<Position.POINT_GUARD: 'POINT GUARD'>],30.6,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,11,1275,5,7,1,1,0,0,0,3,4,1,3,2,11.7
34,2017-01-03,dunnkr01,Kris Dunn,223,[<Position.POINT_GUARD: 'POINT GUARD'>],5.9,Location.AWAY,PHILADELPHIA_76ERS,22,0,1064,0,2,0,0,0,0,0,2,3,0,0,1,-1.7
35,2017-01-06,dunnkr01,Kris Dunn,223,[<Position.POINT_GUARD: 'POINT GUARD'>],4.5,Location.AWAY,WASHINGTON_WIZARDS,29,0,792,0,1,0,0,0,0,0,0,3,0,0,0,0.6
36,2017-01-07,dunnkr01,Kris Dunn,223,[<Position.POINT_GUARD: 'POINT GUARD'>],10.9,Location.HOME,UTAH_JAZZ,28,2,842,1,3,0,1,0,0,0,2,1,1,1,1,1.9
37,2017-01-09,dunnkr01,Kris Dunn,223,[<Position.POINT_GUARD: 'POINT GUARD'>],13.7,Location.HOME,DALLAS_MAVERICKS,6,3,1052,1,3,0,1,1,2,0,1,3,2,1,4,1.2
38,2017-01-11,dunnkr01,Kris Dunn,223,[<Position.POINT_GUARD: 'POINT GUARD'>],16.6,Location.HOME,HOUSTON_ROCKETS,10,6,777,3,7,0,0,0,0,1,2,0,2,1,2,3.9
39,2017-01-13,dunnkr01,Kris Dunn,223,[<Position.POINT_GUARD: 'POINT GUARD'>],8.4,Location.HOME,OKLAHOMA_CITY_THUNDER,20,4,704,2,4,0,0,0,0,1,1,0,1,0,1,2.2
40,2017-01-15,dunnkr01,Kris Dunn,223,[<Position.POINT_GUARD: 'POINT GUARD'>],1.7000000000000002,Location.AWAY,DALLAS_MAVERICKS,6,0,750,0,3,0,2,0,0,0,1,1,0,0,1,-3.3
41,2017-01-17,dunnkr01,Kris Dunn,223,[<Position.POINT_GUARD: 'POINT GUARD'>],0.5,Location.AWAY,SAN_ANTONIO_SPURS,26,0,528,0,2,0,0,0,0,0,0,1,0,0,1,-2.9
