,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,ennisja01,James Ennis,233,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],25.2,Location.HOME,MINNESOTA_TIMBERWOLVES,17,15,1691,5,8,2,4,3,4,1,5,0,1,0,0,13.0
1,2016-10-29,ennisja01,James Ennis,233,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],21.3,Location.AWAY,NEW_YORK_KNICKS,19,16,1627,5,7,2,3,4,5,1,3,1,0,0,1,12.8
2,2016-10-30,ennisja01,James Ennis,233,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],23.4,Location.HOME,WASHINGTON_WIZARDS,29,8,2037,3,10,1,5,1,3,4,8,2,0,0,2,4.8
3,2016-11-01,ennisja01,James Ennis,233,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],13.8,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,5,1255,2,5,1,2,0,0,0,4,0,2,0,2,2.3
4,2016-11-02,ennisja01,James Ennis,233,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],32.0,Location.HOME,NEW_ORLEANS_PELICANS,18,16,2257,5,8,2,4,4,4,2,8,0,2,0,2,15.8
5,2016-11-04,ennisja01,James Ennis,233,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],29.2,Location.HOME,LOS_ANGELES_CLIPPERS,12,9,2167,3,9,0,1,3,4,7,4,2,1,1,2,9.1
6,2016-11-06,ennisja01,James Ennis,233,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],9.6,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,7,2086,3,8,1,4,0,0,0,3,0,0,0,1,0.9
7,2016-11-08,ennisja01,James Ennis,233,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],25.6,Location.HOME,DENVER_NUGGETS,7,9,1926,2,4,1,3,4,4,2,1,2,4,0,2,10.1
8,2016-11-12,ennisja01,James Ennis,233,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],14.4,Location.AWAY,MILWAUKEE_BUCKS,16,9,1531,3,6,1,4,2,2,0,2,2,0,0,0,6.4
9,2016-11-14,ennisja01,James Ennis,233,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],5.1,Location.AWAY,UTAH_JAZZ,28,0,1323,0,2,0,1,0,0,1,2,1,0,0,0,-1.4
10,2016-11-16,ennisja01,James Ennis,233,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],14.600000000000001,Location.AWAY,LOS_ANGELES_CLIPPERS,12,10,1862,2,8,1,3,5,6,1,2,2,0,0,2,4.3
11,2016-11-18,ennisja01,James Ennis,233,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],21.2,Location.AWAY,DALLAS_MAVERICKS,6,5,1829,2,5,1,2,0,0,1,5,4,1,0,0,6.7
12,2016-11-19,ennisja01,James Ennis,233,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],29.9,Location.HOME,MINNESOTA_TIMBERWOLVES,17,11,2145,4,11,0,3,3,4,3,4,1,2,1,0,10.8
13,2016-11-21,ennisja01,James Ennis,233,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],9.0,Location.AWAY,CHARLOTTE_HORNETS,3,7,789,3,4,1,2,0,0,0,0,2,0,0,1,5.4
14,2016-12-18,ennisja01,James Ennis,233,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],9.8,Location.HOME,UTAH_JAZZ,28,5,946,1,3,0,0,3,4,1,3,0,0,0,0,2.5
15,2016-12-20,ennisja01,James Ennis,233,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],8.9,Location.HOME,BOSTON_CELTICS,1,5,1053,2,4,0,0,1,1,2,0,1,0,0,0,4.3
16,2016-12-21,ennisja01,James Ennis,233,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],24.5,Location.AWAY,DETROIT_PISTONS,8,5,1057,2,4,1,1,0,0,0,5,1,2,2,0,8.6
17,2016-12-23,ennisja01,James Ennis,233,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],12.2,Location.HOME,HOUSTON_ROCKETS,10,13,1245,5,7,3,5,0,0,0,1,0,0,0,2,8.4
18,2016-12-26,ennisja01,James Ennis,233,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],17.9,Location.AWAY,ORLANDO_MAGIC,21,11,1330,3,4,2,2,3,4,1,1,1,1,0,0,10.9
19,2016-12-27,ennisja01,James Ennis,233,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],15.7,Location.AWAY,BOSTON_CELTICS,1,11,1292,4,7,3,4,0,0,0,1,1,1,0,1,7.5
20,2016-12-29,ennisja01,James Ennis,233,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],7.7,Location.HOME,OKLAHOMA_CITY_THUNDER,20,5,1415,1,2,1,1,2,2,0,1,1,0,0,0,5.0
21,2016-12-31,ennisja01,James Ennis,233,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],16.3,Location.AWAY,SACRAMENTO_KINGS,25,4,1433,1,5,0,3,2,2,1,3,3,0,1,0,3.7
22,2017-01-03,ennisja01,James Ennis,233,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],2.5999999999999996,Location.AWAY,LOS_ANGELES_LAKERS,13,0,867,0,2,0,1,0,0,0,3,0,0,0,1,-3.1
23,2017-01-04,ennisja01,James Ennis,233,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],30.2,Location.AWAY,LOS_ANGELES_CLIPPERS,12,8,1945,3,7,0,0,2,2,2,4,2,3,1,0,10.4
24,2017-01-06,ennisja01,James Ennis,233,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],18.5,Location.AWAY,GOLDEN_STATE_WARRIORS,9,7,1199,3,8,1,3,0,0,1,4,1,2,0,2,3.6
25,2017-01-08,ennisja01,James Ennis,233,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],17.5,Location.HOME,UTAH_JAZZ,28,8,1646,2,3,1,2,3,3,0,5,1,1,0,1,8.1
26,2017-01-11,ennisja01,James Ennis,233,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],16.8,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,10,1110,4,5,0,0,2,4,2,2,0,1,0,1,7.3
27,2017-01-13,ennisja01,James Ennis,233,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],20.7,Location.AWAY,HOUSTON_ROCKETS,10,12,1699,4,7,1,2,3,4,3,3,1,0,1,3,8.1
