,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-25,exumda01,Dante Exum,240,[<Position.POINT_GUARD: 'POINT GUARD'>],7.4,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,5,500,2,4,0,1,1,1,1,1,0,0,0,0,3.2
1,2016-10-28,exumda01,Dante Exum,240,[<Position.POINT_GUARD: 'POINT GUARD'>],6.0,Location.HOME,LOS_ANGELES_LAKERS,13,4,1291,1,2,0,1,2,2,0,0,2,0,0,1,3.4
2,2016-10-30,exumda01,Dante Exum,240,[<Position.POINT_GUARD: 'POINT GUARD'>],18.4,Location.AWAY,LOS_ANGELES_CLIPPERS,12,10,1539,3,6,0,1,4,4,0,2,2,1,0,0,9.2
3,2016-11-01,exumda01,Dante Exum,240,[<Position.POINT_GUARD: 'POINT GUARD'>],19.6,Location.AWAY,SAN_ANTONIO_SPURS,26,4,832,1,2,0,1,2,3,0,3,2,0,4,3,3.9
4,2016-11-02,exumda01,Dante Exum,240,[<Position.POINT_GUARD: 'POINT GUARD'>],11.4,Location.HOME,DALLAS_MAVERICKS,6,10,1184,4,6,2,2,0,0,1,1,0,0,0,1,6.2
5,2016-11-04,exumda01,Dante Exum,240,[<Position.POINT_GUARD: 'POINT GUARD'>],17.4,Location.HOME,SAN_ANTONIO_SPURS,26,7,1715,3,9,1,3,0,0,1,6,2,0,0,1,4.4
6,2016-11-06,exumda01,Dante Exum,240,[<Position.POINT_GUARD: 'POINT GUARD'>],3.0,Location.AWAY,NEW_YORK_KNICKS,19,0,641,0,1,0,1,0,0,0,0,2,0,0,0,0.7
7,2016-11-07,exumda01,Dante Exum,240,[<Position.POINT_GUARD: 'POINT GUARD'>],16.4,Location.AWAY,PHILADELPHIA_76ERS,22,11,1170,4,6,3,4,0,0,1,1,0,0,1,0,8.5
8,2016-11-09,exumda01,Dante Exum,240,[<Position.POINT_GUARD: 'POINT GUARD'>],13.7,Location.AWAY,CHARLOTTE_HORNETS,3,6,1414,2,4,1,3,1,2,0,1,5,0,0,1,5.2
9,2016-11-11,exumda01,Dante Exum,240,[<Position.POINT_GUARD: 'POINT GUARD'>],8.8,Location.AWAY,ORLANDO_MAGIC,21,4,1348,2,8,0,4,0,0,1,3,2,0,0,3,-2.8
10,2016-11-12,exumda01,Dante Exum,240,[<Position.POINT_GUARD: 'POINT GUARD'>],18.6,Location.AWAY,MIAMI_HEAT,15,10,1733,3,10,2,4,2,2,1,2,2,1,0,1,6.9
11,2016-11-14,exumda01,Dante Exum,240,[<Position.POINT_GUARD: 'POINT GUARD'>],14.6,Location.HOME,MEMPHIS_GRIZZLIES,14,9,1828,4,9,0,3,1,2,1,2,2,0,0,1,4.0
12,2016-11-17,exumda01,Dante Exum,240,[<Position.POINT_GUARD: 'POINT GUARD'>],24.8,Location.HOME,CHICAGO_BULLS,4,14,2062,5,12,2,5,2,2,1,3,2,1,0,0,10.8
