,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-27,feltora01,Raymond Felton,247,[<Position.POINT_GUARD: 'POINT GUARD'>],8.7,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,4,970,2,3,0,0,0,0,0,1,1,1,0,1,2.9
1,2016-10-30,feltora01,Raymond Felton,247,[<Position.POINT_GUARD: 'POINT GUARD'>],7.4,Location.HOME,UTAH_JAZZ,28,4,1144,2,6,0,2,0,0,0,2,2,0,0,2,0.2
2,2016-10-31,feltora01,Raymond Felton,247,[<Position.POINT_GUARD: 'POINT GUARD'>],8.2,Location.HOME,PHOENIX_SUNS,23,4,1083,1,3,1,1,1,2,0,1,0,0,1,0,2.9
3,2016-11-02,feltora01,Raymond Felton,247,[<Position.POINT_GUARD: 'POINT GUARD'>],12.9,Location.HOME,OKLAHOMA_CITY_THUNDER,20,7,930,3,5,1,1,0,0,0,2,1,1,0,1,5.6
4,2016-11-04,feltora01,Raymond Felton,247,[<Position.POINT_GUARD: 'POINT GUARD'>],14.9,Location.AWAY,MEMPHIS_GRIZZLIES,14,8,1070,3,6,2,3,0,0,1,1,3,0,0,0,7.3
5,2016-11-05,feltora01,Raymond Felton,247,[<Position.POINT_GUARD: 'POINT GUARD'>],15.7,Location.AWAY,SAN_ANTONIO_SPURS,26,5,1139,2,3,1,1,0,0,0,1,3,1,1,1,6.8
6,2016-11-07,feltora01,Raymond Felton,247,[<Position.POINT_GUARD: 'POINT GUARD'>],29.3,Location.HOME,DETROIT_PISTONS,8,10,1399,3,5,1,1,3,4,0,4,3,2,2,2,10.4
7,2016-11-09,feltora01,Raymond Felton,247,[<Position.POINT_GUARD: 'POINT GUARD'>],10.0,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,2,1430,1,6,0,3,0,0,0,0,2,2,0,1,0.6
8,2016-11-11,feltora01,Raymond Felton,247,[<Position.POINT_GUARD: 'POINT GUARD'>],3.0,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,0,684,0,1,0,0,0,0,0,0,0,1,0,0,0.3
9,2016-11-12,feltora01,Raymond Felton,247,[<Position.POINT_GUARD: 'POINT GUARD'>],7.4,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,7,763,3,3,1,1,0,0,1,1,0,0,0,2,4.7
