,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-25,forbebr01,Bryn Forbes,252,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,GOLDEN_STATE_WARRIORS,9,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1,2016-10-29,forbebr01,Bryn Forbes,252,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.2,Location.HOME,NEW_ORLEANS_PELICANS,18,2,874,1,3,0,1,0,0,0,1,0,1,0,0,0.8
2,2016-11-01,forbebr01,Bryn Forbes,252,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,UTAH_JAZZ,28,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3,2016-11-04,forbebr01,Bryn Forbes,252,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,UTAH_JAZZ,28,0,193,0,0,0,0,0,0,0,0,0,0,0,0,-0.4
4,2016-11-05,forbebr01,Bryn Forbes,252,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.7,Location.HOME,LOS_ANGELES_CLIPPERS,12,5,812,2,4,0,2,1,1,0,1,1,0,0,0,3.6
5,2016-11-11,forbebr01,Bryn Forbes,252,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,DETROIT_PISTONS,8,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,2016-11-16,forbebr01,Bryn Forbes,252,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,SACRAMENTO_KINGS,25,0,181,0,2,0,1,0,0,0,0,0,0,0,0,-1.4
7,2016-11-21,forbebr01,Bryn Forbes,252,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.2,Location.HOME,DALLAS_MAVERICKS,6,3,615,1,3,1,1,0,0,0,1,0,0,0,0,1.2
8,2016-11-26,forbebr01,Bryn Forbes,252,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.2,Location.AWAY,WASHINGTON_WIZARDS,29,0,67,0,0,0,0,0,0,0,1,0,0,0,0,0.3
9,2016-12-06,forbebr01,Bryn Forbes,252,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,0,118,0,1,0,1,0,0,0,0,0,0,0,0,-1.1
10,2016-12-14,forbebr01,Bryn Forbes,252,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,BOSTON_CELTICS,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,2016-12-22,forbebr01,Bryn Forbes,252,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,LOS_ANGELES_CLIPPERS,12,0,89,0,1,0,1,0,0,0,0,0,0,0,0,-0.7
12,2016-12-23,forbebr01,Bryn Forbes,252,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,2017-01-14,forbebr01,Bryn Forbes,252,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.2,Location.AWAY,PHOENIX_SUNS,23,2,312,1,1,0,0,0,0,0,1,0,0,0,0,1.6
14,2017-01-17,forbebr01,Bryn Forbes,252,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,MINNESOTA_TIMBERWOLVES,17,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-0.4
15,2017-01-23,forbebr01,Bryn Forbes,252,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.9,Location.AWAY,BROOKLYN_NETS,2,2,767,1,6,0,3,0,0,1,1,1,0,0,0,-0.1
16,2017-01-24,forbebr01,Bryn Forbes,252,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.2,Location.AWAY,TORONTO_RAPTORS,27,8,734,3,4,2,3,0,0,0,1,0,0,0,0,5.9
17,2017-01-27,forbebr01,Bryn Forbes,252,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.5,Location.AWAY,NEW_ORLEANS_PELICANS,18,3,212,1,2,1,1,0,0,0,0,1,0,0,0,2.7
18,2017-02-02,forbebr01,Bryn Forbes,252,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,PHILADELPHIA_76ERS,22,0,198,0,1,0,0,0,0,0,0,0,0,0,0,-0.7
19,2017-02-10,forbebr01,Bryn Forbes,252,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,DETROIT_PISTONS,8,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,2017-03-08,forbebr01,Bryn Forbes,252,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,SACRAMENTO_KINGS,25,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0.0
21,2017-03-09,forbebr01,Bryn Forbes,252,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.9000000000000004,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,2,970,1,4,0,2,0,0,0,2,1,0,0,2,-1.1
22,2017-03-11,forbebr01,Bryn Forbes,252,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.2,Location.HOME,GOLDEN_STATE_WARRIORS,9,8,1488,3,7,2,5,0,0,0,1,0,0,0,1,3.2
23,2017-03-13,forbebr01,Bryn Forbes,252,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.7,Location.HOME,ATLANTA_HAWKS,0,5,654,2,3,1,2,0,0,0,1,1,0,0,0,4.7
24,2017-03-15,forbebr01,Bryn Forbes,252,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.0,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,2,538,1,2,0,0,0,0,0,0,0,0,0,1,0.0
25,2017-03-18,forbebr01,Bryn Forbes,252,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.0,Location.AWAY,MEMPHIS_GRIZZLIES,14,3,87,1,1,1,1,0,0,0,0,0,0,0,0,2.7
26,2017-03-19,forbebr01,Bryn Forbes,252,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.5,Location.HOME,SACRAMENTO_KINGS,25,1,659,0,5,0,2,1,2,0,0,1,0,0,0,-2.6
27,2017-03-25,forbebr01,Bryn Forbes,252,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.2,Location.HOME,NEW_YORK_KNICKS,19,0,84,0,0,0,0,0,0,0,1,0,0,0,0,0.3
28,2017-03-27,forbebr01,Bryn Forbes,252,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.7,Location.HOME,CLEVELAND_CAVALIERS,5,2,632,1,6,0,1,0,0,0,1,1,0,0,1,-1.8
29,2017-03-29,forbebr01,Bryn Forbes,252,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.7,Location.HOME,GOLDEN_STATE_WARRIORS,9,0,52,0,0,0,0,0,0,1,0,1,0,0,0,1.4
30,2017-04-02,forbebr01,Bryn Forbes,252,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.9,Location.HOME,UTAH_JAZZ,28,8,1254,3,6,2,4,0,0,0,2,3,0,0,0,7.3
31,2017-04-04,forbebr01,Bryn Forbes,252,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.5,Location.HOME,MEMPHIS_GRIZZLIES,14,0,777,0,3,0,2,0,0,0,0,3,0,0,0,0.0
32,2017-04-05,forbebr01,Bryn Forbes,252,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.2,Location.HOME,LOS_ANGELES_LAKERS,13,8,1465,3,10,2,7,0,0,0,1,2,0,0,3,0.5
33,2017-04-07,forbebr01,Bryn Forbes,252,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],38.6,Location.AWAY,DALLAS_MAVERICKS,6,27,1726,10,19,4,9,3,3,0,3,6,0,0,1,20.6
34,2017-04-08,forbebr01,Bryn Forbes,252,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.2,Location.HOME,LOS_ANGELES_CLIPPERS,12,0,273,0,1,0,1,0,0,0,1,0,0,0,0,-0.8
