,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,fournev01,Evan Fournier,253,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],35.8,Location.HOME,MIAMI_HEAT,15,20,2363,7,19,2,6,4,7,1,3,4,2,0,1,12.5
1,2016-10-28,fournev01,Evan Fournier,253,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.399999999999999,Location.AWAY,DETROIT_PISTONS,8,8,1638,4,12,0,4,0,1,0,2,2,1,0,1,1.6
2,2016-10-29,fournev01,Evan Fournier,253,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],30.4,Location.AWAY,CLEVELAND_CAVALIERS,5,22,2263,9,16,2,6,2,2,0,2,6,0,0,3,14.2
3,2016-11-01,fournev01,Evan Fournier,253,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],31.5,Location.AWAY,PHILADELPHIA_76ERS,22,17,2233,6,17,3,6,2,2,0,5,5,1,0,2,10.7
4,2016-11-03,fournev01,Evan Fournier,253,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],28.7,Location.HOME,SACRAMENTO_KINGS,25,29,2158,10,15,3,7,6,7,0,1,1,0,0,3,20.1
5,2016-11-05,fournev01,Evan Fournier,253,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],16.4,Location.HOME,WASHINGTON_WIZARDS,29,13,1819,2,8,2,6,7,8,0,2,2,0,0,2,5.4
6,2016-11-07,fournev01,Evan Fournier,253,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],16.9,Location.AWAY,CHICAGO_BULLS,4,13,1788,6,12,1,5,0,0,1,1,1,1,0,3,5.9
7,2016-11-09,fournev01,Evan Fournier,253,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],17.6,Location.HOME,MINNESOTA_TIMBERWOLVES,17,13,1702,4,11,2,6,3,3,0,3,2,0,0,2,6.4
8,2016-11-11,fournev01,Evan Fournier,253,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],37.8,Location.HOME,UTAH_JAZZ,28,21,2301,7,16,2,4,5,6,1,3,4,3,0,3,15.0
9,2016-11-13,fournev01,Evan Fournier,253,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],27.9,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,21,2193,7,10,3,4,4,4,0,2,5,0,0,3,17.1
10,2016-11-14,fournev01,Evan Fournier,253,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],21.4,Location.AWAY,INDIANA_PACERS,11,14,1957,4,15,1,4,5,5,0,2,2,1,0,1,6.3
11,2016-11-16,fournev01,Evan Fournier,253,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23.7,Location.HOME,NEW_ORLEANS_PELICANS,18,16,2027,5,13,2,5,4,6,0,1,3,1,0,1,9.7
12,2016-11-19,fournev01,Evan Fournier,253,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],24.4,Location.HOME,DALLAS_MAVERICKS,6,11,1895,3,13,2,6,3,3,2,5,2,2,0,4,4.6
