,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2017-10-18,foxde01,De'Aaron Fox,254,[<Position.POINT_GUARD: 'POINT GUARD'>],23.3,Location.HOME,HOUSTON_ROCKETS,10,14,1416,7,15,0,2,0,0,2,2,5,0,0,3,8.0
1,2017-10-20,foxde01,De'Aaron Fox,254,[<Position.POINT_GUARD: 'POINT GUARD'>],32.2,Location.AWAY,DALLAS_MAVERICKS,6,9,1579,4,13,1,1,0,0,1,5,10,1,0,2,8.5
2,2017-10-21,foxde01,De'Aaron Fox,254,[<Position.POINT_GUARD: 'POINT GUARD'>],23.5,Location.AWAY,DENVER_NUGGETS,7,18,1731,8,13,1,1,1,1,2,3,1,0,0,2,11.5
3,2017-10-23,foxde01,De'Aaron Fox,254,[<Position.POINT_GUARD: 'POINT GUARD'>],39.0,Location.AWAY,PHOENIX_SUNS,23,19,1820,7,16,0,1,5,6,0,5,4,3,0,1,15.3
4,2017-10-26,foxde01,De'Aaron Fox,254,[<Position.POINT_GUARD: 'POINT GUARD'>],23.9,Location.HOME,NEW_ORLEANS_PELICANS,18,14,1500,4,13,1,1,5,5,0,2,5,0,0,0,9.4
5,2017-10-29,foxde01,De'Aaron Fox,254,[<Position.POINT_GUARD: 'POINT GUARD'>],10.3,Location.HOME,WASHINGTON_WIZARDS,29,2,1582,1,8,0,1,0,0,0,4,5,0,0,4,-2.5
6,2017-10-31,foxde01,De'Aaron Fox,254,[<Position.POINT_GUARD: 'POINT GUARD'>],32.3,Location.AWAY,INDIANA_PACERS,11,18,1666,9,18,0,2,0,1,2,2,5,1,0,1,13.7
7,2017-11-01,foxde01,De'Aaron Fox,254,[<Position.POINT_GUARD: 'POINT GUARD'>],19.6,Location.AWAY,BOSTON_CELTICS,1,6,1685,2,8,0,0,2,3,0,3,6,1,0,2,4.1
8,2017-11-04,foxde01,De'Aaron Fox,254,[<Position.POINT_GUARD: 'POINT GUARD'>],17.0,Location.AWAY,DETROIT_PISTONS,8,14,1611,5,10,0,2,4,6,0,0,4,0,0,3,6.4
9,2017-11-07,foxde01,De'Aaron Fox,254,[<Position.POINT_GUARD: 'POINT GUARD'>],22.4,Location.HOME,OKLAHOMA_CITY_THUNDER,20,10,1434,5,10,0,2,0,0,0,2,8,0,1,5,6.1
10,2017-11-09,foxde01,De'Aaron Fox,254,[<Position.POINT_GUARD: 'POINT GUARD'>],25.3,Location.HOME,PHILADELPHIA_76ERS,22,11,1774,4,13,0,3,3,7,1,3,7,0,0,1,7.0
