,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-11-08,foyera01,Randy Foye,255,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.7,Location.HOME,MINNESOTA_TIMBERWOLVES,17,3,854,1,3,1,3,0,0,0,1,1,0,0,1,1.3
1,2016-11-09,foyera01,Randy Foye,255,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.5,Location.AWAY,NEW_YORK_KNICKS,19,5,906,2,6,1,4,0,0,0,0,1,0,0,1,0.9
2,2016-11-12,foyera01,Randy Foye,255,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],19.1,Location.AWAY,PHOENIX_SUNS,23,8,980,3,9,2,6,0,0,0,3,3,1,0,0,5.7
3,2016-11-14,foyera01,Randy Foye,255,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.8,Location.AWAY,LOS_ANGELES_CLIPPERS,12,7,1733,1,4,1,3,4,5,0,4,4,0,0,2,5.0
4,2016-11-15,foyera01,Randy Foye,255,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],17.9,Location.AWAY,LOS_ANGELES_LAKERS,13,5,1148,2,6,1,4,0,0,0,2,7,0,0,0,7.1
5,2016-11-18,foyera01,Randy Foye,255,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.7,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,2,930,1,3,0,1,0,0,0,1,3,0,0,4,-1.3
6,2016-11-20,foyera01,Randy Foye,255,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.6,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,5,751,1,6,1,4,2,2,0,3,2,0,0,2,0.7
7,2016-11-23,foyera01,Randy Foye,255,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.4,Location.HOME,BOSTON_CELTICS,1,2,706,1,3,0,1,0,0,0,2,2,0,0,2,-0.1
8,2016-11-25,foyera01,Randy Foye,255,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],16.2,Location.AWAY,INDIANA_PACERS,11,10,1082,4,6,2,3,0,1,0,1,2,1,0,1,8.7
9,2016-11-27,foyera01,Randy Foye,255,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.8,Location.HOME,SACRAMENTO_KINGS,25,9,1327,3,8,2,6,1,1,0,4,0,1,0,2,3.2
10,2016-11-29,foyera01,Randy Foye,255,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.0,Location.HOME,LOS_ANGELES_CLIPPERS,12,3,1001,1,5,1,2,0,0,1,4,2,1,0,0,3.8
11,2016-12-01,foyera01,Randy Foye,255,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22.7,Location.HOME,MILWAUKEE_BUCKS,16,7,1374,2,7,1,4,2,2,0,6,1,0,3,2,5.1
12,2016-12-03,foyera01,Randy Foye,255,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.4,Location.AWAY,MILWAUKEE_BUCKS,16,5,1221,2,5,1,4,0,0,0,2,2,0,0,1,2.1
13,2016-12-05,foyera01,Randy Foye,255,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],13.3,Location.HOME,WASHINGTON_WIZARDS,29,8,911,3,7,2,4,0,0,0,4,1,1,0,4,3.2
14,2016-12-07,foyera01,Randy Foye,255,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,DENVER_NUGGETS,7,0,608,0,0,0,0,0,0,0,0,0,0,0,0,-0.4
15,2016-12-10,foyera01,Randy Foye,255,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.4,Location.AWAY,SAN_ANTONIO_SPURS,26,3,1244,1,4,1,4,0,0,0,2,2,1,0,1,1.4
16,2016-12-20,foyera01,Randy Foye,255,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.7,Location.AWAY,TORONTO_RAPTORS,27,5,425,1,1,1,1,2,2,0,1,1,1,0,0,6.7
17,2016-12-22,foyera01,Randy Foye,255,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.19999999999999996,Location.HOME,GOLDEN_STATE_WARRIORS,9,0,190,0,0,0,0,0,0,0,1,0,0,0,1,-0.7
18,2016-12-23,foyera01,Randy Foye,255,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.7,Location.AWAY,CLEVELAND_CAVALIERS,5,2,793,0,2,0,1,2,2,0,1,1,0,1,2,0.3
19,2016-12-26,foyera01,Randy Foye,255,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.2,Location.HOME,CHARLOTTE_HORNETS,3,3,1243,1,2,1,2,0,0,0,1,2,0,0,0,3.3
20,2016-12-28,foyera01,Randy Foye,255,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],20.5,Location.AWAY,CHICAGO_BULLS,4,11,1705,5,9,1,4,0,2,0,5,1,1,0,1,6.9
21,2016-12-30,foyera01,Randy Foye,255,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.9,Location.AWAY,WASHINGTON_WIZARDS,29,9,1624,2,7,1,4,4,4,0,2,1,0,0,2,3.8
22,2017-01-02,foyera01,Randy Foye,255,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.2,Location.HOME,UTAH_JAZZ,28,0,654,0,1,0,1,0,0,0,1,2,2,0,1,2.0
23,2017-01-05,foyera01,Randy Foye,255,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.1,Location.AWAY,INDIANA_PACERS,11,1,886,0,3,0,3,1,1,0,3,3,1,0,2,0.9
24,2017-01-10,foyera01,Randy Foye,255,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.7,Location.HOME,ATLANTA_HAWKS,0,0,480,0,1,0,1,0,0,0,1,1,0,0,0,-0.9
25,2017-01-13,foyera01,Randy Foye,255,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22.1,Location.AWAY,TORONTO_RAPTORS,27,9,1405,3,7,3,4,0,0,1,2,7,0,0,1,10.1
26,2017-01-15,foyera01,Randy Foye,255,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.5,Location.HOME,HOUSTON_ROCKETS,10,13,1042,4,6,3,4,2,2,0,0,3,0,0,2,8.9
27,2017-01-17,foyera01,Randy Foye,255,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],12.4,Location.HOME,TORONTO_RAPTORS,27,3,1096,1,5,0,3,1,2,1,1,0,2,1,2,1.2
28,2017-01-20,foyera01,Randy Foye,255,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.100000000000001,Location.AWAY,NEW_ORLEANS_PELICANS,18,11,1348,4,7,3,5,0,0,0,3,1,0,0,1,7.5
29,2017-01-21,foyera01,Randy Foye,255,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],20.9,Location.AWAY,CHARLOTTE_HORNETS,3,11,1415,4,12,3,7,0,0,0,2,5,0,0,0,7.5
30,2017-01-23,foyera01,Randy Foye,255,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.6,Location.HOME,SAN_ANTONIO_SPURS,26,1,1805,0,4,0,2,1,2,0,3,4,0,0,3,-2.3
