,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2018-11-02,frazime01,Melvin Frazier,256,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,LOS_ANGELES_CLIPPERS,12,0,331,0,0,0,0,0,0,0,0,0,0,0,0,-0.4
1,2018-11-11,frazime01,Melvin Frazier,256,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],-1.0,Location.AWAY,NEW_YORK_KNICKS,19,0,314,0,1,0,1,0,0,0,0,0,0,0,1,-1.7
2,2018-12-10,frazime01,Melvin Frazier,256,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.2,Location.AWAY,DALLAS_MAVERICKS,6,0,320,0,2,0,0,0,0,0,1,0,1,0,0,-0.9
3,2019-02-09,frazime01,Melvin Frazier,256,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.2,Location.AWAY,MILWAUKEE_BUCKS,16,6,186,3,3,0,0,0,0,1,0,0,0,0,0,5.8
4,2019-02-10,frazime01,Melvin Frazier,256,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.2,Location.AWAY,ATLANTA_HAWKS,0,0,207,0,0,0,0,0,0,1,0,0,0,0,0,0.3
5,2019-02-12,frazime01,Melvin Frazier,256,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.0,Location.AWAY,NEW_ORLEANS_PELICANS,18,2,241,1,5,0,1,0,0,0,0,0,0,0,0,-1.1
6,2019-02-14,frazime01,Melvin Frazier,256,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.0,Location.HOME,CHARLOTTE_HORNETS,3,4,321,2,3,0,1,0,0,0,0,0,0,0,0,2.7
7,2019-03-14,frazime01,Melvin Frazier,256,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.7,Location.HOME,CLEVELAND_CAVALIERS,5,1,173,0,1,0,0,1,2,1,0,1,0,0,0,1.3
8,2019-03-20,frazime01,Melvin Frazier,256,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.2,Location.HOME,NEW_ORLEANS_PELICANS,18,0,288,0,3,0,1,0,0,0,1,0,0,0,0,-2.6
9,2019-04-05,frazime01,Melvin Frazier,256,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.0,Location.HOME,ATLANTA_HAWKS,0,2,285,1,3,0,2,0,2,0,0,0,0,0,0,-0.5
10,2019-11-01,frazime01,Melvin Frazier,256,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.2,Location.HOME,MILWAUKEE_BUCKS,16,2,336,1,5,0,1,0,0,1,0,0,0,0,0,-0.4
11,2019-11-20,frazime01,Melvin Frazier,256,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.5,Location.AWAY,TORONTO_RAPTORS,27,0,124,0,0,0,0,0,0,0,0,1,0,0,0,0.7
12,2019-12-01,frazime01,Melvin Frazier,256,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,GOLDEN_STATE_WARRIORS,9,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,2019-12-04,frazime01,Melvin Frazier,256,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,PHOENIX_SUNS,23,0,155,0,1,0,0,0,0,0,0,0,0,0,0,-1.1
14,2019-12-13,frazime01,Melvin Frazier,256,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.0,Location.HOME,HOUSTON_ROCKETS,10,3,256,1,3,1,2,0,0,0,0,0,0,0,0,0.5
15,2019-12-20,frazime01,Melvin Frazier,256,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.2,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,3,129,1,1,1,1,0,0,0,1,0,0,0,0,3.0
16,2019-12-28,frazime01,Melvin Frazier,256,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.0,Location.AWAY,MILWAUKEE_BUCKS,16,1,108,0,0,0,0,1,2,0,0,0,1,0,0,1.6
17,2019-12-30,frazime01,Melvin Frazier,256,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.19999999999999996,Location.HOME,ATLANTA_HAWKS,0,0,234,0,1,0,0,0,0,0,1,0,0,0,1,-1.4
18,2020-01-01,frazime01,Melvin Frazier,256,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.0,Location.AWAY,WASHINGTON_WIZARDS,29,0,761,0,2,0,1,0,0,0,0,0,1,1,0,-1.3
19,2020-01-04,frazime01,Melvin Frazier,256,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.0,Location.HOME,UTAH_JAZZ,28,3,44,1,1,1,1,0,0,0,0,0,0,0,0,2.7
