,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2020-01-09,frazimi01,Michael Frazier,257,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.0,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,3,356,1,2,1,2,0,0,0,0,0,0,0,0,1.6
1,2020-01-11,frazimi01,Michael Frazier,257,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.1,Location.HOME,MINNESOTA_TIMBERWOLVES,17,2,470,1,3,0,2,0,0,1,2,1,0,0,0,1.9
2,2020-01-18,frazimi01,Michael Frazier,257,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,LOS_ANGELES_LAKERS,13,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3,2020-01-22,frazimi01,Michael Frazier,257,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.0,Location.HOME,DENVER_NUGGETS,7,0,356,0,1,0,1,0,0,0,0,0,1,0,0,-0.5
4,2020-01-27,frazimi01,Michael Frazier,257,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.0,Location.AWAY,UTAH_JAZZ,28,6,1209,1,3,1,2,3,4,0,0,0,0,0,0,2.3
5,2020-02-07,frazimi01,Michael Frazier,257,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.0,Location.AWAY,PHOENIX_SUNS,23,1,1097,0,0,0,0,1,2,0,0,0,1,0,2,-1.6
6,2020-02-11,frazimi01,Michael Frazier,257,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,BOSTON_CELTICS,1,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7,2020-02-20,frazimi01,Michael Frazier,257,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.0,Location.AWAY,GOLDEN_STATE_WARRIORS,9,2,364,1,2,0,1,0,0,0,0,0,0,0,0,0.2
8,2020-08-06,frazimi01,Michael Frazier,257,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,LOS_ANGELES_LAKERS,13,0,685,0,3,0,3,0,2,0,0,0,0,0,0,-4.5
9,2020-08-09,frazimi01,Michael Frazier,257,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.9,Location.AWAY,SACRAMENTO_KINGS,25,5,1102,1,3,1,2,2,2,0,2,1,0,0,0,3.4
10,2020-08-11,frazimi01,Michael Frazier,257,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.8,Location.AWAY,SAN_ANTONIO_SPURS,26,6,1176,1,5,1,4,3,4,0,4,0,0,0,2,1.7
11,2020-08-12,frazimi01,Michael Frazier,257,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.0,Location.HOME,INDIANA_PACERS,11,2,767,1,3,0,2,0,0,0,0,0,0,0,0,-0.1
12,2020-08-14,frazimi01,Michael Frazier,257,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.19999999999999996,Location.HOME,PHILADELPHIA_76ERS,22,0,996,0,4,0,4,0,0,0,1,0,0,0,1,-3.9
13,2020-08-18,frazimi01,Michael Frazier,257,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,OKLAHOMA_CITY_THUNDER,20,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,2020-08-29,frazimi01,Michael Frazier,257,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.9,Location.HOME,OKLAHOMA_CITY_THUNDER,20,3,224,1,3,1,1,0,0,0,2,1,0,0,1,1.6
