,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-25,fryech01,Channing Frye,260,[<Position.CENTER: 'CENTER'>],15.8,Location.HOME,NEW_YORK_KNICKS,19,6,849,2,6,2,5,0,0,2,2,0,1,1,1,3.7
1,2016-11-01,fryech01,Channing Frye,260,[<Position.CENTER: 'CENTER'>],15.8,Location.HOME,HOUSTON_ROCKETS,10,11,878,4,12,1,3,2,2,1,3,0,0,0,0,5.0
2,2016-11-03,fryech01,Channing Frye,260,[<Position.CENTER: 'CENTER'>],17.2,Location.HOME,BOSTON_CELTICS,1,11,877,4,7,3,3,0,0,0,1,0,1,1,1,7.9
3,2016-11-05,fryech01,Channing Frye,260,[<Position.CENTER: 'CENTER'>],23.4,Location.AWAY,PHILADELPHIA_76ERS,22,12,1105,4,9,4,8,0,0,0,2,2,2,0,0,10.1
4,2016-11-08,fryech01,Channing Frye,260,[<Position.CENTER: 'CENTER'>],22.9,Location.HOME,ATLANTA_HAWKS,0,13,1616,5,15,3,8,0,0,2,5,1,0,0,0,8.1
5,2016-11-11,fryech01,Channing Frye,260,[<Position.CENTER: 'CENTER'>],11.5,Location.AWAY,WASHINGTON_WIZARDS,29,8,860,3,8,2,4,0,0,0,0,1,0,1,1,4.0
6,2016-11-13,fryech01,Channing Frye,260,[<Position.CENTER: 'CENTER'>],31.6,Location.HOME,CHARLOTTE_HORNETS,3,20,1484,7,15,6,12,0,0,0,3,0,0,3,1,13.1
7,2016-11-15,fryech01,Channing Frye,260,[<Position.CENTER: 'CENTER'>],29.1,Location.HOME,TORONTO_RAPTORS,27,21,1177,7,10,5,8,2,2,1,2,1,0,1,0,18.7
8,2016-11-16,fryech01,Channing Frye,260,[<Position.CENTER: 'CENTER'>],19.0,Location.AWAY,INDIANA_PACERS,11,8,1647,3,9,2,8,0,0,0,5,2,0,2,4,2.4
9,2016-11-18,fryech01,Channing Frye,260,[<Position.CENTER: 'CENTER'>],2.4,Location.HOME,DETROIT_PISTONS,8,0,543,0,1,0,1,0,0,0,2,0,0,0,0,-0.5
10,2016-11-23,fryech01,Channing Frye,260,[<Position.CENTER: 'CENTER'>],22.1,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,14,828,4,6,4,6,2,2,0,3,1,0,1,0,13.7
11,2016-12-01,fryech01,Channing Frye,260,[<Position.CENTER: 'CENTER'>],10.0,Location.HOME,LOS_ANGELES_CLIPPERS,12,5,914,0,2,0,1,5,6,0,5,0,0,0,1,2.1
12,2016-12-02,fryech01,Channing Frye,260,[<Position.CENTER: 'CENTER'>],16.4,Location.AWAY,CHICAGO_BULLS,4,11,1266,5,6,1,2,0,0,0,2,0,1,0,0,9.6
13,2016-12-05,fryech01,Channing Frye,260,[<Position.CENTER: 'CENTER'>],18.0,Location.AWAY,TORONTO_RAPTORS,27,10,1144,3,7,2,5,2,2,1,4,2,0,0,1,8.2
14,2016-12-07,fryech01,Channing Frye,260,[<Position.CENTER: 'CENTER'>],9.0,Location.AWAY,NEW_YORK_KNICKS,19,6,783,2,4,2,3,0,0,0,0,0,1,0,0,4.2
15,2016-12-13,fryech01,Channing Frye,260,[<Position.CENTER: 'CENTER'>],9.7,Location.HOME,MEMPHIS_GRIZZLIES,14,8,878,2,6,1,4,3,3,0,1,1,0,0,1,3.8
16,2016-12-14,fryech01,Channing Frye,260,[<Position.CENTER: 'CENTER'>],6.6,Location.AWAY,MEMPHIS_GRIZZLIES,14,0,1357,0,4,0,2,0,0,0,3,0,1,0,0,-1.7
17,2016-12-17,fryech01,Channing Frye,260,[<Position.CENTER: 'CENTER'>],14.0,Location.HOME,LOS_ANGELES_LAKERS,13,8,845,3,3,2,2,0,0,0,0,2,1,0,0,9.1
18,2016-12-20,fryech01,Channing Frye,260,[<Position.CENTER: 'CENTER'>],21.6,Location.AWAY,MILWAUKEE_BUCKS,16,15,1480,5,11,3,7,2,2,1,2,2,0,0,0,10.4
