,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,gasolma01,Marc Gasol,269,[<Position.CENTER: 'CENTER'>],32.6,Location.HOME,MINNESOTA_TIMBERWOLVES,17,18,1947,7,17,1,3,3,4,1,2,2,0,4,4,9.2
1,2016-10-29,gasolma01,Marc Gasol,269,[<Position.CENTER: 'CENTER'>],33.7,Location.AWAY,NEW_YORK_KNICKS,19,20,1855,5,15,1,4,9,9,2,4,3,0,1,1,14.7
2,2016-10-30,gasolma01,Marc Gasol,269,[<Position.CENTER: 'CENTER'>],39.5,Location.HOME,WASHINGTON_WIZARDS,29,20,1741,6,14,4,6,4,6,1,9,1,1,1,0,17.2
3,2016-11-02,gasolma01,Marc Gasol,269,[<Position.CENTER: 'CENTER'>],42.2,Location.HOME,NEW_ORLEANS_PELICANS,18,8,2307,3,18,1,5,1,2,1,10,6,2,3,3,5.2
4,2016-11-04,gasolma01,Marc Gasol,269,[<Position.CENTER: 'CENTER'>],46.0,Location.HOME,LOS_ANGELES_CLIPPERS,12,21,2232,7,18,1,4,6,6,1,9,4,1,2,2,17.0
5,2016-11-06,gasolma01,Marc Gasol,269,[<Position.CENTER: 'CENTER'>],28.6,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,21,1665,7,14,1,2,6,8,0,3,2,1,0,2,13.7
6,2016-11-08,gasolma01,Marc Gasol,269,[<Position.CENTER: 'CENTER'>],32.4,Location.HOME,DENVER_NUGGETS,7,19,1820,9,14,0,1,1,3,0,2,6,0,1,1,16.1
7,2016-11-12,gasolma01,Marc Gasol,269,[<Position.CENTER: 'CENTER'>],37.0,Location.AWAY,MILWAUKEE_BUCKS,16,18,2051,6,13,1,4,5,6,1,4,6,0,2,2,14.0
8,2016-11-14,gasolma01,Marc Gasol,269,[<Position.CENTER: 'CENTER'>],25.0,Location.AWAY,UTAH_JAZZ,28,22,1950,9,17,2,6,2,4,0,5,0,1,0,6,8.6
9,2016-11-16,gasolma01,Marc Gasol,269,[<Position.CENTER: 'CENTER'>],43.2,Location.AWAY,LOS_ANGELES_CLIPPERS,12,26,2237,10,21,4,5,2,3,2,4,6,1,0,2,19.9
10,2016-11-18,gasolma01,Marc Gasol,269,[<Position.CENTER: 'CENTER'>],19.1,Location.AWAY,DALLAS_MAVERICKS,6,11,1457,5,12,1,1,0,0,0,3,3,0,0,0,7.6
