,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-25,gasolpa01,Pau Gasol,270,[<Position.CENTER: 'CENTER'>],7.300000000000001,Location.AWAY,GOLDEN_STATE_WARRIORS,9,2,1096,1,4,0,0,0,0,0,4,1,0,0,1,-0.7
1,2016-10-27,gasolpa01,Pau Gasol,270,[<Position.CENTER: 'CENTER'>],18.7,Location.AWAY,SACRAMENTO_KINGS,25,7,1233,3,7,1,1,0,0,0,6,1,1,1,3,3.7
2,2016-10-29,gasolpa01,Pau Gasol,270,[<Position.CENTER: 'CENTER'>],25.1,Location.HOME,NEW_ORLEANS_PELICANS,18,9,1302,3,6,1,1,2,2,1,7,5,0,0,1,11.3
3,2016-10-30,gasolpa01,Pau Gasol,270,[<Position.CENTER: 'CENTER'>],43.7,Location.AWAY,MIAMI_HEAT,15,20,1868,9,18,1,2,1,2,3,8,3,0,2,0,17.8
4,2016-11-01,gasolpa01,Pau Gasol,270,[<Position.CENTER: 'CENTER'>],29.6,Location.HOME,UTAH_JAZZ,28,8,1593,4,8,0,1,0,0,1,7,2,0,3,0,9.1
5,2016-11-04,gasolpa01,Pau Gasol,270,[<Position.CENTER: 'CENTER'>],23.2,Location.AWAY,UTAH_JAZZ,28,8,1400,4,9,0,0,0,0,1,5,2,0,2,1,7.3
6,2016-11-05,gasolpa01,Pau Gasol,270,[<Position.CENTER: 'CENTER'>],18.3,Location.HOME,LOS_ANGELES_CLIPPERS,12,11,1238,3,5,1,2,4,6,1,3,1,0,1,2,8.5
7,2016-11-09,gasolpa01,Pau Gasol,270,[<Position.CENTER: 'CENTER'>],13.9,Location.HOME,HOUSTON_ROCKETS,10,2,775,1,2,0,0,0,0,1,6,1,1,0,1,3.8
8,2016-11-11,gasolpa01,Pau Gasol,270,[<Position.CENTER: 'CENTER'>],48.8,Location.HOME,DETROIT_PISTONS,8,21,2153,10,16,1,3,0,0,4,5,6,1,2,1,22.9
9,2016-11-12,gasolpa01,Pau Gasol,270,[<Position.CENTER: 'CENTER'>],37.4,Location.AWAY,HOUSTON_ROCKETS,10,15,1948,5,10,0,1,5,8,1,6,6,0,2,1,14.7
10,2016-11-14,gasolpa01,Pau Gasol,270,[<Position.CENTER: 'CENTER'>],29.6,Location.HOME,MIAMI_HEAT,15,12,1886,6,15,0,1,0,2,2,6,2,1,1,1,7.6
11,2016-11-16,gasolpa01,Pau Gasol,270,[<Position.CENTER: 'CENTER'>],41.4,Location.AWAY,SACRAMENTO_KINGS,25,24,1883,10,17,0,1,4,7,1,6,2,0,2,0,19.0
12,2016-11-18,gasolpa01,Pau Gasol,270,[<Position.CENTER: 'CENTER'>],29.0,Location.AWAY,LOS_ANGELES_LAKERS,13,16,1704,6,13,0,0,4,4,0,5,2,0,2,2,10.4
13,2016-11-21,gasolpa01,Pau Gasol,270,[<Position.CENTER: 'CENTER'>],25.6,Location.HOME,DALLAS_MAVERICKS,6,16,1675,7,13,1,1,1,2,0,8,2,0,0,3,9.7
14,2016-11-23,gasolpa01,Pau Gasol,270,[<Position.CENTER: 'CENTER'>],38.1,Location.AWAY,CHARLOTTE_HORNETS,3,9,1781,4,8,1,2,0,0,1,7,5,3,1,0,15.0
15,2016-11-25,gasolpa01,Pau Gasol,270,[<Position.CENTER: 'CENTER'>],11.0,Location.AWAY,BOSTON_CELTICS,1,0,1035,0,5,0,1,0,0,0,5,2,0,1,1,-1.3
16,2016-11-26,gasolpa01,Pau Gasol,270,[<Position.CENTER: 'CENTER'>],27.0,Location.AWAY,WASHINGTON_WIZARDS,29,8,1760,4,7,0,1,0,0,2,8,2,1,1,2,8.4
