,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-11-16,geeal01,Alonzo Gee,273,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],1.5,Location.HOME,PHOENIX_SUNS,23,0,260,0,0,0,0,0,0,0,0,1,0,0,0,0.3
1,2016-11-18,geeal01,Alonzo Gee,273,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],1.2,Location.HOME,TORONTO_RAPTORS,27,0,77,0,0,0,0,0,2,1,0,0,0,0,0,-0.5
2,2016-11-20,geeal01,Alonzo Gee,273,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],4.4,Location.HOME,UTAH_JAZZ,28,2,436,0,1,0,0,2,2,0,2,0,0,0,0,1.5
3,2016-11-23,geeal01,Alonzo Gee,273,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],7.7,Location.AWAY,UTAH_JAZZ,28,2,744,1,1,0,0,0,0,0,1,1,0,1,0,2.6
4,2016-11-25,geeal01,Alonzo Gee,273,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],28.3,Location.HOME,OKLAHOMA_CITY_THUNDER,20,7,1601,2,8,0,3,3,5,1,3,3,4,0,0,8.7
5,2016-11-27,geeal01,Alonzo Gee,273,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],4.6,Location.AWAY,PHOENIX_SUNS,23,0,747,0,1,0,0,0,0,0,3,0,1,0,2,-1.6
6,2016-11-30,geeal01,Alonzo Gee,273,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.HOME,MIAMI_HEAT,15,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7,2016-12-02,geeal01,Alonzo Gee,273,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],3.9,Location.HOME,HOUSTON_ROCKETS,10,0,567,0,1,0,0,0,0,1,1,1,0,0,0,0.6
8,2016-12-03,geeal01,Alonzo Gee,273,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.AWAY,UTAH_JAZZ,28,0,269,0,1,0,0,0,0,0,0,0,0,0,0,-1.9
9,2016-12-05,geeal01,Alonzo Gee,273,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.AWAY,PHILADELPHIA_76ERS,22,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,2016-12-08,geeal01,Alonzo Gee,273,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.AWAY,WASHINGTON_WIZARDS,29,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,2016-12-12,geeal01,Alonzo Gee,273,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],1.2,Location.AWAY,DALLAS_MAVERICKS,6,0,231,0,0,0,0,0,0,1,0,0,0,0,0,0.7
12,2017-01-05,geeal01,Alonzo Gee,273,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],-0.8,Location.HOME,SAN_ANTONIO_SPURS,26,0,268,0,1,0,0,0,0,0,1,0,0,0,2,-3.2
