,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,georgpa01,Paul George,275,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],41.6,Location.HOME,DALLAS_MAVERICKS,6,25,2566,7,14,4,5,7,8,0,8,6,0,0,2,21.4
1,2016-10-28,georgpa01,Paul George,275,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],40.8,Location.AWAY,BROOKLYN_NETS,2,22,2167,8,22,2,8,4,4,1,8,2,2,0,1,14.5
2,2016-10-29,georgpa01,Paul George,275,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],25.7,Location.AWAY,CHICAGO_BULLS,4,20,1417,8,12,4,5,0,0,0,1,3,1,0,3,13.6
3,2016-11-01,georgpa01,Paul George,275,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],48.9,Location.HOME,LOS_ANGELES_LAKERS,13,30,2235,8,16,2,5,12,12,2,5,1,4,1,6,23.5
4,2016-11-03,georgpa01,Paul George,275,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],36.5,Location.AWAY,MILWAUKEE_BUCKS,16,23,2239,9,20,4,8,1,3,1,4,1,1,3,6,10.3
5,2016-11-05,georgpa01,Paul George,275,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],29.7,Location.HOME,CHICAGO_BULLS,4,13,1728,5,10,3,5,0,0,2,4,3,2,0,1,12.5
6,2016-11-07,georgpa01,Paul George,275,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],28.4,Location.AWAY,CHARLOTTE_HORNETS,3,10,1977,4,12,1,6,1,1,2,5,6,2,0,5,6.5
7,2016-11-09,georgpa01,Paul George,275,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],38.9,Location.HOME,PHILADELPHIA_76ERS,22,28,1899,13,22,2,7,0,0,1,6,3,1,0,5,17.2
8,2016-11-11,georgpa01,Paul George,275,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],46.6,Location.AWAY,PHILADELPHIA_76ERS,22,26,2429,9,20,1,4,7,7,3,5,4,2,0,1,21.0
9,2016-11-14,georgpa01,Paul George,275,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],34.7,Location.HOME,ORLANDO_MAGIC,21,13,2050,5,16,1,5,2,2,1,5,5,2,1,2,9.8
10,2016-11-16,georgpa01,Paul George,275,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],47.7,Location.HOME,CLEVELAND_CAVALIERS,5,21,2204,8,18,3,9,2,2,0,11,5,2,1,3,17.7
11,2016-11-23,georgpa01,Paul George,275,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],35.7,Location.HOME,ATLANTA_HAWKS,0,18,2255,6,22,2,11,4,4,1,5,3,3,0,3,8.5
12,2016-12-04,georgpa01,Paul George,275,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],38.9,Location.AWAY,LOS_ANGELES_CLIPPERS,12,16,2035,6,13,3,6,1,1,0,7,5,3,0,2,13.9
13,2016-12-05,georgpa01,Paul George,275,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],38.5,Location.AWAY,GOLDEN_STATE_WARRIORS,9,21,1880,4,12,0,2,13,13,1,9,3,1,0,2,17.9
14,2016-12-07,georgpa01,Paul George,275,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],48.1,Location.AWAY,PHOENIX_SUNS,23,25,2270,8,18,1,5,8,10,2,11,1,3,0,3,19.0
15,2016-12-09,georgpa01,Paul George,275,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],33.4,Location.AWAY,DALLAS_MAVERICKS,6,22,2397,8,16,3,4,3,3,0,7,0,2,0,3,13.1
16,2016-12-10,georgpa01,Paul George,275,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],54.5,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,37,2157,13,27,5,10,6,7,1,4,3,3,0,2,27.1
17,2016-12-12,georgpa01,Paul George,275,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],31.5,Location.HOME,CHARLOTTE_HORNETS,3,22,2168,9,17,3,7,1,1,0,5,3,1,0,4,13.9
18,2016-12-14,georgpa01,Paul George,275,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],32.9,Location.AWAY,MIAMI_HEAT,15,22,2309,8,22,4,11,2,2,1,6,3,0,0,2,11.6
19,2016-12-15,georgpa01,Paul George,275,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],31.0,Location.AWAY,NEW_ORLEANS_PELICANS,18,18,2183,6,13,2,3,4,4,1,4,4,2,0,5,11.0
20,2016-12-17,georgpa01,Paul George,275,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],46.4,Location.AWAY,DETROIT_PISTONS,8,26,2024,11,21,2,6,2,3,1,6,2,2,1,0,21.1
