,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-11-18,gibsojo01,Jonathan Gibson,276,[<Position.POINT_GUARD: 'POINT GUARD'>],19.3,Location.HOME,MEMPHIS_GRIZZLIES,14,11,1186,3,6,0,3,5,8,0,4,3,1,0,4,5.9
1,2016-11-19,gibsojo01,Jonathan Gibson,276,[<Position.POINT_GUARD: 'POINT GUARD'>],37.7,Location.AWAY,ORLANDO_MAGIC,21,26,1904,8,16,5,9,5,6,0,6,3,2,0,6,15.5
2,2016-11-21,gibsojo01,Jonathan Gibson,276,[<Position.POINT_GUARD: 'POINT GUARD'>],14.2,Location.AWAY,SAN_ANTONIO_SPURS,26,7,931,2,6,0,2,3,4,1,0,2,1,0,0,5.9
3,2016-11-23,gibsojo01,Jonathan Gibson,276,[<Position.POINT_GUARD: 'POINT GUARD'>],12.0,Location.HOME,LOS_ANGELES_CLIPPERS,12,11,1552,3,10,1,5,4,4,0,0,2,0,0,2,4.2
4,2016-11-25,gibsojo01,Jonathan Gibson,276,[<Position.POINT_GUARD: 'POINT GUARD'>],11.2,Location.AWAY,CLEVELAND_CAVALIERS,5,8,854,2,3,2,3,2,2,0,1,2,0,0,1,7.4
5,2016-11-27,gibsojo01,Jonathan Gibson,276,[<Position.POINT_GUARD: 'POINT GUARD'>],-1.0,Location.HOME,NEW_ORLEANS_PELICANS,18,0,207,0,1,0,1,0,0,0,0,0,0,0,1,-1.7
6,2016-11-30,gibsojo01,Jonathan Gibson,276,[<Position.POINT_GUARD: 'POINT GUARD'>],4.7,Location.HOME,SAN_ANTONIO_SPURS,26,3,263,1,2,1,2,0,0,0,1,1,0,0,1,2.0
7,2016-12-01,gibsojo01,Jonathan Gibson,276,[<Position.POINT_GUARD: 'POINT GUARD'>],23.4,Location.AWAY,CHARLOTTE_HORNETS,3,11,1611,5,15,1,4,0,2,0,2,4,2,0,2,4.3
8,2016-12-03,gibsojo01,Jonathan Gibson,276,[<Position.POINT_GUARD: 'POINT GUARD'>],12.9,Location.HOME,CHICAGO_BULLS,4,4,1009,2,7,0,2,0,0,0,2,3,1,0,1,2.2
9,2016-12-05,gibsojo01,Jonathan Gibson,276,[<Position.POINT_GUARD: 'POINT GUARD'>],17.4,Location.HOME,CHARLOTTE_HORNETS,3,13,1082,5,9,3,4,0,1,0,2,2,0,0,1,8.5
10,2016-12-07,gibsojo01,Jonathan Gibson,276,[<Position.POINT_GUARD: 'POINT GUARD'>],11.4,Location.HOME,SACRAMENTO_KINGS,25,7,1663,3,12,1,5,0,0,0,2,0,1,0,1,-0.4
11,2016-12-10,gibsojo01,Jonathan Gibson,276,[<Position.POINT_GUARD: 'POINT GUARD'>],2.0,Location.AWAY,HOUSTON_ROCKETS,10,0,848,0,5,0,3,0,0,0,0,2,0,0,1,-3.9
12,2016-12-12,gibsojo01,Jonathan Gibson,276,[<Position.POINT_GUARD: 'POINT GUARD'>],1.5,Location.HOME,DENVER_NUGGETS,7,0,209,0,0,0,0,0,0,0,0,1,0,0,0,0.7
13,2016-12-14,gibsojo01,Jonathan Gibson,276,[<Position.POINT_GUARD: 'POINT GUARD'>],2.0,Location.HOME,DETROIT_PISTONS,8,2,77,0,0,0,0,2,2,0,0,0,0,0,0,2.0
14,2016-12-18,gibsojo01,Jonathan Gibson,276,[<Position.POINT_GUARD: 'POINT GUARD'>],1.5,Location.HOME,SACRAMENTO_KINGS,25,0,131,0,0,0,0,0,0,0,0,1,0,0,0,0.3
15,2016-12-19,gibsojo01,Jonathan Gibson,276,[<Position.POINT_GUARD: 'POINT GUARD'>],4.2,Location.AWAY,DENVER_NUGGETS,7,3,332,1,3,1,2,0,0,0,1,0,0,0,0,1.2
16,2016-12-26,gibsojo01,Jonathan Gibson,276,[<Position.POINT_GUARD: 'POINT GUARD'>],0.0,Location.AWAY,NEW_ORLEANS_PELICANS,18,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,2018-04-06,gibsojo01,Jonathan Gibson,276,[<Position.POINT_GUARD: 'POINT GUARD'>],13.2,Location.HOME,CHICAGO_BULLS,4,9,561,3,6,3,5,0,0,0,1,2,0,0,0,6.9
18,2018-04-08,gibsojo01,Jonathan Gibson,276,[<Position.POINT_GUARD: 'POINT GUARD'>],2.0,Location.HOME,ATLANTA_HAWKS,0,2,185,1,2,0,1,0,0,0,0,0,0,0,0,1.0
19,2018-04-10,gibsojo01,Jonathan Gibson,276,[<Position.POINT_GUARD: 'POINT GUARD'>],5.0,Location.AWAY,WASHINGTON_WIZARDS,29,5,179,2,2,1,1,0,0,0,0,0,0,0,0,4.0
20,2018-04-11,gibsojo01,Jonathan Gibson,276,[<Position.POINT_GUARD: 'POINT GUARD'>],20.4,Location.HOME,BROOKLYN_NETS,2,18,1471,8,13,2,5,0,0,0,2,2,0,0,3,10.3
