,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2018-10-17,gilesha01,Harry Giles,278,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.7,Location.HOME,UTAH_JAZZ,28,2,578,1,2,0,0,0,0,0,1,1,0,0,1,-0.6
1,2018-10-19,gilesha01,Harry Giles,278,[<Position.POWER_FORWARD: 'POWER FORWARD'>],11.3,Location.AWAY,NEW_ORLEANS_PELICANS,18,7,1120,3,11,0,0,1,4,1,3,1,0,0,2,-2.8
2,2018-10-21,gilesha01,Harry Giles,278,[<Position.POWER_FORWARD: 'POWER FORWARD'>],26.2,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,8,1006,4,10,0,0,0,0,1,5,2,1,2,1,6.0
3,2018-10-23,gilesha01,Harry Giles,278,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.9,Location.AWAY,DENVER_NUGGETS,7,0,853,0,6,0,1,0,2,1,1,1,1,0,1,-4.9
4,2018-10-24,gilesha01,Harry Giles,278,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.40000000000000036,Location.HOME,MEMPHIS_GRIZZLIES,14,2,401,1,1,0,0,0,0,0,2,0,0,0,4,-2.1
5,2018-10-26,gilesha01,Harry Giles,278,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4.4,Location.HOME,WASHINGTON_WIZARDS,29,3,228,1,1,0,0,1,1,1,1,0,0,0,1,2.3
6,2018-11-01,gilesha01,Harry Giles,278,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.6,Location.AWAY,ATLANTA_HAWKS,0,4,329,2,3,0,0,0,0,1,2,0,1,0,0,5.0
7,2018-11-04,gilesha01,Harry Giles,278,[<Position.POWER_FORWARD: 'POWER FORWARD'>],8.4,Location.AWAY,MILWAUKEE_BUCKS,16,4,587,2,6,0,0,0,0,1,1,0,1,0,1,1.6
8,2018-11-10,gilesha01,Harry Giles,278,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4.4,Location.HOME,LOS_ANGELES_LAKERS,13,2,141,1,1,0,0,0,0,1,1,0,0,0,0,2.7
9,2018-11-12,gilesha01,Harry Giles,278,[<Position.POWER_FORWARD: 'POWER FORWARD'>],20.7,Location.HOME,SAN_ANTONIO_SPURS,26,12,949,6,10,0,0,0,0,2,4,1,1,0,3,6.7
