,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2018-10-17,gilgesh01,Shai Gilgeous-Alexander,279,[<Position.POINT_GUARD: 'POINT GUARD'>],22.4,Location.HOME,DENVER_NUGGETS,7,11,1692,5,6,0,0,1,1,0,2,4,1,1,3,10.5
1,2018-10-19,gilgesh01,Shai Gilgeous-Alexander,279,[<Position.POINT_GUARD: 'POINT GUARD'>],9.6,Location.HOME,OKLAHOMA_CITY_THUNDER,20,2,1396,0,2,0,1,2,2,0,3,4,0,0,2,1.5
2,2018-10-21,gilgesh01,Shai Gilgeous-Alexander,279,[<Position.POINT_GUARD: 'POINT GUARD'>],25.0,Location.HOME,HOUSTON_ROCKETS,10,12,1535,4,8,0,1,4,4,1,4,4,1,0,2,11.7
3,2018-10-23,gilgesh01,Shai Gilgeous-Alexander,279,[<Position.POINT_GUARD: 'POINT GUARD'>],19.8,Location.AWAY,NEW_ORLEANS_PELICANS,18,9,1331,3,8,1,1,2,2,2,2,2,1,1,3,5.1
4,2018-10-26,gilgesh01,Shai Gilgeous-Alexander,279,[<Position.POINT_GUARD: 'POINT GUARD'>],18.7,Location.AWAY,HOUSTON_ROCKETS,10,10,1869,3,7,1,1,3,4,0,1,1,2,0,0,8.5
5,2018-10-28,gilgesh01,Shai Gilgeous-Alexander,279,[<Position.POINT_GUARD: 'POINT GUARD'>],35.1,Location.HOME,WASHINGTON_WIZARDS,29,10,1702,4,8,1,1,1,2,2,6,7,2,0,1,13.1
6,2018-10-30,gilgesh01,Shai Gilgeous-Alexander,279,[<Position.POINT_GUARD: 'POINT GUARD'>],10.5,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,5,1360,2,4,0,1,1,1,0,0,3,0,1,2,3.8
7,2018-11-01,gilgesh01,Shai Gilgeous-Alexander,279,[<Position.POINT_GUARD: 'POINT GUARD'>],14.4,Location.AWAY,PHILADELPHIA_76ERS,22,7,1051,3,8,0,0,1,1,0,2,2,0,1,1,3.5
8,2018-11-02,gilgesh01,Shai Gilgeous-Alexander,279,[<Position.POINT_GUARD: 'POINT GUARD'>],10.7,Location.AWAY,ORLANDO_MAGIC,21,8,1487,2,6,0,2,4,4,0,1,1,1,0,3,2.4
9,2018-11-05,gilgesh01,Shai Gilgeous-Alexander,279,[<Position.POINT_GUARD: 'POINT GUARD'>],21.1,Location.HOME,MINNESOTA_TIMBERWOLVES,17,6,1473,2,6,0,1,2,2,2,1,5,1,1,2,6.7
10,2018-11-08,gilgesh01,Shai Gilgeous-Alexander,279,[<Position.POINT_GUARD: 'POINT GUARD'>],27.6,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,19,2121,7,12,2,2,3,6,1,2,2,0,1,1,13.4
11,2018-11-10,gilgesh01,Shai Gilgeous-Alexander,279,[<Position.POINT_GUARD: 'POINT GUARD'>],39.2,Location.HOME,MILWAUKEE_BUCKS,16,16,2391,5,13,2,3,4,4,1,5,4,1,3,2,13.8
12,2018-11-12,gilgesh01,Shai Gilgeous-Alexander,279,[<Position.POINT_GUARD: 'POINT GUARD'>],33.5,Location.HOME,GOLDEN_STATE_WARRIORS,9,18,2307,8,11,0,3,2,2,0,5,3,2,1,4,15.4
13,2018-11-15,gilgesh01,Shai Gilgeous-Alexander,279,[<Position.POINT_GUARD: 'POINT GUARD'>],13.0,Location.HOME,SAN_ANTONIO_SPURS,26,9,1625,4,9,0,2,1,2,2,3,0,0,0,2,2.6
14,2018-11-17,gilgesh01,Shai Gilgeous-Alexander,279,[<Position.POINT_GUARD: 'POINT GUARD'>],8.4,Location.AWAY,BROOKLYN_NETS,2,4,1201,2,9,0,1,0,0,0,2,2,0,0,1,-2.5
15,2018-11-19,gilgesh01,Shai Gilgeous-Alexander,279,[<Position.POINT_GUARD: 'POINT GUARD'>],22.9,Location.AWAY,ATLANTA_HAWKS,0,16,1749,5,9,0,2,6,8,2,0,1,1,1,3,11.3
16,2018-11-20,gilgesh01,Shai Gilgeous-Alexander,279,[<Position.POINT_GUARD: 'POINT GUARD'>],35.1,Location.AWAY,WASHINGTON_WIZARDS,29,17,1734,6,11,1,4,4,5,1,2,3,3,1,2,16.4
17,2018-11-23,gilgesh01,Shai Gilgeous-Alexander,279,[<Position.POINT_GUARD: 'POINT GUARD'>],19.9,Location.HOME,MEMPHIS_GRIZZLIES,14,8,1745,4,14,0,2,0,0,1,1,5,1,0,1,3.9
18,2018-11-25,gilgesh01,Shai Gilgeous-Alexander,279,[<Position.POINT_GUARD: 'POINT GUARD'>],23.8,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,12,1777,4,9,0,1,4,5,0,4,2,1,1,2,8.8
19,2018-11-28,gilgesh01,Shai Gilgeous-Alexander,279,[<Position.POINT_GUARD: 'POINT GUARD'>],32.4,Location.HOME,PHOENIX_SUNS,23,13,1735,5,11,2,2,1,2,3,4,6,1,1,4,12.1
20,2018-11-29,gilgesh01,Shai Gilgeous-Alexander,279,[<Position.POINT_GUARD: 'POINT GUARD'>],41.0,Location.AWAY,SACRAMENTO_KINGS,25,17,1948,6,9,1,1,4,5,1,4,4,2,2,0,19.6
21,2018-12-02,gilgesh01,Shai Gilgeous-Alexander,279,[<Position.POINT_GUARD: 'POINT GUARD'>],14.2,Location.AWAY,DALLAS_MAVERICKS,6,8,1457,2,5,0,1,4,4,0,1,0,1,1,1,5.9
22,2018-12-03,gilgesh01,Shai Gilgeous-Alexander,279,[<Position.POINT_GUARD: 'POINT GUARD'>],11.4,Location.AWAY,NEW_ORLEANS_PELICANS,18,7,1396,3,5,1,2,0,0,1,1,2,0,0,1,6.1
23,2018-12-05,gilgesh01,Shai Gilgeous-Alexander,279,[<Position.POINT_GUARD: 'POINT GUARD'>],33.8,Location.AWAY,MEMPHIS_GRIZZLIES,14,12,1720,4,9,1,1,3,4,1,3,4,3,1,1,13.6
24,2018-12-08,gilgesh01,Shai Gilgeous-Alexander,279,[<Position.POINT_GUARD: 'POINT GUARD'>],16.6,Location.HOME,MIAMI_HEAT,15,8,1161,3,9,0,1,2,2,1,2,2,1,0,1,4.4
25,2018-12-10,gilgesh01,Shai Gilgeous-Alexander,279,[<Position.POINT_GUARD: 'POINT GUARD'>],32.3,Location.AWAY,PHOENIX_SUNS,23,16,2015,8,12,0,0,0,0,2,2,5,1,1,2,14.8
26,2018-12-11,gilgesh01,Shai Gilgeous-Alexander,279,[<Position.POINT_GUARD: 'POINT GUARD'>],13.4,Location.HOME,TORONTO_RAPTORS,27,7,1315,3,6,1,2,0,0,1,1,2,1,0,2,5.0
27,2018-12-13,gilgesh01,Shai Gilgeous-Alexander,279,[<Position.POINT_GUARD: 'POINT GUARD'>],18.4,Location.AWAY,SAN_ANTONIO_SPURS,26,13,1695,6,8,1,2,0,0,1,1,2,1,0,3,9.8
28,2018-12-15,gilgesh01,Shai Gilgeous-Alexander,279,[<Position.POINT_GUARD: 'POINT GUARD'>],11.4,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,2,1272,1,4,0,0,0,2,1,1,2,1,1,2,0.9
29,2018-12-17,gilgesh01,Shai Gilgeous-Alexander,279,[<Position.POINT_GUARD: 'POINT GUARD'>],28.9,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,24,2269,9,15,2,7,4,5,0,2,3,0,0,2,16.2
30,2018-12-20,gilgesh01,Shai Gilgeous-Alexander,279,[<Position.POINT_GUARD: 'POINT GUARD'>],8.7,Location.HOME,DALLAS_MAVERICKS,6,4,1152,2,4,0,0,0,0,0,1,1,1,0,1,1.8
31,2018-12-22,gilgesh01,Shai Gilgeous-Alexander,279,[<Position.POINT_GUARD: 'POINT GUARD'>],34.4,Location.HOME,DENVER_NUGGETS,7,14,1954,6,10,0,0,2,2,0,2,6,2,1,0,16.1
32,2018-12-23,gilgesh01,Shai Gilgeous-Alexander,279,[<Position.POINT_GUARD: 'POINT GUARD'>],7.0,Location.AWAY,GOLDEN_STATE_WARRIORS,9,3,1661,1,3,1,1,0,0,0,0,2,0,1,2,0.6
33,2018-12-26,gilgesh01,Shai Gilgeous-Alexander,279,[<Position.POINT_GUARD: 'POINT GUARD'>],19.3,Location.HOME,SACRAMENTO_KINGS,25,13,1569,6,11,1,2,0,0,1,3,1,0,0,0,9.2
34,2018-12-28,gilgesh01,Shai Gilgeous-Alexander,279,[<Position.POINT_GUARD: 'POINT GUARD'>],10.2,Location.AWAY,LOS_ANGELES_LAKERS,13,7,1043,2,8,1,2,2,2,0,1,0,1,0,1,1.3
35,2018-12-29,gilgesh01,Shai Gilgeous-Alexander,279,[<Position.POINT_GUARD: 'POINT GUARD'>],7.9,Location.HOME,SAN_ANTONIO_SPURS,26,5,1254,2,3,1,1,0,0,0,2,1,0,0,1,2.8
36,2019-01-01,gilgesh01,Shai Gilgeous-Alexander,279,[<Position.POINT_GUARD: 'POINT GUARD'>],21.9,Location.HOME,PHILADELPHIA_76ERS,22,8,1207,4,7,0,1,0,0,1,1,5,2,0,2,7.2
