,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-27,gortama01,Marcin Gortat,286,[<Position.CENTER: 'CENTER'>],21.7,Location.AWAY,ATLANTA_HAWKS,0,4,1936,2,6,0,0,0,0,3,8,1,1,1,3,2.9
1,2016-10-30,gortama01,Marcin Gortat,286,[<Position.CENTER: 'CENTER'>],29.9,Location.AWAY,MEMPHIS_GRIZZLIES,14,14,2267,2,3,0,0,10,10,1,11,1,0,0,0,15.8
2,2016-11-02,gortama01,Marcin Gortat,286,[<Position.CENTER: 'CENTER'>],38.0,Location.HOME,TORONTO_RAPTORS,27,15,2581,6,10,0,0,3,4,1,9,2,1,2,1,15.4
3,2016-11-04,gortama01,Marcin Gortat,286,[<Position.CENTER: 'CENTER'>],34.0,Location.HOME,ATLANTA_HAWKS,0,12,1846,5,8,0,0,2,2,5,10,0,1,1,2,13.0
4,2016-11-05,gortama01,Marcin Gortat,286,[<Position.CENTER: 'CENTER'>],28.8,Location.AWAY,ORLANDO_MAGIC,21,8,2215,3,10,0,0,2,4,4,10,2,1,0,2,6.4
5,2016-11-07,gortama01,Marcin Gortat,286,[<Position.CENTER: 'CENTER'>],36.4,Location.HOME,HOUSTON_ROCKETS,10,14,2194,5,9,0,0,4,6,3,9,2,0,2,1,14.7
6,2016-11-09,gortama01,Marcin Gortat,286,[<Position.CENTER: 'CENTER'>],31.799999999999997,Location.HOME,BOSTON_CELTICS,1,13,1933,6,9,0,0,1,2,5,4,2,0,2,1,13.6
7,2016-11-11,gortama01,Marcin Gortat,286,[<Position.CENTER: 'CENTER'>],24.5,Location.HOME,CLEVELAND_CAVALIERS,5,4,1542,2,5,0,0,0,2,4,11,1,1,0,2,5.1
8,2016-11-12,gortama01,Marcin Gortat,286,[<Position.CENTER: 'CENTER'>],38.8,Location.AWAY,CHICAGO_BULLS,4,18,2078,9,12,0,0,0,0,3,11,2,0,1,2,17.1
9,2016-11-16,gortama01,Marcin Gortat,286,[<Position.CENTER: 'CENTER'>],25.3,Location.AWAY,PHILADELPHIA_76ERS,22,10,2339,5,6,0,0,0,1,2,12,1,0,0,3,8.9
10,2016-11-17,gortama01,Marcin Gortat,286,[<Position.CENTER: 'CENTER'>],29.1,Location.HOME,NEW_YORK_KNICKS,19,16,1841,7,12,0,0,2,4,2,6,1,0,1,1,11.6
11,2016-11-19,gortama01,Marcin Gortat,286,[<Position.CENTER: 'CENTER'>],36.2,Location.HOME,MIAMI_HEAT,15,10,2258,4,6,0,0,2,4,6,10,4,0,1,2,14.5
12,2016-11-21,gortama01,Marcin Gortat,286,[<Position.CENTER: 'CENTER'>],28.1,Location.HOME,PHOENIX_SUNS,23,10,2254,5,9,0,0,0,2,4,9,1,0,1,2,7.8
13,2016-11-25,gortama01,Marcin Gortat,286,[<Position.CENTER: 'CENTER'>],24.799999999999997,Location.AWAY,ORLANDO_MAGIC,21,12,2052,6,9,0,1,0,0,1,8,2,0,0,1,10.8
14,2016-11-26,gortama01,Marcin Gortat,286,[<Position.CENTER: 'CENTER'>],22.5,Location.HOME,SAN_ANTONIO_SPURS,26,10,1968,5,7,0,0,0,0,2,8,1,0,0,1,9.4
15,2016-11-28,gortama01,Marcin Gortat,286,[<Position.CENTER: 'CENTER'>],29.4,Location.HOME,SACRAMENTO_KINGS,25,10,2173,4,6,0,0,2,4,3,4,0,1,3,1,10.4
16,2016-11-30,gortama01,Marcin Gortat,286,[<Position.CENTER: 'CENTER'>],31.2,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,12,2141,6,12,0,0,0,2,4,7,2,0,1,0,10.6
17,2016-12-02,gortama01,Marcin Gortat,286,[<Position.CENTER: 'CENTER'>],55.599999999999994,Location.AWAY,SAN_ANTONIO_SPURS,26,21,2541,8,16,0,0,5,6,6,12,2,2,2,2,20.8
18,2016-12-05,gortama01,Marcin Gortat,286,[<Position.CENTER: 'CENTER'>],32.4,Location.AWAY,BROOKLYN_NETS,2,10,1972,5,9,0,0,0,0,3,9,2,0,2,1,11.5
