,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2018-10-22,grahade01,Devonte' Graham,287,[<Position.POINT_GUARD: 'POINT GUARD'>],1.5,Location.AWAY,TORONTO_RAPTORS,27,0,336,0,0,0,0,0,0,0,0,1,0,0,0,0.3
1,2018-10-27,grahade01,Devonte' Graham,287,[<Position.POINT_GUARD: 'POINT GUARD'>],11.4,Location.AWAY,PHILADELPHIA_76ERS,22,7,785,3,6,1,3,0,0,0,2,2,0,0,1,4.6
2,2018-11-13,grahade01,Devonte' Graham,287,[<Position.POINT_GUARD: 'POINT GUARD'>],1.5,Location.AWAY,CLEVELAND_CAVALIERS,5,0,395,0,2,0,2,0,0,0,0,1,0,0,0,-0.7
3,2018-11-21,grahade01,Devonte' Graham,287,[<Position.POINT_GUARD: 'POINT GUARD'>],-1.0,Location.HOME,INDIANA_PACERS,11,0,199,0,0,0,0,0,0,0,0,0,0,0,1,-1.4
4,2018-11-23,grahade01,Devonte' Graham,287,[<Position.POINT_GUARD: 'POINT GUARD'>],13.6,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,5,1144,2,6,1,5,0,0,0,3,2,1,0,1,3.1
5,2018-11-25,grahade01,Devonte' Graham,287,[<Position.POINT_GUARD: 'POINT GUARD'>],7.7,Location.AWAY,ATLANTA_HAWKS,0,2,903,1,3,0,2,0,0,0,1,3,0,0,0,2.3
6,2018-11-28,grahade01,Devonte' Graham,287,[<Position.POINT_GUARD: 'POINT GUARD'>],1.0,Location.HOME,ATLANTA_HAWKS,0,2,101,1,1,0,0,0,0,0,0,0,0,0,1,0.7
7,2018-11-30,grahade01,Devonte' Graham,287,[<Position.POINT_GUARD: 'POINT GUARD'>],0.0,Location.HOME,UTAH_JAZZ,28,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0.0
8,2018-12-02,grahade01,Devonte' Graham,287,[<Position.POINT_GUARD: 'POINT GUARD'>],18.7,Location.HOME,NEW_ORLEANS_PELICANS,18,8,1056,3,7,2,3,0,0,0,1,3,2,0,1,7.7
9,2018-12-05,grahade01,Devonte' Graham,287,[<Position.POINT_GUARD: 'POINT GUARD'>],1.5,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,0,144,0,0,0,0,0,0,0,0,1,0,0,0,0.7
10,2018-12-09,grahade01,Devonte' Graham,287,[<Position.POINT_GUARD: 'POINT GUARD'>],2.0,Location.AWAY,NEW_YORK_KNICKS,19,2,342,1,2,0,1,0,0,0,0,0,0,0,0,1.0
11,2018-12-15,grahade01,Devonte' Graham,287,[<Position.POINT_GUARD: 'POINT GUARD'>],15.399999999999999,Location.HOME,LOS_ANGELES_LAKERS,13,5,982,2,6,0,2,1,1,0,2,6,0,0,1,5.0
12,2018-12-23,grahade01,Devonte' Graham,287,[<Position.POINT_GUARD: 'POINT GUARD'>],21.7,Location.AWAY,BOSTON_CELTICS,1,7,720,3,5,0,1,1,1,0,1,5,2,0,0,10.5
13,2018-12-28,grahade01,Devonte' Graham,287,[<Position.POINT_GUARD: 'POINT GUARD'>],3.0,Location.HOME,BROOKLYN_NETS,2,0,314,0,2,0,1,0,0,0,0,0,1,0,0,-0.4
14,2018-12-29,grahade01,Devonte' Graham,287,[<Position.POINT_GUARD: 'POINT GUARD'>],25.3,Location.AWAY,WASHINGTON_WIZARDS,29,11,1302,4,6,1,2,2,2,0,4,5,1,0,1,12.3
15,2018-12-31,grahade01,Devonte' Graham,287,[<Position.POINT_GUARD: 'POINT GUARD'>],27.6,Location.HOME,ORLANDO_MAGIC,21,10,1444,3,8,2,3,2,2,0,3,4,3,0,1,10.5
16,2019-01-02,grahade01,Devonte' Graham,287,[<Position.POINT_GUARD: 'POINT GUARD'>],17.2,Location.HOME,DALLAS_MAVERICKS,6,10,2016,3,13,2,8,2,2,0,1,2,2,0,3,0.4
17,2019-01-05,grahade01,Devonte' Graham,287,[<Position.POINT_GUARD: 'POINT GUARD'>],25.6,Location.AWAY,DENVER_NUGGETS,7,10,1588,3,9,2,5,2,2,0,3,8,0,0,0,10.6
18,2019-01-06,grahade01,Devonte' Graham,287,[<Position.POINT_GUARD: 'POINT GUARD'>],18.6,Location.AWAY,PHOENIX_SUNS,23,8,1239,2,4,2,2,2,2,0,3,4,1,0,2,8.3
19,2019-01-08,grahade01,Devonte' Graham,287,[<Position.POINT_GUARD: 'POINT GUARD'>],10.2,Location.AWAY,LOS_ANGELES_CLIPPERS,12,3,764,1,4,1,2,0,0,0,1,2,1,0,0,1.7
20,2019-01-11,grahade01,Devonte' Graham,287,[<Position.POINT_GUARD: 'POINT GUARD'>],9.0,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,7,415,2,3,2,2,1,2,0,0,0,1,0,1,5.3
21,2019-01-12,grahade01,Devonte' Graham,287,[<Position.POINT_GUARD: 'POINT GUARD'>],16.1,Location.AWAY,SACRAMENTO_KINGS,25,8,1378,3,7,2,5,0,0,1,2,3,0,0,0,7.7
22,2019-01-14,grahade01,Devonte' Graham,287,[<Position.POINT_GUARD: 'POINT GUARD'>],6.0,Location.AWAY,SAN_ANTONIO_SPURS,26,0,657,0,2,0,2,0,0,0,0,4,0,0,0,1.0
23,2019-01-17,grahade01,Devonte' Graham,287,[<Position.POINT_GUARD: 'POINT GUARD'>],0.0,Location.HOME,SACRAMENTO_KINGS,25,0,554,0,3,0,3,0,0,0,0,0,0,0,0,-2.1
24,2019-01-19,grahade01,Devonte' Graham,287,[<Position.POINT_GUARD: 'POINT GUARD'>],3.0,Location.HOME,PHOENIX_SUNS,23,3,154,1,1,1,1,0,0,0,0,0,0,0,0,2.7
25,2019-01-20,grahade01,Devonte' Graham,287,[<Position.POINT_GUARD: 'POINT GUARD'>],0.0,Location.AWAY,INDIANA_PACERS,11,0,134,0,1,0,1,0,0,0,0,0,0,0,0,-0.7
26,2019-01-25,grahade01,Devonte' Graham,287,[<Position.POINT_GUARD: 'POINT GUARD'>],10.2,Location.AWAY,MILWAUKEE_BUCKS,16,8,1273,3,6,1,3,1,3,1,0,2,0,0,2,3.5
27,2019-01-30,grahade01,Devonte' Graham,287,[<Position.POINT_GUARD: 'POINT GUARD'>],12.7,Location.AWAY,BOSTON_CELTICS,1,6,1136,2,8,1,5,1,3,0,1,3,1,0,2,1.4
28,2019-02-06,grahade01,Devonte' Graham,287,[<Position.POINT_GUARD: 'POINT GUARD'>],13.4,Location.AWAY,DALLAS_MAVERICKS,6,7,687,3,6,1,3,0,0,1,1,2,1,0,2,5.0
29,2019-02-09,grahade01,Devonte' Graham,287,[<Position.POINT_GUARD: 'POINT GUARD'>],9.1,Location.AWAY,ATLANTA_HAWKS,0,4,663,1,4,1,4,1,2,0,3,1,0,0,0,2.0
30,2019-02-14,grahade01,Devonte' Graham,287,[<Position.POINT_GUARD: 'POINT GUARD'>],15.399999999999999,Location.AWAY,ORLANDO_MAGIC,21,2,1298,1,5,0,4,0,0,0,2,4,0,2,1,2.7
31,2019-03-09,grahade01,Devonte' Graham,287,[<Position.POINT_GUARD: 'POINT GUARD'>],10.4,Location.AWAY,MILWAUKEE_BUCKS,16,6,1026,2,6,1,3,1,1,0,2,2,0,0,1,3.6
32,2019-03-11,grahade01,Devonte' Graham,287,[<Position.POINT_GUARD: 'POINT GUARD'>],9.9,Location.AWAY,HOUSTON_ROCKETS,10,6,1119,2,6,2,5,0,0,1,1,1,0,0,0,3.1
33,2019-03-19,grahade01,Devonte' Graham,287,[<Position.POINT_GUARD: 'POINT GUARD'>],4.7,Location.HOME,PHILADELPHIA_76ERS,22,2,792,1,5,0,3,0,0,0,1,1,0,0,0,-0.5
34,2019-03-21,grahade01,Devonte' Graham,287,[<Position.POINT_GUARD: 'POINT GUARD'>],12.5,Location.HOME,MINNESOTA_TIMBERWOLVES,17,5,769,1,3,0,1,3,6,0,0,5,0,0,0,5.6
35,2019-03-23,grahade01,Devonte' Graham,287,[<Position.POINT_GUARD: 'POINT GUARD'>],12.1,Location.HOME,BOSTON_CELTICS,1,4,1231,1,6,1,3,1,2,0,3,3,0,0,0,2.0
36,2019-03-24,grahade01,Devonte' Graham,287,[<Position.POINT_GUARD: 'POINT GUARD'>],32.1,Location.AWAY,TORONTO_RAPTORS,27,10,1303,3,8,0,4,4,4,2,1,9,2,0,1,13.4
37,2019-03-26,grahade01,Devonte' Graham,287,[<Position.POINT_GUARD: 'POINT GUARD'>],17.7,Location.HOME,SAN_ANTONIO_SPURS,26,7,1307,1,5,0,2,5,6,0,1,7,0,0,1,6.9
38,2019-03-29,grahade01,Devonte' Graham,287,[<Position.POINT_GUARD: 'POINT GUARD'>],17.2,Location.AWAY,LOS_ANGELES_LAKERS,13,11,1361,4,6,2,4,1,1,0,1,4,0,0,1,10.1
