,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-11-02,grahatr01,Treveon Graham,288,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,PHILADELPHIA_76ERS,22,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1,2016-11-07,grahatr01,Treveon Graham,288,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.4,Location.HOME,INDIANA_PACERS,11,3,850,1,2,1,2,0,0,0,2,0,0,0,0,0.6
2,2016-11-11,grahatr01,Treveon Graham,288,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.6,Location.HOME,TORONTO_RAPTORS,27,2,1464,1,2,0,0,0,0,0,3,2,0,0,0,1.3
3,2016-11-28,grahatr01,Treveon Graham,288,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.0,Location.AWAY,MEMPHIS_GRIZZLIES,14,6,224,2,2,2,2,0,0,0,0,0,0,0,1,4.0
4,2016-11-29,grahatr01,Treveon Graham,288,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.2,Location.HOME,DETROIT_PISTONS,8,0,262,0,0,0,0,0,0,0,1,0,0,0,0,0.3
5,2016-12-09,grahatr01,Treveon Graham,288,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.2,Location.HOME,ORLANDO_MAGIC,21,4,311,1,2,0,1,2,2,0,1,0,0,0,0,3.3
6,2016-12-28,grahatr01,Treveon Graham,288,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.0,Location.AWAY,ORLANDO_MAGIC,21,1,258,0,0,0,0,1,2,0,0,0,0,0,0,0.6
7,2016-12-31,grahatr01,Treveon Graham,288,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.5,Location.HOME,CLEVELAND_CAVALIERS,5,3,119,1,1,1,1,0,2,0,0,1,0,0,0,2.6
8,2017-01-04,grahatr01,Treveon Graham,288,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,OKLAHOMA_CITY_THUNDER,20,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,2017-01-07,grahatr01,Treveon Graham,288,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.0,Location.AWAY,SAN_ANTONIO_SPURS,26,0,517,0,0,0,0,0,0,0,0,2,0,0,0,1.0
10,2017-01-10,grahatr01,Treveon Graham,288,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.2,Location.AWAY,HOUSTON_ROCKETS,10,0,225,0,0,0,0,0,0,0,1,0,0,0,0,0.3
11,2017-01-13,grahatr01,Treveon Graham,288,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.0,Location.AWAY,PHILADELPHIA_76ERS,22,2,251,0,0,0,0,2,2,0,0,0,1,0,0,2.6
12,2017-01-18,grahatr01,Treveon Graham,288,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,0,186,0,1,0,0,0,0,0,0,0,0,0,0,-0.7
13,2017-01-20,grahatr01,Treveon Graham,288,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.5999999999999996,Location.HOME,TORONTO_RAPTORS,27,0,329,0,2,0,0,0,0,1,2,0,0,0,1,-1.1
14,2017-01-31,grahatr01,Treveon Graham,288,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.2,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,0,385,0,1,0,0,0,0,1,0,0,0,0,0,0.0
15,2017-02-01,grahatr01,Treveon Graham,288,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.2,Location.AWAY,GOLDEN_STATE_WARRIORS,9,5,331,1,3,1,1,2,2,0,1,0,1,0,0,4.2
16,2017-02-04,grahatr01,Treveon Graham,288,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,UTAH_JAZZ,28,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,2017-02-15,grahatr01,Treveon Graham,288,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.2,Location.AWAY,TORONTO_RAPTORS,27,0,277,0,2,0,1,0,0,0,1,0,0,0,0,-1.1
18,2017-02-26,grahatr01,Treveon Graham,288,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.2,Location.AWAY,LOS_ANGELES_CLIPPERS,12,0,419,0,0,0,0,0,0,0,1,0,0,0,0,0.3
19,2017-03-02,grahatr01,Treveon Graham,288,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,PHOENIX_SUNS,23,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0.0
