,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-11-02,grantje02,Jerian Grant,291,[<Position.POINT_GUARD: 'POINT GUARD'>],11.9,Location.AWAY,BOSTON_CELTICS,1,6,792,3,3,0,0,0,0,0,2,3,0,0,1,6.4
1,2016-11-04,grantje02,Jerian Grant,291,[<Position.POINT_GUARD: 'POINT GUARD'>],1.5,Location.HOME,NEW_YORK_KNICKS,19,0,340,0,4,0,1,0,0,0,0,1,0,0,0,-2.1
2,2016-11-05,grantje02,Jerian Grant,291,[<Position.POINT_GUARD: 'POINT GUARD'>],22.4,Location.AWAY,INDIANA_PACERS,11,8,720,2,7,1,3,3,3,0,2,2,2,1,0,8.6
3,2016-11-07,grantje02,Jerian Grant,291,[<Position.POINT_GUARD: 'POINT GUARD'>],8.6,Location.HOME,ORLANDO_MAGIC,21,2,488,1,6,0,2,0,0,1,2,2,0,0,0,0.5
4,2016-11-12,grantje02,Jerian Grant,291,[<Position.POINT_GUARD: 'POINT GUARD'>],0.0,Location.HOME,WASHINGTON_WIZARDS,29,0,366,0,1,0,0,0,0,0,0,0,0,0,0,-1.1
5,2016-11-15,grantje02,Jerian Grant,291,[<Position.POINT_GUARD: 'POINT GUARD'>],39.6,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,18,1827,6,13,2,5,4,4,0,3,2,5,0,0,17.8
6,2016-11-17,grantje02,Jerian Grant,291,[<Position.POINT_GUARD: 'POINT GUARD'>],18.5,Location.AWAY,UTAH_JAZZ,28,6,1761,2,10,0,2,2,2,0,5,1,2,0,1,1.8
7,2016-11-19,grantje02,Jerian Grant,291,[<Position.POINT_GUARD: 'POINT GUARD'>],11.7,Location.AWAY,LOS_ANGELES_CLIPPERS,12,3,924,1,4,1,3,0,0,1,0,1,2,0,0,3.6
8,2016-11-20,grantje02,Jerian Grant,291,[<Position.POINT_GUARD: 'POINT GUARD'>],4.0,Location.AWAY,LOS_ANGELES_LAKERS,13,1,312,0,0,0,0,1,1,0,0,2,0,0,0,2.4
9,2016-11-25,grantje02,Jerian Grant,291,[<Position.POINT_GUARD: 'POINT GUARD'>],0.19999999999999996,Location.AWAY,PHILADELPHIA_76ERS,22,0,433,0,2,0,0,0,0,0,1,0,0,0,1,-2.9
