,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-25,greendr01,Draymond Green,294,[<Position.POWER_FORWARD: 'POWER FORWARD'>],57.4,Location.HOME,SAN_ANTONIO_SPURS,26,18,1957,7,14,2,5,2,2,5,7,6,5,1,2,23.7
1,2016-10-28,greendr01,Draymond Green,294,[<Position.POWER_FORWARD: 'POWER FORWARD'>],34.7,Location.AWAY,NEW_ORLEANS_PELICANS,18,8,2044,3,10,1,2,1,2,4,7,7,2,0,3,8.6
2,2016-10-30,greendr01,Draymond Green,294,[<Position.POWER_FORWARD: 'POWER FORWARD'>],41.1,Location.AWAY,PHOENIX_SUNS,23,5,2267,2,9,0,4,1,2,1,12,9,0,3,2,8.6
3,2016-11-01,greendr01,Draymond Green,294,[<Position.POWER_FORWARD: 'POWER FORWARD'>],44.1,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,6,1801,2,3,1,2,1,2,0,8,9,3,2,0,16.6
4,2016-11-03,greendr01,Draymond Green,294,[<Position.POWER_FORWARD: 'POWER FORWARD'>],39.5,Location.HOME,OKLAHOMA_CITY_THUNDER,20,9,1750,2,9,0,2,5,6,4,6,5,1,4,4,9.8
5,2016-11-04,greendr01,Draymond Green,294,[<Position.POWER_FORWARD: 'POWER FORWARD'>],43.8,Location.AWAY,LOS_ANGELES_LAKERS,13,16,2021,6,10,0,3,4,6,2,7,4,4,0,1,19.5
6,2016-11-07,greendr01,Draymond Green,294,[<Position.POWER_FORWARD: 'POWER FORWARD'>],44.9,Location.HOME,NEW_ORLEANS_PELICANS,18,4,2082,2,7,0,1,0,0,2,10,11,2,2,2,12.2
7,2016-11-09,greendr01,Draymond Green,294,[<Position.POWER_FORWARD: 'POWER FORWARD'>],36.0,Location.HOME,DALLAS_MAVERICKS,6,16,2076,6,11,4,6,0,1,1,9,4,0,1,1,15.0
8,2016-11-10,greendr01,Draymond Green,294,[<Position.POWER_FORWARD: 'POWER FORWARD'>],39.3,Location.AWAY,DENVER_NUGGETS,7,13,1726,4,7,3,4,2,2,0,9,5,3,0,1,17.1
9,2016-11-13,greendr01,Draymond Green,294,[<Position.POWER_FORWARD: 'POWER FORWARD'>],50.9,Location.HOME,PHOENIX_SUNS,23,14,2221,4,10,1,5,5,5,2,5,11,3,2,3,19.4
