,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,greenge01,Gerald Green,295,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],17.0,Location.HOME,BROOKLYN_NETS,2,9,885,4,7,1,2,0,0,1,4,2,0,0,1,7.6
1,2016-10-27,greenge01,Gerald Green,295,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],7.4,Location.AWAY,CHICAGO_BULLS,4,2,620,1,4,0,2,0,0,0,2,0,0,1,0,0.9
2,2016-10-29,greenge01,Gerald Green,295,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],4.5,Location.AWAY,CHARLOTTE_HORNETS,3,4,681,1,4,0,2,2,2,0,0,1,0,0,1,0.9
3,2016-11-02,greenge01,Gerald Green,295,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],9.7,Location.HOME,CHICAGO_BULLS,4,4,818,1,3,0,2,2,2,1,0,3,0,0,0,4.7
4,2016-11-03,greenge01,Gerald Green,295,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],6.0,Location.AWAY,CLEVELAND_CAVALIERS,5,6,548,2,6,2,4,0,0,0,0,0,0,0,0,2.2
5,2016-11-06,greenge01,Gerald Green,295,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],15.399999999999999,Location.HOME,DENVER_NUGGETS,7,8,628,3,4,2,3,0,0,0,2,4,0,0,1,7.6
6,2016-11-09,greenge01,Gerald Green,295,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],1.7000000000000002,Location.AWAY,WASHINGTON_WIZARDS,29,0,687,0,3,0,2,0,0,0,1,1,0,0,1,-2.9
7,2016-11-11,greenge01,Gerald Green,295,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.7000000000000002,Location.HOME,NEW_YORK_KNICKS,19,0,200,0,1,0,0,0,0,1,0,1,0,0,2,-1.3
8,2016-11-16,greenge01,Gerald Green,295,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],11.9,Location.HOME,DALLAS_MAVERICKS,6,2,449,1,4,0,2,0,0,1,1,3,1,0,0,3.3
9,2016-11-18,greenge01,Gerald Green,295,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],13.2,Location.HOME,GOLDEN_STATE_WARRIORS,9,6,1006,2,11,2,5,0,0,0,6,0,0,0,0,0.5
10,2016-12-03,greenge01,Gerald Green,295,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],4.0,Location.AWAY,PHILADELPHIA_76ERS,22,1,174,0,2,0,1,1,2,0,0,0,1,0,0,0.2
11,2016-12-07,greenge01,Gerald Green,295,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],5.7,Location.AWAY,ORLANDO_MAGIC,21,1,496,0,2,0,1,1,2,0,1,1,1,0,1,-0.2
12,2016-12-20,greenge01,Gerald Green,295,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],7.6,Location.AWAY,MEMPHIS_GRIZZLIES,14,5,436,2,6,1,3,0,0,1,2,0,0,0,1,1.9
13,2016-12-25,greenge01,Gerald Green,295,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],19.1,Location.AWAY,NEW_YORK_KNICKS,19,8,700,3,6,2,3,0,0,1,2,1,1,1,0,8.7
14,2016-12-27,greenge01,Gerald Green,295,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],28.5,Location.HOME,MEMPHIS_GRIZZLIES,14,19,1128,7,10,3,5,2,2,3,2,1,0,1,1,17.9
15,2016-12-29,greenge01,Gerald Green,295,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],14.0,Location.AWAY,CLEVELAND_CAVALIERS,5,8,935,3,6,2,4,0,0,0,0,0,1,1,0,5.1
16,2016-12-30,greenge01,Gerald Green,295,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],4.7,Location.HOME,MIAMI_HEAT,15,2,340,1,2,0,0,0,0,0,1,1,0,0,0,2.0
17,2017-01-06,greenge01,Gerald Green,295,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],3.0,Location.HOME,PHILADELPHIA_76ERS,22,3,211,1,1,1,1,0,0,0,0,0,0,0,0,2.3
18,2017-01-07,greenge01,Gerald Green,295,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],18.6,Location.HOME,NEW_ORLEANS_PELICANS,18,15,952,3,7,2,3,7,7,0,3,0,0,0,0,11.0
19,2017-01-10,greenge01,Gerald Green,295,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],18.0,Location.AWAY,TORONTO_RAPTORS,27,14,1442,6,12,0,3,2,2,0,5,0,0,0,2,6.7
20,2017-01-11,greenge01,Gerald Green,295,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],13.1,Location.HOME,WASHINGTON_WIZARDS,29,5,865,2,6,1,4,0,1,1,2,1,1,0,0,4.2
21,2017-01-13,greenge01,Gerald Green,295,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],4.2,Location.AWAY,ATLANTA_HAWKS,0,3,498,1,6,1,4,0,0,0,1,0,0,0,0,-0.5
22,2017-01-16,greenge01,Gerald Green,295,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],1.5,Location.HOME,CHARLOTTE_HORNETS,3,0,210,0,0,0,0,0,0,0,0,1,0,0,0,0.7
23,2017-01-18,greenge01,Gerald Green,295,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],1.5,Location.HOME,NEW_YORK_KNICKS,19,0,280,0,3,0,1,0,0,0,0,1,0,0,0,-1.8
24,2017-01-25,greenge01,Gerald Green,295,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],10.8,Location.HOME,HOUSTON_ROCKETS,10,7,974,3,5,1,3,0,0,0,4,0,0,0,1,3.7
25,2017-01-27,greenge01,Gerald Green,295,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],7.1,Location.HOME,ORLANDO_MAGIC,21,2,870,1,5,0,1,0,0,1,2,1,0,0,0,0.1
26,2017-01-28,greenge01,Gerald Green,295,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],9.2,Location.AWAY,MILWAUKEE_BUCKS,16,5,806,2,7,1,3,0,0,0,1,0,0,1,0,1.1
27,2017-01-30,greenge01,Gerald Green,295,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],6.4,Location.HOME,DETROIT_PISTONS,8,4,819,1,5,0,1,2,2,0,2,0,0,0,0,1.5
28,2017-02-01,greenge01,Gerald Green,295,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],6.7,Location.HOME,TORONTO_RAPTORS,27,2,365,1,3,0,1,0,0,0,1,1,1,0,1,0.9
29,2017-02-05,greenge01,Gerald Green,295,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],3.2,Location.HOME,LOS_ANGELES_CLIPPERS,12,2,458,1,3,0,2,0,0,0,1,0,0,0,0,0.6
30,2017-02-08,greenge01,Gerald Green,295,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],9.9,Location.AWAY,SACRAMENTO_KINGS,25,7,772,2,7,1,2,2,4,1,1,1,0,0,1,2.4
31,2017-02-09,greenge01,Gerald Green,295,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],13.7,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,11,1075,5,6,1,1,0,0,1,0,1,0,0,0,9.4
32,2017-02-11,greenge01,Gerald Green,295,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],15.0,Location.AWAY,UTAH_JAZZ,28,16,1371,7,8,2,3,0,0,0,0,0,0,0,1,11.0
33,2017-02-13,greenge01,Gerald Green,295,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],14.2,Location.AWAY,DALLAS_MAVERICKS,6,10,819,4,8,2,3,0,0,0,1,2,0,0,0,7.3
34,2017-02-15,greenge01,Gerald Green,295,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],1.5,Location.HOME,PHILADELPHIA_76ERS,22,0,388,0,3,0,1,0,0,0,0,1,0,0,0,-1.8
35,2017-02-16,greenge01,Gerald Green,295,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],8.6,Location.AWAY,CHICAGO_BULLS,4,6,692,2,5,2,4,0,0,1,2,0,0,0,1,3.6
36,2017-03-05,greenge01,Gerald Green,295,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],5.8,Location.AWAY,PHOENIX_SUNS,23,2,884,1,5,0,3,0,0,1,3,0,0,0,1,-0.9
37,2017-03-10,greenge01,Gerald Green,295,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],14.6,Location.AWAY,DENVER_NUGGETS,7,6,910,1,2,1,2,3,4,0,3,0,2,0,1,6.5
38,2017-03-17,greenge01,Gerald Green,295,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],13.6,Location.AWAY,BROOKLYN_NETS,2,11,1039,4,8,1,3,2,2,0,3,0,0,0,1,6.1
39,2017-03-19,greenge01,Gerald Green,295,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],9.4,Location.AWAY,PHILADELPHIA_76ERS,22,5,822,2,5,1,3,0,0,0,2,0,0,1,1,2.6
40,2017-03-24,greenge01,Gerald Green,295,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],15.2,Location.HOME,PHOENIX_SUNS,23,15,752,4,5,4,4,3,3,0,1,0,0,0,1,11.2
41,2017-03-26,greenge01,Gerald Green,295,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],-1.0,Location.HOME,MIAMI_HEAT,15,0,236,0,2,0,1,0,0,0,0,0,0,0,1,-2.4
42,2017-03-31,greenge01,Gerald Green,295,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],6.0,Location.HOME,ORLANDO_MAGIC,21,6,518,3,4,0,1,0,0,0,0,0,0,0,0,4.0
43,2017-04-02,greenge01,Gerald Green,295,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.7000000000000002,Location.AWAY,NEW_YORK_KNICKS,19,0,372,0,2,0,2,0,0,0,1,1,0,0,2,-2.4
44,2017-04-05,greenge01,Gerald Green,295,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],6.5,Location.HOME,CLEVELAND_CAVALIERS,5,2,615,1,3,0,2,0,2,0,0,1,0,1,0,0.9
45,2017-04-06,greenge01,Gerald Green,295,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],1.5,Location.AWAY,ATLANTA_HAWKS,0,0,264,0,0,0,0,0,0,0,0,1,0,0,0,0.7
46,2017-04-12,greenge01,Gerald Green,295,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],25.7,Location.HOME,MILWAUKEE_BUCKS,16,18,1264,6,15,2,8,4,4,1,5,1,0,0,1,11.0
47,2017-12-28,greenge01,Gerald Green,295,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],1.2,Location.AWAY,BOSTON_CELTICS,1,0,662,0,3,0,2,0,0,0,1,0,0,0,0,-3.0
