,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],11.1,Location.HOME,MIAMI_HEAT,15,7,1514,2,7,0,2,3,4,1,2,1,0,0,1,3.1
1,2016-10-28,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],16.9,Location.AWAY,DETROIT_PISTONS,8,10,1164,4,9,2,6,0,0,0,2,1,0,1,0,6.1
2,2016-10-29,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],28.0,Location.AWAY,CLEVELAND_CAVALIERS,5,10,1679,2,9,2,6,4,6,1,9,2,1,1,3,7.2
3,2016-11-01,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7.4,Location.AWAY,PHILADELPHIA_76ERS,22,2,705,1,5,0,2,0,0,0,2,0,0,1,0,-0.2
4,2016-11-03,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],17.6,Location.HOME,SACRAMENTO_KINGS,25,15,1116,5,9,3,4,2,2,1,2,0,0,0,1,11.0
5,2016-11-05,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],30.5,Location.HOME,WASHINGTON_WIZARDS,29,18,1630,5,12,2,5,6,7,1,4,3,0,1,1,14.5
6,2016-11-07,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],11.3,Location.AWAY,CHICAGO_BULLS,4,5,875,2,6,1,3,0,0,2,2,1,0,0,0,3.5
7,2016-11-09,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],11.1,Location.HOME,MINNESOTA_TIMBERWOLVES,17,8,1257,2,6,1,3,3,3,1,2,1,0,0,2,4.2
8,2016-11-11,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.1,Location.HOME,UTAH_JAZZ,28,4,1407,1,6,0,3,2,2,0,3,1,1,0,0,2.4
9,2016-11-13,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],21.5,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,11,1667,4,8,1,3,2,2,0,0,3,0,2,0,9.7
10,2016-11-14,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.4,Location.AWAY,INDIANA_PACERS,11,3,1336,1,4,0,3,1,2,1,1,0,0,0,0,0.4
11,2016-11-16,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],2.9,Location.HOME,NEW_ORLEANS_PELICANS,18,0,1225,0,9,0,4,0,0,0,2,1,0,0,1,-6.4
12,2016-11-19,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],16.6,Location.HOME,DALLAS_MAVERICKS,6,8,1300,4,7,0,1,0,0,0,3,2,1,0,1,5.8
13,2016-11-21,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],21.8,Location.AWAY,MILWAUKEE_BUCKS,16,11,1887,4,9,1,4,2,2,1,3,4,1,0,3,8.7
14,2016-11-23,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],14.6,Location.HOME,PHOENIX_SUNS,23,3,1371,0,7,0,1,3,4,1,2,2,1,1,1,0.3
15,2016-11-25,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],8.6,Location.HOME,WASHINGTON_WIZARDS,29,7,1529,3,9,1,3,0,0,0,3,0,0,0,2,0.8
16,2016-11-29,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.6,Location.AWAY,SAN_ANTONIO_SPURS,26,6,1483,3,10,0,2,0,0,1,2,2,0,0,0,2.1
17,2016-12-01,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],18.9,Location.AWAY,MEMPHIS_GRIZZLIES,14,14,1631,5,8,0,3,4,5,0,2,1,1,0,2,9.5
18,2016-12-02,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],25.7,Location.AWAY,PHILADELPHIA_76ERS,22,16,1369,6,13,2,4,2,2,1,5,3,0,0,2,10.8
19,2016-12-04,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],21.5,Location.AWAY,DETROIT_PISTONS,8,14,1799,6,11,2,3,0,0,0,5,3,0,0,3,8.9
20,2016-12-06,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],25.6,Location.AWAY,WASHINGTON_WIZARDS,29,20,1509,6,9,1,2,7,8,0,3,0,1,0,1,15.8
21,2016-12-07,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.4,Location.HOME,BOSTON_CELTICS,1,3,1341,1,5,1,2,0,0,1,1,2,1,0,1,1.9
22,2016-12-09,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.8,Location.AWAY,CHARLOTTE_HORNETS,3,3,1412,1,5,0,1,1,1,1,3,2,0,0,1,1.9
23,2016-12-10,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],22.3,Location.HOME,DENVER_NUGGETS,7,17,1528,6,10,2,4,3,4,0,4,1,0,0,1,12.5
24,2016-12-13,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],19.3,Location.AWAY,ATLANTA_HAWKS,0,16,1850,6,14,1,4,3,3,1,3,1,0,0,3,7.5
25,2016-12-14,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],29.6,Location.HOME,LOS_ANGELES_CLIPPERS,12,19,1643,7,11,4,5,1,1,0,3,2,2,0,2,14.8
26,2016-12-16,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],6.0,Location.HOME,BROOKLYN_NETS,2,6,1591,2,8,0,4,2,2,0,0,0,0,0,0,0.8
27,2016-12-18,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],6.1,Location.HOME,TORONTO_RAPTORS,27,3,1481,1,7,0,4,1,2,0,3,1,0,0,2,-2.7
28,2016-12-20,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],22.1,Location.AWAY,MIAMI_HEAT,15,14,1922,4,9,0,1,6,6,0,3,1,1,0,0,11.1
29,2016-12-22,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],19.7,Location.AWAY,NEW_YORK_KNICKS,19,10,1716,3,8,0,2,4,4,0,1,1,3,0,2,7.6
30,2016-12-23,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4.699999999999999,Location.HOME,LOS_ANGELES_LAKERS,13,6,1227,2,3,1,2,1,2,0,1,1,0,0,4,0.5
31,2016-12-26,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.1,Location.HOME,MEMPHIS_GRIZZLIES,14,4,1433,2,11,0,2,0,0,1,2,1,0,0,0,-0.9
32,2016-12-28,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],6.5,Location.HOME,CHARLOTTE_HORNETS,3,5,895,1,4,0,3,3,3,0,0,1,0,0,0,3.3
33,2017-01-01,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],21.4,Location.AWAY,INDIANA_PACERS,11,17,1378,7,12,3,6,0,0,1,1,2,0,0,1,12.0
34,2017-01-02,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],20.1,Location.AWAY,NEW_YORK_KNICKS,19,10,1621,3,10,1,3,3,4,1,2,1,2,0,1,5.6
35,2017-01-04,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],15.7,Location.HOME,ATLANTA_HAWKS,0,10,1252,3,4,1,1,3,4,0,1,1,0,1,0,8.9
36,2017-01-06,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.7,Location.HOME,HOUSTON_ROCKETS,10,7,1195,3,8,1,3,0,0,0,1,1,1,0,2,2.6
37,2017-01-08,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.2,Location.AWAY,LOS_ANGELES_LAKERS,13,6,1410,2,5,0,1,2,2,0,1,0,0,0,2,0.8
38,2017-01-11,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],15.0,Location.AWAY,LOS_ANGELES_CLIPPERS,12,10,1528,3,13,0,3,4,5,2,3,0,0,0,1,1.8
39,2017-01-13,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],13.0,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,5,1190,2,4,1,1,0,0,0,5,2,0,0,1,4.5
40,2017-01-14,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],15.0,Location.AWAY,UTAH_JAZZ,28,11,1057,4,9,1,3,2,4,1,4,0,0,0,2,5.4
41,2017-01-16,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],18.7,Location.AWAY,DENVER_NUGGETS,7,13,1032,3,9,1,4,6,6,0,1,1,1,0,0,9.9
42,2017-01-18,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],20.4,Location.AWAY,NEW_ORLEANS_PELICANS,18,13,1395,5,10,1,4,2,2,0,2,0,2,0,1,9.6
43,2017-01-20,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],36.6,Location.HOME,MILWAUKEE_BUCKS,16,18,1609,6,13,1,5,5,5,3,5,2,1,1,0,16.4
44,2017-01-22,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],18.1,Location.HOME,GOLDEN_STATE_WARRIORS,9,12,1640,4,12,2,3,2,3,2,1,1,0,1,2,5.5
45,2017-01-24,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],23.9,Location.HOME,CHICAGO_BULLS,4,13,2055,3,11,0,3,7,7,1,6,1,1,0,2,7.5
46,2017-01-27,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4.8,Location.AWAY,BOSTON_CELTICS,1,2,948,0,5,0,2,2,2,2,2,0,0,0,2,-1.9
47,2017-01-29,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],27.6,Location.AWAY,TORONTO_RAPTORS,27,16,1633,6,8,2,3,2,4,1,2,2,2,0,1,14.9
48,2017-01-30,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],20.6,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,10,1508,4,6,1,2,1,1,0,3,4,1,0,2,9.7
49,2017-02-01,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.2,Location.HOME,INDIANA_PACERS,11,6,988,2,7,0,2,2,2,0,1,0,1,0,0,2.8
50,2017-02-03,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],6.2,Location.HOME,TORONTO_RAPTORS,27,6,809,3,9,0,1,0,0,1,0,0,0,0,1,0.2
51,2017-02-04,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],19.0,Location.AWAY,ATLANTA_HAWKS,0,12,1062,3,7,1,3,5,5,0,5,0,1,0,2,8.8
52,2017-02-09,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.0,Location.HOME,PHILADELPHIA_76ERS,22,3,1076,1,7,1,2,0,0,0,5,0,0,0,0,-1.6
53,2017-02-11,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.1,Location.AWAY,DALLAS_MAVERICKS,6,7,897,3,8,0,2,1,1,1,2,1,0,0,0,4.2
54,2017-02-13,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],18.4,Location.AWAY,MIAMI_HEAT,15,13,1214,5,11,0,2,3,3,0,2,0,1,0,0,7.3
55,2017-02-15,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],18.6,Location.HOME,SAN_ANTONIO_SPURS,26,11,2080,4,11,0,4,3,3,0,3,2,1,0,2,5.4
56,2017-02-23,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],21.8,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,8,1104,1,3,0,2,6,8,0,4,4,1,0,0,10.1
57,2017-02-25,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],13.8,Location.HOME,ATLANTA_HAWKS,0,7,1314,1,4,1,3,4,4,1,3,0,1,0,1,5.0
58,2017-03-01,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],22.4,Location.HOME,NEW_YORK_KNICKS,19,11,1451,4,10,1,5,2,2,0,2,0,1,2,0,7.0
59,2017-03-03,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],15.100000000000001,Location.HOME,MIAMI_HEAT,15,11,957,5,8,0,1,1,2,0,3,1,0,0,1,7.2
60,2017-03-05,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],14.4,Location.AWAY,WASHINGTON_WIZARDS,29,12,1323,5,11,1,2,1,2,0,2,0,0,0,0,6.5
61,2017-03-06,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],17.2,Location.HOME,NEW_YORK_KNICKS,19,15,1211,5,10,1,4,4,4,0,1,0,0,1,2,7.8
62,2017-03-08,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],20.0,Location.HOME,CHICAGO_BULLS,4,9,1151,4,10,1,4,0,0,2,3,2,1,0,1,6.5
63,2017-03-10,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],2.0,Location.AWAY,CHARLOTTE_HORNETS,3,3,357,1,1,1,1,0,0,0,0,0,0,0,1,1.7
64,2017-03-11,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.6,Location.HOME,CLEVELAND_CAVALIERS,5,7,1069,3,7,0,1,1,1,0,3,2,0,0,1,4.2
65,2017-03-13,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],24.0,Location.AWAY,SACRAMENTO_KINGS,25,7,1137,2,6,0,2,3,3,0,5,2,3,0,1,7.7
66,2017-03-16,greenje02,Jeff Green,298,[<Position.POWER_FORWARD: 'POWER FORWARD'>],21.3,Location.AWAY,GOLDEN_STATE_WARRIORS,9,13,1080,6,9,1,2,0,0,2,2,1,1,0,1,10.2
