,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-27,griffbl01,Blake Griffin,299,[<Position.POWER_FORWARD: 'POWER FORWARD'>],56.6,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,27,2193,9,22,1,3,8,9,5,8,2,3,1,1,22.8
1,2016-10-30,griffbl01,Blake Griffin,299,[<Position.POWER_FORWARD: 'POWER FORWARD'>],32.5,Location.HOME,UTAH_JAZZ,28,18,1787,7,14,0,1,4,6,3,7,1,1,0,2,13.3
2,2016-10-31,griffbl01,Blake Griffin,299,[<Position.POWER_FORWARD: 'POWER FORWARD'>],39.7,Location.HOME,PHOENIX_SUNS,23,21,1890,4,7,1,1,12,14,0,11,5,0,1,5,17.4
3,2016-11-02,griffbl01,Blake Griffin,299,[<Position.POWER_FORWARD: 'POWER FORWARD'>],39.3,Location.HOME,OKLAHOMA_CITY_THUNDER,20,14,2040,7,21,0,2,0,3,3,6,5,2,1,2,7.4
4,2016-11-04,griffbl01,Blake Griffin,299,[<Position.POWER_FORWARD: 'POWER FORWARD'>],30.0,Location.AWAY,MEMPHIS_GRIZZLIES,14,14,2131,5,13,0,0,4,6,2,8,2,1,0,2,9.1
5,2016-11-05,griffbl01,Blake Griffin,299,[<Position.POWER_FORWARD: 'POWER FORWARD'>],41.5,Location.AWAY,SAN_ANTONIO_SPURS,26,28,1749,13,19,0,2,2,3,1,4,3,1,0,0,23.7
6,2016-11-07,griffbl01,Blake Griffin,299,[<Position.POWER_FORWARD: 'POWER FORWARD'>],37.5,Location.HOME,DETROIT_PISTONS,8,13,1672,5,11,0,1,3,4,1,9,9,0,0,1,14.8
7,2016-11-09,griffbl01,Blake Griffin,299,[<Position.POWER_FORWARD: 'POWER FORWARD'>],54.1,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,22,1581,7,14,0,1,8,10,4,9,5,2,1,0,25.9
8,2016-11-11,griffbl01,Blake Griffin,299,[<Position.POWER_FORWARD: 'POWER FORWARD'>],39.7,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,25,2173,10,20,0,1,5,7,2,4,3,2,0,3,17.5
9,2016-11-12,griffbl01,Blake Griffin,299,[<Position.POWER_FORWARD: 'POWER FORWARD'>],40.2,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,20,2201,7,17,0,0,6,8,1,10,4,0,1,2,14.1
