,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2019-10-23,gudurma01,Marko Guduric,300,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],11.4,Location.AWAY,MIAMI_HEAT,15,9,1446,4,8,0,3,1,1,0,2,2,0,0,3,3.6
1,2019-10-25,gudurma01,Marko Guduric,300,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.1,Location.HOME,CHICAGO_BULLS,4,7,1025,3,8,1,3,0,0,2,1,1,0,0,2,2.2
2,2019-10-27,gudurma01,Marko Guduric,300,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.2,Location.HOME,BROOKLYN_NETS,2,2,342,0,1,0,1,2,2,1,0,0,0,0,1,1.0
3,2019-10-29,gudurma01,Marko Guduric,300,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.9,Location.AWAY,LOS_ANGELES_LAKERS,13,0,1377,0,5,0,4,0,0,0,2,3,0,1,1,-1.5
4,2019-11-02,gudurma01,Marko Guduric,300,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.6,Location.HOME,PHOENIX_SUNS,23,2,733,1,3,0,1,0,0,1,7,2,0,0,0,4.5
5,2019-11-04,gudurma01,Marko Guduric,300,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.199999999999999,Location.HOME,HOUSTON_ROCKETS,10,4,1030,2,6,0,2,0,0,0,1,0,1,0,3,-1.5
6,2019-11-06,gudurma01,Marko Guduric,300,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],16.8,Location.HOME,MINNESOTA_TIMBERWOLVES,17,7,988,3,5,1,1,0,0,1,3,4,0,0,1,7.7
7,2019-11-08,gudurma01,Marko Guduric,300,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.1,Location.AWAY,ORLANDO_MAGIC,21,6,1488,2,4,2,3,0,0,1,2,1,0,1,0,5.9
8,2019-11-09,gudurma01,Marko Guduric,300,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],28.6,Location.HOME,DALLAS_MAVERICKS,6,14,1691,5,9,1,2,3,3,1,2,4,2,0,1,14.8
9,2019-11-11,gudurma01,Marko Guduric,300,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],11.0,Location.AWAY,SAN_ANTONIO_SPURS,26,5,725,2,3,1,1,0,0,0,0,4,0,0,0,6.1
10,2019-11-13,gudurma01,Marko Guduric,300,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],24.4,Location.AWAY,CHARLOTTE_HORNETS,3,17,1176,6,9,4,6,1,1,0,2,0,1,1,1,14.4
11,2019-11-15,gudurma01,Marko Guduric,300,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.5,Location.HOME,UTAH_JAZZ,28,0,737,0,6,0,4,0,0,0,0,1,0,0,1,-5.3
12,2019-11-17,gudurma01,Marko Guduric,300,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.6,Location.HOME,DENVER_NUGGETS,7,2,1326,1,9,0,4,0,0,2,1,2,1,1,0,0.5
13,2019-11-19,gudurma01,Marko Guduric,300,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],-0.8,Location.HOME,GOLDEN_STATE_WARRIORS,9,0,369,0,1,0,0,0,0,0,1,0,0,0,2,-3.2
14,2019-11-23,gudurma01,Marko Guduric,300,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.7,Location.HOME,LOS_ANGELES_LAKERS,13,6,792,2,8,2,4,0,0,0,1,1,0,0,0,1.8
15,2019-11-25,gudurma01,Marko Guduric,300,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.5,Location.AWAY,INDIANA_PACERS,11,5,488,2,3,1,1,0,0,0,0,1,0,0,0,4.4
16,2019-11-27,gudurma01,Marko Guduric,300,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.5,Location.HOME,LOS_ANGELES_CLIPPERS,12,4,564,1,3,0,2,2,2,0,0,1,1,0,2,1.2
17,2019-11-29,gudurma01,Marko Guduric,300,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.6,Location.HOME,UTAH_JAZZ,28,7,745,3,5,1,3,0,0,1,2,0,0,0,2,4.0
18,2019-12-01,gudurma01,Marko Guduric,300,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.2,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,8,758,3,6,1,2,1,1,0,1,2,0,0,2,3.9
19,2019-12-02,gudurma01,Marko Guduric,300,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],11.6,Location.HOME,INDIANA_PACERS,11,3,978,1,5,1,5,0,0,0,3,2,0,1,1,1.5
20,2019-12-04,gudurma01,Marko Guduric,300,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.0,Location.AWAY,CHICAGO_BULLS,4,2,286,0,1,0,1,2,2,0,0,0,0,0,0,1.3
21,2019-12-07,gudurma01,Marko Guduric,300,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],19.0,Location.AWAY,UTAH_JAZZ,28,8,1026,3,5,1,2,1,3,1,4,2,1,0,1,7.4
22,2019-12-09,gudurma01,Marko Guduric,300,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.2,Location.AWAY,GOLDEN_STATE_WARRIORS,9,2,702,1,3,0,2,0,0,0,1,0,1,0,0,1.6
23,2019-12-11,gudurma01,Marko Guduric,300,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.7,Location.AWAY,PHOENIX_SUNS,23,3,341,1,1,1,1,0,0,1,0,1,0,0,3,0.3
24,2019-12-13,gudurma01,Marko Guduric,300,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.4,Location.HOME,MILWAUKEE_BUCKS,16,0,756,0,5,0,4,0,0,0,2,0,1,0,0,-1.9
25,2019-12-14,gudurma01,Marko Guduric,300,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],12.6,Location.HOME,WASHINGTON_WIZARDS,29,4,1016,1,4,0,2,2,2,0,3,2,0,1,1,3.2
26,2020-01-04,gudurma01,Marko Guduric,300,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.7,Location.AWAY,LOS_ANGELES_CLIPPERS,12,0,180,0,1,0,0,0,0,0,1,1,0,0,0,0.3
27,2020-01-12,gudurma01,Marko Guduric,300,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.5,Location.HOME,GOLDEN_STATE_WARRIORS,9,0,134,0,0,0,0,0,0,0,0,1,0,0,0,0.7
28,2020-01-22,gudurma01,Marko Guduric,300,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.4,Location.AWAY,BOSTON_CELTICS,1,2,669,0,1,0,1,2,2,0,2,0,0,1,1,1.2
29,2020-01-26,gudurma01,Marko Guduric,300,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],-2.0,Location.HOME,PHOENIX_SUNS,23,0,300,0,1,0,0,0,0,0,0,0,0,0,2,-3.1
30,2020-01-28,gudurma01,Marko Guduric,300,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],16.8,Location.HOME,DENVER_NUGGETS,7,5,842,2,4,1,3,0,0,0,4,2,2,0,2,4.8
31,2020-01-29,gudurma01,Marko Guduric,300,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.4,Location.AWAY,NEW_YORK_KNICKS,19,5,763,1,2,1,2,2,2,0,2,0,0,0,1,2.8
32,2020-02-07,gudurma01,Marko Guduric,300,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.0,Location.AWAY,PHILADELPHIA_76ERS,22,9,264,3,3,1,1,2,2,0,0,0,0,0,0,8.1
