,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2019-10-23,hachiru01,Rui Hachimura,302,[<Position.POWER_FORWARD: 'POWER FORWARD'>],26.0,Location.AWAY,DALLAS_MAVERICKS,6,14,1491,7,15,0,3,0,0,4,6,0,0,0,0,10.1
1,2019-10-25,hachiru01,Rui Hachimura,302,[<Position.POWER_FORWARD: 'POWER FORWARD'>],30.0,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,19,2079,8,20,0,4,3,3,1,4,2,1,0,1,11.1
2,2019-10-26,hachiru01,Rui Hachimura,302,[<Position.POWER_FORWARD: 'POWER FORWARD'>],34.1,Location.AWAY,SAN_ANTONIO_SPURS,26,16,2279,8,14,0,1,0,0,3,5,3,1,1,2,14.8
3,2019-10-30,hachiru01,Rui Hachimura,302,[<Position.POWER_FORWARD: 'POWER FORWARD'>],28.0,Location.HOME,HOUSTON_ROCKETS,10,23,2131,9,15,3,3,2,2,2,3,0,0,0,1,16.6
4,2019-11-02,hachiru01,Rui Hachimura,302,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.4,Location.HOME,MINNESOTA_TIMBERWOLVES,17,4,1349,2,11,0,2,0,0,1,1,0,0,0,1,-3.7
5,2019-11-04,hachiru01,Rui Hachimura,302,[<Position.POWER_FORWARD: 'POWER FORWARD'>],23.3,Location.HOME,DETROIT_PISTONS,8,12,978,5,7,1,2,1,1,2,2,3,1,0,1,11.6
6,2019-11-06,hachiru01,Rui Hachimura,302,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.1,Location.AWAY,INDIANA_PACERS,11,0,1250,0,5,0,1,0,0,1,7,1,0,0,1,-1.0
7,2019-11-08,hachiru01,Rui Hachimura,302,[<Position.POWER_FORWARD: 'POWER FORWARD'>],37.9,Location.HOME,CLEVELAND_CAVALIERS,5,21,2118,10,13,0,0,1,2,4,3,3,2,0,2,20.1
8,2019-11-13,hachiru01,Rui Hachimura,302,[<Position.POWER_FORWARD: 'POWER FORWARD'>],31.8,Location.AWAY,BOSTON_CELTICS,1,21,1455,9,12,0,1,3,4,3,1,2,1,0,0,18.6
9,2019-11-15,hachiru01,Rui Hachimura,302,[<Position.POWER_FORWARD: 'POWER FORWARD'>],21.3,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,8,1511,4,10,0,2,0,0,1,3,3,2,0,2,5.9
