,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2017-11-15,hamilda02,Daniel Hamilton,305,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,CHICAGO_BULLS,4,0,217,0,1,0,0,0,0,0,0,0,0,0,0,-0.7
1,2018-01-03,hamilda02,Daniel Hamilton,305,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],17.2,Location.AWAY,LOS_ANGELES_LAKERS,13,7,302,3,4,1,2,0,0,0,1,4,1,0,0,9.5
2,2018-02-08,hamilda02,Daniel Hamilton,305,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],11.1,Location.AWAY,LOS_ANGELES_LAKERS,13,5,943,2,5,1,2,0,0,0,3,3,0,0,2,3.3
3,2018-02-11,hamilda02,Daniel Hamilton,305,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.2,Location.HOME,MEMPHIS_GRIZZLIES,14,0,59,0,1,0,1,0,0,0,1,0,0,0,0,-0.4
4,2018-03-13,hamilda02,Daniel Hamilton,305,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,ATLANTA_HAWKS,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,2018-04-11,hamilda02,Daniel Hamilton,305,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.5,Location.HOME,MEMPHIS_GRIZZLIES,14,0,90,0,0,0,0,0,0,0,0,1,0,0,0,-0.1
6,2018-11-15,hamilda02,Daniel Hamilton,305,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,DENVER_NUGGETS,7,1,474,0,2,0,1,1,2,0,0,0,0,0,1,-1.8
7,2018-11-28,hamilda02,Daniel Hamilton,305,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.5,Location.AWAY,CHARLOTTE_HORNETS,3,2,241,1,2,0,0,0,0,0,0,1,0,0,0,1.7
8,2018-12-14,hamilda02,Daniel Hamilton,305,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.9,Location.AWAY,BOSTON_CELTICS,1,3,404,1,3,1,1,0,0,0,2,1,0,0,0,2.2
9,2018-12-16,hamilda02,Daniel Hamilton,305,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.9,Location.AWAY,BROOKLYN_NETS,2,3,829,1,2,1,2,0,0,0,2,1,1,0,1,2.5
10,2018-12-18,hamilda02,Daniel Hamilton,305,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.5,Location.HOME,WASHINGTON_WIZARDS,29,0,457,0,1,0,1,0,0,0,0,1,0,0,0,0.0
11,2018-12-21,hamilda02,Daniel Hamilton,305,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,NEW_YORK_KNICKS,19,0,228,0,1,0,0,0,0,0,0,0,0,0,0,-1.1
12,2018-12-23,hamilda02,Daniel Hamilton,305,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.5,Location.AWAY,DETROIT_PISTONS,8,0,234,0,1,0,1,0,0,0,0,1,0,0,1,-1.0
13,2018-12-31,hamilda02,Daniel Hamilton,305,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],19.7,Location.AWAY,INDIANA_PACERS,11,8,932,4,8,0,2,0,0,2,4,3,0,0,0,8.7
14,2019-01-02,hamilda02,Daniel Hamilton,305,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],17.9,Location.AWAY,WASHINGTON_WIZARDS,29,8,1251,3,8,1,3,1,2,2,5,1,0,0,0,6.4
15,2019-01-04,hamilda02,Daniel Hamilton,305,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.300000000000001,Location.AWAY,MILWAUKEE_BUCKS,16,2,1334,1,1,0,0,0,0,1,3,1,0,0,3,0.6
16,2019-01-06,hamilda02,Daniel Hamilton,305,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],25.6,Location.HOME,MIAMI_HEAT,15,9,1408,4,9,1,2,0,0,3,5,6,0,0,2,9.3
17,2019-01-08,hamilda02,Daniel Hamilton,305,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],16.7,Location.AWAY,TORONTO_RAPTORS,27,6,874,2,3,1,1,1,2,0,1,1,3,0,1,6.1
18,2019-01-09,hamilda02,Daniel Hamilton,305,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.8,Location.AWAY,BROOKLYN_NETS,2,2,742,1,3,0,2,0,0,0,4,0,0,0,3,-2.3
