,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,hamilju01,Justin Hamilton,306,[<Position.CENTER: 'CENTER'>],33.0,Location.AWAY,BOSTON_CELTICS,1,19,1520,7,12,3,6,2,3,6,4,2,0,0,1,17.2
1,2016-10-28,hamilju01,Justin Hamilton,306,[<Position.CENTER: 'CENTER'>],19.9,Location.HOME,INDIANA_PACERS,11,8,1701,3,8,1,6,1,1,2,5,1,0,1,1,5.7
2,2016-10-29,hamilju01,Justin Hamilton,306,[<Position.CENTER: 'CENTER'>],25.1,Location.AWAY,MILWAUKEE_BUCKS,16,6,1794,2,6,2,4,0,0,1,2,1,3,2,1,6.8
3,2016-10-31,hamilju01,Justin Hamilton,306,[<Position.CENTER: 'CENTER'>],14.4,Location.HOME,CHICAGO_BULLS,4,0,1001,0,4,0,2,0,0,2,5,0,1,1,0,1.8
4,2016-11-02,hamilju01,Justin Hamilton,306,[<Position.CENTER: 'CENTER'>],16.1,Location.HOME,DETROIT_PISTONS,8,6,1385,3,4,0,0,0,0,1,2,3,0,1,1,6.7
5,2016-11-04,hamilju01,Justin Hamilton,306,[<Position.CENTER: 'CENTER'>],18.3,Location.HOME,CHARLOTTE_HORNETS,3,9,1184,4,7,1,4,0,0,0,4,1,1,0,0,8.6
6,2016-11-08,hamilju01,Justin Hamilton,306,[<Position.CENTER: 'CENTER'>],14.2,Location.HOME,MINNESOTA_TIMBERWOLVES,17,9,1417,3,4,3,4,0,0,0,6,0,0,0,2,6.0
7,2016-11-09,hamilju01,Justin Hamilton,306,[<Position.CENTER: 'CENTER'>],28.8,Location.AWAY,NEW_YORK_KNICKS,19,21,1352,8,13,5,7,0,0,1,3,0,1,0,0,17.7
8,2016-11-12,hamilju01,Justin Hamilton,306,[<Position.CENTER: 'CENTER'>],18.6,Location.AWAY,PHOENIX_SUNS,23,7,1549,2,2,1,1,2,3,0,3,0,2,1,1,8.2
9,2016-11-14,hamilju01,Justin Hamilton,306,[<Position.CENTER: 'CENTER'>],5.6,Location.AWAY,LOS_ANGELES_CLIPPERS,12,3,1278,1,5,1,4,0,0,1,2,0,0,0,1,-0.6
10,2016-11-15,hamilju01,Justin Hamilton,306,[<Position.CENTER: 'CENTER'>],18.2,Location.AWAY,LOS_ANGELES_LAKERS,13,9,1445,3,6,1,4,2,2,0,6,0,1,0,1,7.4
11,2016-11-18,hamilju01,Justin Hamilton,306,[<Position.CENTER: 'CENTER'>],12.4,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,10,1257,4,6,2,4,0,0,0,2,0,0,0,0,6.0
12,2016-11-20,hamilju01,Justin Hamilton,306,[<Position.CENTER: 'CENTER'>],16.1,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,11,1323,4,7,3,6,0,0,0,3,1,0,0,0,8.9
13,2016-11-23,hamilju01,Justin Hamilton,306,[<Position.CENTER: 'CENTER'>],5.0,Location.HOME,BOSTON_CELTICS,1,2,1144,0,2,0,1,2,3,0,0,0,0,1,0,0.9
14,2016-11-25,hamilju01,Justin Hamilton,306,[<Position.CENTER: 'CENTER'>],5.9,Location.AWAY,INDIANA_PACERS,11,0,998,0,2,0,1,0,0,1,1,1,1,0,1,-0.9
15,2016-11-27,hamilju01,Justin Hamilton,306,[<Position.CENTER: 'CENTER'>],25.5,Location.HOME,SACRAMENTO_KINGS,25,6,1411,3,7,0,2,0,0,4,6,3,1,0,0,10.0
16,2016-11-29,hamilju01,Justin Hamilton,306,[<Position.CENTER: 'CENTER'>],20.8,Location.HOME,LOS_ANGELES_CLIPPERS,12,7,1480,2,6,1,3,2,4,0,4,2,0,2,0,6.4
17,2016-12-01,hamilju01,Justin Hamilton,306,[<Position.CENTER: 'CENTER'>],15.399999999999999,Location.HOME,MILWAUKEE_BUCKS,16,5,1046,2,9,1,5,0,0,1,1,2,2,0,1,2.5
18,2016-12-03,hamilju01,Justin Hamilton,306,[<Position.CENTER: 'CENTER'>],6.1,Location.AWAY,MILWAUKEE_BUCKS,16,0,1098,0,6,0,3,0,0,1,2,1,1,0,2,-4.0
