,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-11-07,harriaa01,Aaron Harrison,315,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.7,Location.HOME,INDIANA_PACERS,11,0,195,0,1,0,0,0,0,0,1,1,0,0,0,0.3
1,2016-11-21,harriaa01,Aaron Harrison,315,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,MEMPHIS_GRIZZLIES,14,0,194,0,1,0,1,0,0,0,0,0,0,0,0,-1.1
2,2016-11-28,harriaa01,Aaron Harrison,315,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.5,Location.AWAY,MEMPHIS_GRIZZLIES,14,1,224,0,1,0,0,1,2,0,0,1,0,0,0,0.6
3,2016-11-29,harriaa01,Aaron Harrison,315,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.2,Location.HOME,DETROIT_PISTONS,8,0,262,0,1,0,1,0,0,0,1,0,0,0,0,-0.8
4,2016-12-31,harriaa01,Aaron Harrison,315,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.7,Location.HOME,CLEVELAND_CAVALIERS,5,0,119,0,0,0,0,0,0,0,1,1,0,0,0,1.0
5,2018-03-22,harriaa01,Aaron Harrison,315,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.9,Location.HOME,UTAH_JAZZ,28,6,1174,2,5,0,2,2,3,1,1,1,1,1,0,4.7
6,2018-03-27,harriaa01,Aaron Harrison,315,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],21.0,Location.AWAY,SACRAMENTO_KINGS,25,10,1498,3,8,2,7,2,2,0,5,0,1,1,1,6.6
7,2018-03-28,harriaa01,Aaron Harrison,315,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.5,Location.AWAY,LOS_ANGELES_LAKERS,13,0,1315,0,5,0,5,0,0,0,0,1,0,0,0,-4.4
8,2018-03-30,harriaa01,Aaron Harrison,315,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.4,Location.HOME,MINNESOTA_TIMBERWOLVES,17,2,893,1,4,0,2,0,0,0,2,2,0,0,0,1.2
9,2018-04-01,harriaa01,Aaron Harrison,315,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.6,Location.AWAY,CLEVELAND_CAVALIERS,5,4,933,1,5,0,2,2,2,0,3,0,1,0,0,2.4
10,2018-04-03,harriaa01,Aaron Harrison,315,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],24.8,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,6,1548,1,8,1,5,3,4,0,4,4,3,0,1,5.2
11,2018-04-04,harriaa01,Aaron Harrison,315,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23.8,Location.AWAY,ORLANDO_MAGIC,21,13,2501,5,10,3,6,0,0,1,3,2,1,0,0,10.4
12,2018-04-06,harriaa01,Aaron Harrison,315,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.0,Location.AWAY,DETROIT_PISTONS,8,3,1253,1,6,1,5,0,0,0,0,0,0,0,1,-3.0
13,2018-04-10,harriaa01,Aaron Harrison,315,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],28.3,Location.HOME,PHOENIX_SUNS,23,16,2880,5,18,2,9,4,6,2,2,1,2,0,0,7.7
