,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,harrian01,Andrew Harrison,316,[<Position.POINT_GUARD: 'POINT GUARD'>],13.600000000000001,Location.HOME,MINNESOTA_TIMBERWOLVES,17,4,2292,1,7,0,4,2,4,1,2,4,1,0,3,-0.4
1,2016-10-29,harrian01,Andrew Harrison,316,[<Position.POINT_GUARD: 'POINT GUARD'>],5.0,Location.AWAY,NEW_YORK_KNICKS,19,4,1479,2,5,0,2,0,0,0,0,2,0,0,2,-0.1
2,2016-10-30,harrian01,Andrew Harrison,316,[<Position.POINT_GUARD: 'POINT GUARD'>],14.7,Location.HOME,WASHINGTON_WIZARDS,29,9,1773,3,8,1,4,2,3,1,0,3,0,0,0,5.0
3,2016-11-01,harrian01,Andrew Harrison,316,[<Position.POINT_GUARD: 'POINT GUARD'>],36.9,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,12,1903,2,7,1,2,7,8,1,1,5,6,0,3,13.4
4,2016-11-04,harrian01,Andrew Harrison,316,[<Position.POINT_GUARD: 'POINT GUARD'>],0.5,Location.HOME,LOS_ANGELES_CLIPPERS,12,0,197,0,1,0,1,0,0,0,0,1,0,0,1,-1.4
5,2016-11-06,harrian01,Andrew Harrison,316,[<Position.POINT_GUARD: 'POINT GUARD'>],11.9,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,5,1043,1,6,0,2,3,5,0,2,1,1,0,0,1.9
6,2016-11-08,harrian01,Andrew Harrison,316,[<Position.POINT_GUARD: 'POINT GUARD'>],34.6,Location.HOME,DENVER_NUGGETS,7,10,1546,3,6,2,4,2,2,0,3,6,4,1,3,11.8
7,2016-11-12,harrian01,Andrew Harrison,316,[<Position.POINT_GUARD: 'POINT GUARD'>],13.0,Location.AWAY,MILWAUKEE_BUCKS,16,2,994,1,3,0,2,0,0,0,0,2,2,1,1,1.8
8,2016-11-14,harrian01,Andrew Harrison,316,[<Position.POINT_GUARD: 'POINT GUARD'>],9.4,Location.AWAY,UTAH_JAZZ,28,5,1563,1,4,1,2,2,2,0,2,2,0,0,1,1.6
9,2016-11-16,harrian01,Andrew Harrison,316,[<Position.POINT_GUARD: 'POINT GUARD'>],14.100000000000001,Location.AWAY,LOS_ANGELES_CLIPPERS,12,5,1543,2,4,1,2,0,0,0,3,3,0,1,2,3.1
10,2016-11-18,harrian01,Andrew Harrison,316,[<Position.POINT_GUARD: 'POINT GUARD'>],15.3,Location.AWAY,DALLAS_MAVERICKS,6,6,1573,2,8,1,4,1,2,0,4,1,2,0,3,0.1
11,2016-11-19,harrian01,Andrew Harrison,316,[<Position.POINT_GUARD: 'POINT GUARD'>],30.3,Location.HOME,MINNESOTA_TIMBERWOLVES,17,13,1469,3,6,0,3,7,7,1,3,7,1,0,1,15.3
12,2016-11-21,harrian01,Andrew Harrison,316,[<Position.POINT_GUARD: 'POINT GUARD'>],14.9,Location.AWAY,CHARLOTTE_HORNETS,3,5,1442,2,6,1,2,0,0,0,2,3,0,1,0,3.0
13,2016-11-23,harrian01,Andrew Harrison,316,[<Position.POINT_GUARD: 'POINT GUARD'>],33.8,Location.AWAY,PHILADELPHIA_76ERS,22,7,2506,2,6,1,4,2,2,0,4,6,4,1,2,9.7
14,2016-11-25,harrian01,Andrew Harrison,316,[<Position.POINT_GUARD: 'POINT GUARD'>],24.5,Location.HOME,MIAMI_HEAT,15,4,2091,0,8,0,2,4,4,1,4,7,0,2,2,3.8
15,2016-11-26,harrian01,Andrew Harrison,316,[<Position.POINT_GUARD: 'POINT GUARD'>],14.9,Location.AWAY,MIAMI_HEAT,15,6,1449,0,2,0,1,6,8,0,2,1,1,1,1,4.6
16,2016-11-28,harrian01,Andrew Harrison,316,[<Position.POINT_GUARD: 'POINT GUARD'>],9.2,Location.HOME,CHARLOTTE_HORNETS,3,3,1444,1,8,1,5,0,0,0,1,4,0,0,1,-1.3
