,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-11-01,hasleud01,Udonis Haslem,325,[<Position.CENTER: 'CENTER'>],9.3,Location.HOME,SACRAMENTO_KINGS,25,0,951,0,3,0,0,0,0,1,3,1,1,0,0,-0.8
1,2016-11-15,hasleud01,Udonis Haslem,325,[<Position.CENTER: 'CENTER'>],0.0,Location.HOME,ATLANTA_HAWKS,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2,2016-11-21,hasleud01,Udonis Haslem,325,[<Position.CENTER: 'CENTER'>],2.4,Location.AWAY,PHILADELPHIA_76ERS,22,0,210,0,0,0,0,0,0,0,2,0,0,0,0,-0.2
3,2016-11-23,hasleud01,Udonis Haslem,325,[<Position.CENTER: 'CENTER'>],1.0,Location.AWAY,DETROIT_PISTONS,8,1,442,0,3,0,1,1,2,0,0,0,0,0,0,-1.5
4,2016-11-25,hasleud01,Udonis Haslem,325,[<Position.CENTER: 'CENTER'>],7.6,Location.AWAY,MEMPHIS_GRIZZLIES,14,4,545,2,2,0,0,0,0,1,2,0,0,0,0,4.7
5,2016-11-26,hasleud01,Udonis Haslem,325,[<Position.CENTER: 'CENTER'>],1.2,Location.HOME,MEMPHIS_GRIZZLIES,14,0,46,0,0,0,0,0,0,0,1,0,0,0,0,0.3
6,2016-12-06,hasleud01,Udonis Haslem,325,[<Position.CENTER: 'CENTER'>],1.0,Location.HOME,NEW_YORK_KNICKS,19,1,213,0,0,0,0,1,2,0,0,0,0,0,0,0.6
7,2016-12-27,hasleud01,Udonis Haslem,325,[<Position.CENTER: 'CENTER'>],0.0,Location.HOME,OKLAHOMA_CITY_THUNDER,20,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0.0
8,2017-01-01,hasleud01,Udonis Haslem,325,[<Position.CENTER: 'CENTER'>],14.2,Location.HOME,DETROIT_PISTONS,8,6,1243,2,4,0,0,2,2,1,5,0,1,0,2,4.0
9,2017-01-03,hasleud01,Udonis Haslem,325,[<Position.CENTER: 'CENTER'>],12.5,Location.AWAY,PHOENIX_SUNS,23,3,948,1,1,0,0,1,1,2,3,1,1,0,1,4.9
10,2017-01-04,hasleud01,Udonis Haslem,325,[<Position.CENTER: 'CENTER'>],14.600000000000001,Location.AWAY,SACRAMENTO_KINGS,25,7,1097,2,3,0,0,3,4,1,2,2,0,1,2,5.1
11,2017-01-06,hasleud01,Udonis Haslem,325,[<Position.CENTER: 'CENTER'>],11.8,Location.AWAY,LOS_ANGELES_LAKERS,13,5,446,2,2,0,0,1,2,1,3,2,0,0,1,5.6
12,2017-01-13,hasleud01,Udonis Haslem,325,[<Position.CENTER: 'CENTER'>],5.0,Location.AWAY,MILWAUKEE_BUCKS,16,0,193,0,0,0,0,0,2,0,0,0,2,0,1,0.2
13,2017-01-27,hasleud01,Udonis Haslem,325,[<Position.CENTER: 'CENTER'>],5.6,Location.AWAY,CHICAGO_BULLS,4,0,637,0,0,0,0,0,0,0,3,0,1,0,1,-0.3
14,2017-02-04,hasleud01,Udonis Haslem,325,[<Position.CENTER: 'CENTER'>],8.8,Location.HOME,PHILADELPHIA_76ERS,22,4,441,2,4,0,1,0,0,1,3,0,0,0,0,3.2
15,2017-04-12,hasleud01,Udonis Haslem,325,[<Position.CENTER: 'CENTER'>],1.2,Location.HOME,WASHINGTON_WIZARDS,29,0,66,0,1,0,1,0,0,0,1,0,0,0,0,-0.8
16,2017-11-19,hasleud01,Udonis Haslem,325,[<Position.CENTER: 'CENTER'>],2.0,Location.HOME,INDIANA_PACERS,11,2,206,1,1,0,0,0,0,0,0,0,0,0,0,1.7
17,2017-11-28,hasleud01,Udonis Haslem,325,[<Position.CENTER: 'CENTER'>],1.2,Location.AWAY,CLEVELAND_CAVALIERS,5,0,309,0,0,0,0,0,0,0,1,0,0,0,0,0.3
18,2017-12-11,hasleud01,Udonis Haslem,325,[<Position.CENTER: 'CENTER'>],3.0,Location.AWAY,MEMPHIS_GRIZZLIES,14,0,112,0,0,0,0,0,0,0,0,2,0,0,0,1.0
19,2017-12-18,hasleud01,Udonis Haslem,325,[<Position.CENTER: 'CENTER'>],1.2,Location.AWAY,ATLANTA_HAWKS,0,0,69,0,0,0,0,0,0,1,0,0,0,0,0,0.7
20,2017-12-20,hasleud01,Udonis Haslem,325,[<Position.CENTER: 'CENTER'>],4.2,Location.AWAY,BOSTON_CELTICS,1,0,471,0,1,0,0,0,0,1,0,0,0,1,0,0.3
21,2017-12-22,hasleud01,Udonis Haslem,325,[<Position.CENTER: 'CENTER'>],2.7,Location.HOME,DALLAS_MAVERICKS,6,0,477,0,0,0,0,0,0,0,1,1,0,0,0,1.0
22,2017-12-23,hasleud01,Udonis Haslem,325,[<Position.CENTER: 'CENTER'>],-0.8,Location.HOME,NEW_ORLEANS_PELICANS,18,0,786,0,1,0,1,0,0,0,1,0,0,0,2,-2.4
23,2017-12-29,hasleud01,Udonis Haslem,325,[<Position.CENTER: 'CENTER'>],3.0,Location.HOME,BROOKLYN_NETS,2,3,286,1,2,1,2,0,0,0,0,0,0,0,0,2.0
24,2018-02-24,hasleud01,Udonis Haslem,325,[<Position.CENTER: 'CENTER'>],1.2,Location.HOME,MEMPHIS_GRIZZLIES,14,0,234,0,2,0,1,0,0,0,1,0,0,0,0,-1.1
25,2018-03-03,hasleud01,Udonis Haslem,325,[<Position.CENTER: 'CENTER'>],0.0,Location.HOME,DETROIT_PISTONS,8,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,2018-03-05,hasleud01,Udonis Haslem,325,[<Position.CENTER: 'CENTER'>],1.2,Location.HOME,PHOENIX_SUNS,23,0,189,0,2,0,1,0,0,0,1,0,0,0,0,-1.1
27,2018-03-10,hasleud01,Udonis Haslem,325,[<Position.CENTER: 'CENTER'>],10.4,Location.HOME,WASHINGTON_WIZARDS,29,2,491,1,3,0,1,0,0,1,1,2,0,1,0,3.4
28,2018-03-21,hasleud01,Udonis Haslem,325,[<Position.CENTER: 'CENTER'>],0.0,Location.HOME,NEW_YORK_KNICKS,19,0,302,0,2,0,1,0,0,0,0,0,0,0,0,-1.4
29,2018-04-04,hasleud01,Udonis Haslem,325,[<Position.CENTER: 'CENTER'>],2.2,Location.AWAY,ATLANTA_HAWKS,0,1,321,0,1,0,1,1,2,0,1,0,0,0,0,-0.2
30,2018-10-24,hasleud01,Udonis Haslem,325,[<Position.CENTER: 'CENTER'>],-0.8,Location.HOME,NEW_YORK_KNICKS,19,0,233,0,2,0,2,0,0,0,1,0,0,0,2,-3.5
31,2018-11-14,hasleud01,Udonis Haslem,325,[<Position.CENTER: 'CENTER'>],2.0,Location.AWAY,BROOKLYN_NETS,2,2,130,1,2,0,0,0,0,0,0,0,0,0,0,0.6
32,2018-12-08,hasleud01,Udonis Haslem,325,[<Position.CENTER: 'CENTER'>],6.8,Location.AWAY,LOS_ANGELES_CLIPPERS,12,2,495,1,2,0,0,0,0,1,3,0,0,0,0,2.2
33,2019-02-08,hasleud01,Udonis Haslem,325,[<Position.CENTER: 'CENTER'>],1.2,Location.AWAY,SACRAMENTO_KINGS,25,0,29,0,0,0,0,0,0,0,1,0,0,0,0,0.3
34,2019-02-27,hasleud01,Udonis Haslem,325,[<Position.CENTER: 'CENTER'>],2.4,Location.HOME,GOLDEN_STATE_WARRIORS,9,0,335,0,1,0,1,0,0,0,2,0,0,0,0,-0.1
35,2019-03-02,hasleud01,Udonis Haslem,325,[<Position.CENTER: 'CENTER'>],0.0,Location.HOME,BROOKLYN_NETS,2,0,226,0,0,0,0,0,0,0,0,0,0,0,0,-0.4
36,2019-03-04,hasleud01,Udonis Haslem,325,[<Position.CENTER: 'CENTER'>],0.0,Location.HOME,ATLANTA_HAWKS,0,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0.0
37,2019-03-13,hasleud01,Udonis Haslem,325,[<Position.CENTER: 'CENTER'>],6.8,Location.HOME,DETROIT_PISTONS,8,2,390,1,2,0,1,0,0,0,4,0,0,0,0,2.2
38,2019-04-09,hasleud01,Udonis Haslem,325,[<Position.CENTER: 'CENTER'>],10.8,Location.HOME,PHILADELPHIA_76ERS,22,7,603,2,7,0,2,3,4,0,4,0,0,0,1,1.5
39,2019-04-10,hasleud01,Udonis Haslem,325,[<Position.CENTER: 'CENTER'>],28.2,Location.AWAY,BROOKLYN_NETS,2,12,1781,6,17,0,6,0,0,2,9,2,0,0,0,7.2
40,2019-11-12,hasleud01,Udonis Haslem,325,[<Position.CENTER: 'CENTER'>],4.4,Location.HOME,DETROIT_PISTONS,8,2,299,1,1,0,0,0,0,0,2,0,0,0,0,1.5
41,2019-11-20,hasleud01,Udonis Haslem,325,[<Position.CENTER: 'CENTER'>],4.2,Location.HOME,CLEVELAND_CAVALIERS,5,3,349,0,0,0,0,3,4,0,1,0,0,0,0,2.5
42,2020-02-22,hasleud01,Udonis Haslem,325,[<Position.CENTER: 'CENTER'>],7.5,Location.HOME,CLEVELAND_CAVALIERS,5,0,588,0,5,0,2,0,0,0,5,1,0,0,0,-1.3
43,2020-08-14,hasleud01,Udonis Haslem,325,[<Position.CENTER: 'CENTER'>],15.600000000000001,Location.AWAY,INDIANA_PACERS,11,7,1411,3,5,1,1,0,0,1,7,0,0,0,1,5.3
