,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2019-10-28,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],30.1,Location.HOME,GOLDEN_STATE_WARRIORS,9,19,1417,9,11,0,1,1,3,1,2,1,1,1,0,16.6
1,2019-10-31,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],6.4,Location.HOME,DENVER_NUGGETS,7,5,568,2,2,0,0,1,2,0,2,0,0,0,1,2.0
2,2019-11-02,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],17.5,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,4,829,2,5,0,0,0,0,4,1,3,1,0,0,5.5
3,2019-11-04,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],14.5,Location.AWAY,BROOKLYN_NETS,2,3,986,0,3,0,1,3,3,3,2,1,2,0,2,1.9
4,2019-11-08,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],14.2,Location.HOME,TORONTO_RAPTORS,27,4,874,2,3,0,0,0,3,1,5,0,0,1,0,4.0
5,2019-11-09,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],16.2,Location.AWAY,CHARLOTTE_HORNETS,3,9,1083,3,3,0,0,3,4,0,1,0,0,2,0,8.6
6,2019-11-11,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],1.0,Location.HOME,HOUSTON_ROCKETS,10,2,149,1,1,0,0,0,0,0,0,0,0,0,1,0.7
7,2019-11-14,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],17.1,Location.HOME,LOS_ANGELES_CLIPPERS,12,9,790,3,6,0,0,3,4,2,1,1,1,0,0,7.4
8,2019-11-16,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],21.6,Location.AWAY,MIAMI_HEAT,15,12,1410,6,6,0,0,0,0,2,1,0,1,2,3,10.9
9,2019-11-17,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],32.0,Location.HOME,GOLDEN_STATE_WARRIORS,9,10,1917,3,5,0,0,4,6,2,8,0,1,3,2,11.0
10,2019-11-19,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],32.4,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,9,1237,3,8,0,0,3,4,4,3,0,2,3,0,11.2
11,2019-11-21,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],17.8,Location.AWAY,PHOENIX_SUNS,23,7,1284,3,5,0,0,1,2,2,2,0,1,1,0,6.0
12,2019-11-23,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],21.5,Location.AWAY,UTAH_JAZZ,28,13,1828,5,9,0,0,3,3,2,3,1,0,1,2,8.4
13,2019-11-24,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],14.1,Location.AWAY,LOS_ANGELES_CLIPPERS,12,7,1729,3,5,0,0,1,4,1,2,3,0,0,1,3.9
14,2019-11-27,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],16.3,Location.HOME,LOS_ANGELES_LAKERS,13,7,1277,2,4,0,0,3,4,3,1,1,1,1,3,4.4
15,2019-11-29,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],24.4,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,11,1257,5,9,0,0,1,2,5,2,0,2,0,1,11.4
16,2019-12-01,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],27.9,Location.HOME,OKLAHOMA_CITY_THUNDER,20,9,1585,3,6,0,0,3,3,1,6,1,1,2,0,10.8
17,2019-12-03,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],17.6,Location.HOME,DALLAS_MAVERICKS,6,9,1556,4,5,0,0,1,2,2,6,0,0,0,1,7.3
18,2019-12-05,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],38.5,Location.HOME,PHOENIX_SUNS,23,17,1970,6,8,0,0,5,7,4,1,1,0,5,1,17.3
19,2019-12-07,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],20.0,Location.AWAY,DALLAS_MAVERICKS,6,11,1518,3,7,0,0,5,6,3,2,0,1,0,0,9.4
20,2019-12-09,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],24.1,Location.HOME,DETROIT_PISTONS,8,13,1265,4,7,0,1,5,8,0,3,1,2,0,0,10.9
21,2019-12-11,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],30.5,Location.AWAY,MILWAUKEE_BUCKS,16,12,1433,4,5,0,0,4,5,0,5,1,2,2,1,13.9
22,2019-12-13,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],14.5,Location.AWAY,PHILADELPHIA_76ERS,22,7,1101,3,4,0,0,1,4,1,4,1,0,0,0,5.6
23,2019-12-15,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],23.9,Location.HOME,ORLANDO_MAGIC,21,10,1710,4,5,0,0,2,2,2,5,3,0,1,2,10.6
24,2019-12-17,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],28.9,Location.HOME,BROOKLYN_NETS,2,13,1752,4,5,1,1,4,7,2,5,1,0,2,0,12.9
25,2019-12-18,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],9.3,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,3,851,1,2,0,0,1,2,1,3,1,0,0,0,2.7
26,2019-12-20,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],20.7,Location.AWAY,GOLDEN_STATE_WARRIORS,9,5,1216,2,4,0,0,1,2,3,3,3,0,2,2,6.3
27,2019-12-23,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],20.3,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,4,1034,2,4,0,0,0,0,3,1,1,0,4,2,4.7
28,2019-12-25,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],2.2,Location.AWAY,DENVER_NUGGETS,7,2,432,1,1,0,0,0,0,1,0,0,0,0,1,0.2
29,2019-12-28,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],14.3,Location.HOME,INDIANA_PACERS,11,2,1273,1,2,0,0,0,0,1,3,1,1,1,0,3.8
30,2019-12-29,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],11.6,Location.HOME,HOUSTON_ROCKETS,10,5,199,1,1,0,0,3,3,1,2,0,0,1,0,6.3
31,2020-01-03,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],16.1,Location.AWAY,LOS_ANGELES_LAKERS,13,6,846,3,4,0,0,0,0,2,1,3,0,1,1,6.7
32,2020-01-04,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],3.2,Location.AWAY,SACRAMENTO_KINGS,25,4,772,1,1,0,0,2,4,1,0,0,0,0,2,1.6
33,2020-01-06,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],18.1,Location.HOME,UTAH_JAZZ,28,7,1140,2,3,0,0,3,4,1,2,3,0,1,0,9.0
34,2020-01-08,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],40.4,Location.HOME,CHICAGO_BULLS,4,14,1438,7,10,0,0,0,0,4,8,0,0,4,0,16.2
35,2020-01-10,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],39.5,Location.AWAY,NEW_YORK_KNICKS,19,18,1763,7,8,0,0,4,9,3,7,1,1,2,1,18.3
36,2020-01-11,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],28.9,Location.AWAY,BOSTON_CELTICS,1,20,1567,9,13,0,0,2,5,1,1,1,0,2,1,15.0
37,2020-01-13,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],15.2,Location.AWAY,DETROIT_PISTONS,8,8,1115,2,3,0,0,4,6,1,5,0,0,0,0,6.9
38,2020-01-16,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],20.0,Location.HOME,UTAH_JAZZ,28,9,766,3,3,0,0,3,4,0,5,2,0,1,1,8.3
39,2020-01-18,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],28.0,Location.HOME,LOS_ANGELES_CLIPPERS,12,14,935,3,3,0,0,8,12,3,2,4,0,1,1,15.1
40,2020-01-20,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],15.2,Location.AWAY,MEMPHIS_GRIZZLIES,14,5,1144,2,2,0,0,1,3,1,5,0,0,1,0,5.3
41,2020-01-22,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],16.1,Location.HOME,SAN_ANTONIO_SPURS,26,9,937,3,4,0,0,3,3,0,3,1,0,1,1,7.9
42,2020-01-24,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],2.2,Location.HOME,DENVER_NUGGETS,7,1,402,0,1,0,0,1,4,0,1,0,0,0,0,-0.6
43,2020-01-26,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],8.1,Location.HOME,BOSTON_CELTICS,1,6,635,1,2,0,0,4,6,1,2,1,0,0,3,2.4
44,2020-01-28,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],14.9,Location.AWAY,CLEVELAND_CAVALIERS,5,8,907,3,5,0,0,2,3,0,2,1,0,1,0,6.5
45,2020-01-31,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],9.1,Location.HOME,MEMPHIS_GRIZZLIES,14,4,886,2,2,0,0,0,0,0,3,1,0,0,0,4.6
46,2020-02-02,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],4.4,Location.AWAY,HOUSTON_ROCKETS,10,2,212,1,3,0,0,0,0,1,1,0,0,0,0,1.3
47,2020-02-04,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],4.2,Location.HOME,MILWAUKEE_BUCKS,16,0,275,0,0,0,0,0,0,0,1,2,0,0,0,1.7
48,2020-02-06,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],21.5,Location.AWAY,CHICAGO_BULLS,4,9,691,3,4,0,0,3,6,3,2,1,1,1,1,9.9
49,2020-02-08,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],2.4000000000000004,Location.AWAY,INDIANA_PACERS,11,2,532,1,3,0,0,0,0,2,0,0,0,0,2,-2.3
50,2020-02-11,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],12.6,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,9,660,2,2,0,0,5,6,1,2,0,0,0,0,8.9
51,2020-02-13,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],10.9,Location.HOME,OKLAHOMA_CITY_THUNDER,20,4,503,2,2,0,0,0,1,0,2,3,0,0,0,4.5
52,2020-02-21,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],8.5,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,4,378,1,2,0,0,2,2,0,0,1,0,1,0,4.0
53,2020-02-23,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],0.0,Location.AWAY,GOLDEN_STATE_WARRIORS,9,0,173,0,0,0,0,0,0,0,0,0,0,0,0,-0.4
54,2020-02-28,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],10.2,Location.HOME,CLEVELAND_CAVALIERS,5,4,599,2,3,0,0,0,0,0,1,0,1,1,1,2.9
55,2020-03-04,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],0.0,Location.AWAY,DALLAS_MAVERICKS,6,0,239,0,1,0,0,0,0,0,0,0,0,0,0,-0.7
56,2020-07-30,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],11.9,Location.HOME,UTAH_JAZZ,28,3,1173,1,2,0,0,1,2,5,2,1,0,0,1,4.6
57,2020-08-01,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],21.6,Location.AWAY,LOS_ANGELES_CLIPPERS,12,9,1271,4,5,0,0,1,1,3,5,2,1,0,3,9.3
58,2020-08-03,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],1.4000000000000004,Location.HOME,MEMPHIS_GRIZZLIES,14,2,373,0,0,0,0,2,2,0,2,0,0,0,3,-1.6
59,2020-08-06,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],9.8,Location.AWAY,SACRAMENTO_KINGS,25,4,589,1,2,0,0,2,2,2,2,2,0,0,2,3.6
60,2020-08-07,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],9.6,Location.HOME,WASHINGTON_WIZARDS,29,6,515,2,2,0,0,2,3,2,1,0,0,0,0,6.3
61,2020-08-09,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],12.6,Location.HOME,SAN_ANTONIO_SPURS,26,6,622,2,2,0,0,2,2,0,3,0,1,0,0,6.1
62,2020-08-11,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],19.0,Location.AWAY,SACRAMENTO_KINGS,25,9,1337,4,4,0,0,1,1,1,4,0,1,1,2,8.6
63,2020-08-13,hayesja02,Jaxson Hayes,327,[<Position.CENTER: 'CENTER'>],19.8,Location.AWAY,ORLANDO_MAGIC,21,13,1858,5,7,0,0,3,4,2,2,0,0,1,1,9.8
