,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2018-01-20,henrymy01,Myke Henry,332,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.7000000000000002,Location.AWAY,NEW_ORLEANS_PELICANS,18,0,829,0,1,0,1,0,0,0,1,1,0,0,2,-2.1
1,2018-01-22,henrymy01,Myke Henry,332,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],28.4,Location.HOME,PHILADELPHIA_76ERS,22,12,961,4,8,3,5,1,2,1,1,2,4,0,1,12.2
2,2018-01-24,henrymy01,Myke Henry,332,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],16.1,Location.HOME,SAN_ANTONIO_SPURS,26,0,1293,0,7,0,4,0,0,0,3,1,2,2,1,-0.9
3,2018-01-26,henrymy01,Myke Henry,332,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],15.0,Location.HOME,LOS_ANGELES_CLIPPERS,12,5,1487,1,6,1,4,2,4,1,4,0,0,2,2,0.9
4,2018-01-29,henrymy01,Myke Henry,332,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],4.5,Location.HOME,PHOENIX_SUNS,23,3,778,1,3,1,2,0,0,0,0,1,0,0,0,2.0
5,2018-01-31,henrymy01,Myke Henry,332,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],12.9,Location.AWAY,INDIANA_PACERS,11,6,1416,2,3,2,3,0,0,0,2,1,1,0,0,6.2
6,2018-02-01,henrymy01,Myke Henry,332,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],13.0,Location.AWAY,DETROIT_PISTONS,8,10,1344,4,5,2,3,0,0,0,0,0,1,0,0,8.7
7,2018-02-11,henrymy01,Myke Henry,332,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],14.0,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,8,891,3,6,1,4,1,1,0,0,2,1,0,0,7.4
8,2018-02-24,henrymy01,Myke Henry,332,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],13.2,Location.AWAY,MIAMI_HEAT,15,8,750,3,4,2,3,0,0,0,1,0,1,1,2,6.0
9,2018-02-26,henrymy01,Myke Henry,332,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],7.9,Location.AWAY,BOSTON_CELTICS,1,4,944,1,6,1,4,1,2,1,1,1,0,0,0,1.5
10,2018-02-28,henrymy01,Myke Henry,332,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],10.6,Location.HOME,PHOENIX_SUNS,23,7,1465,3,10,1,3,0,0,2,1,0,1,0,3,-0.7
11,2018-03-02,henrymy01,Myke Henry,332,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],24.4,Location.HOME,DENVER_NUGGETS,7,5,1293,2,4,1,2,0,0,1,1,2,5,0,1,8.2
12,2018-03-03,henrymy01,Myke Henry,332,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],4.7,Location.AWAY,ORLANDO_MAGIC,21,2,472,1,4,0,1,0,0,1,0,1,0,0,0,0.6
13,2018-03-05,henrymy01,Myke Henry,332,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],23.2,Location.AWAY,SAN_ANTONIO_SPURS,26,6,1673,3,5,0,2,0,0,0,1,4,4,0,2,7.6
14,2018-03-07,henrymy01,Myke Henry,332,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],10.4,Location.AWAY,CHICAGO_BULLS,4,5,1117,2,6,0,2,1,1,0,2,0,1,0,0,2.8
15,2018-04-04,henrymy01,Myke Henry,332,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],10.5,Location.AWAY,NEW_ORLEANS_PELICANS,18,2,1360,1,7,0,4,0,0,1,4,1,1,0,2,-1.7
16,2018-04-06,henrymy01,Myke Henry,332,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],18.1,Location.HOME,SACRAMENTO_KINGS,25,9,1342,4,9,1,3,0,0,0,3,1,2,0,2,5.9
17,2018-04-08,henrymy01,Myke Henry,332,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],17.4,Location.HOME,DETROIT_PISTONS,8,4,973,2,4,0,1,0,0,1,1,2,3,0,1,6.0
18,2018-04-09,henrymy01,Myke Henry,332,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],23.4,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,6,1507,2,8,2,5,0,0,1,1,2,3,1,0,6.5
19,2018-04-11,henrymy01,Myke Henry,332,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],9.2,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,5,790,2,3,1,2,0,0,0,1,0,1,0,0,4.2
