,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,hernaju01,Juan Hernangómez,335,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.AWAY,NEW_ORLEANS_PELICANS,18,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1,2016-11-03,hernaju01,Juan Hernangómez,335,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.4000000000000004,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,2,640,1,1,0,0,0,0,0,2,0,0,0,1,0.5
2,2016-11-05,hernaju01,Juan Hernangómez,335,[<Position.POWER_FORWARD: 'POWER FORWARD'>],6.2,Location.AWAY,DETROIT_PISTONS,8,5,649,1,2,1,2,2,2,0,1,0,0,0,0,4.3
3,2016-11-06,hernaju01,Juan Hernangómez,335,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.19999999999999996,Location.AWAY,BOSTON_CELTICS,1,0,146,0,0,0,0,0,0,0,1,0,0,0,1,-1.1
4,2016-11-08,hernaju01,Juan Hernangómez,335,[<Position.POWER_FORWARD: 'POWER FORWARD'>],8.7,Location.AWAY,MEMPHIS_GRIZZLIES,14,0,577,0,0,0,0,0,0,0,1,1,1,1,0,2.3
5,2016-11-10,hernaju01,Juan Hernangómez,335,[<Position.POWER_FORWARD: 'POWER FORWARD'>],26.799999999999997,Location.HOME,GOLDEN_STATE_WARRIORS,9,11,1826,4,10,2,3,1,2,3,6,0,1,1,1,9.0
6,2016-11-12,hernaju01,Juan Hernangómez,335,[<Position.POWER_FORWARD: 'POWER FORWARD'>],14.8,Location.HOME,DETROIT_PISTONS,8,7,1202,3,5,1,2,0,0,1,3,2,0,0,0,7.3
7,2016-11-13,hernaju01,Juan Hernangómez,335,[<Position.POWER_FORWARD: 'POWER FORWARD'>],16.7,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,8,934,2,3,1,2,3,4,1,5,1,0,0,0,8.4
8,2016-11-16,hernaju01,Juan Hernangómez,335,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.6,Location.HOME,PHOENIX_SUNS,23,3,597,1,1,1,1,0,0,0,3,0,0,0,1,1.8
9,2016-11-18,hernaju01,Juan Hernangómez,335,[<Position.POWER_FORWARD: 'POWER FORWARD'>],6.6,Location.HOME,TORONTO_RAPTORS,27,1,453,0,1,0,1,1,2,0,3,0,1,0,1,0.0
10,2016-11-20,hernaju01,Juan Hernangómez,335,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.0,Location.HOME,UTAH_JAZZ,28,2,318,1,2,0,1,0,2,0,0,0,1,0,0,0.8
11,2016-11-22,hernaju01,Juan Hernangómez,335,[<Position.POWER_FORWARD: 'POWER FORWARD'>],8.7,Location.HOME,CHICAGO_BULLS,4,3,686,1,4,0,1,1,1,0,1,1,0,1,0,1.5
12,2016-11-23,hernaju01,Juan Hernangómez,335,[<Position.POWER_FORWARD: 'POWER FORWARD'>],30.2,Location.AWAY,UTAH_JAZZ,28,9,1676,2,5,1,3,4,8,1,5,0,3,2,1,9.9
13,2016-11-30,hernaju01,Juan Hernangómez,335,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.HOME,MIAMI_HEAT,15,0,465,0,1,0,0,0,0,0,0,0,0,0,0,-0.7
14,2016-12-02,hernaju01,Juan Hernangómez,335,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4.8,Location.HOME,HOUSTON_ROCKETS,10,0,467,0,2,0,1,0,0,0,4,0,0,0,0,-0.2
15,2016-12-03,hernaju01,Juan Hernangómez,335,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.AWAY,UTAH_JAZZ,28,0,369,0,1,0,1,0,0,0,0,0,0,0,0,-0.7
16,2016-12-05,hernaju01,Juan Hernangómez,335,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.2,Location.AWAY,PHILADELPHIA_76ERS,22,0,293,0,0,0,0,0,0,0,1,0,0,0,0,0.3
17,2016-12-08,hernaju01,Juan Hernangómez,335,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.8,Location.AWAY,WASHINGTON_WIZARDS,29,3,727,0,2,0,2,3,4,1,3,2,0,0,1,3.2
18,2016-12-10,hernaju01,Juan Hernangómez,335,[<Position.POWER_FORWARD: 'POWER FORWARD'>],21.8,Location.AWAY,ORLANDO_MAGIC,21,14,1086,5,9,4,5,0,0,3,1,2,0,0,0,13.1
19,2016-12-12,hernaju01,Juan Hernangómez,335,[<Position.POWER_FORWARD: 'POWER FORWARD'>],15.1,Location.AWAY,DALLAS_MAVERICKS,6,4,1139,1,3,0,2,2,2,2,1,1,1,1,0,5.2
20,2016-12-17,hernaju01,Juan Hernangómez,335,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.0,Location.HOME,NEW_YORK_KNICKS,19,1,114,0,0,0,0,1,2,0,0,0,0,0,0,0.6
21,2016-12-20,hernaju01,Juan Hernangómez,335,[<Position.POWER_FORWARD: 'POWER FORWARD'>],8.4,Location.AWAY,LOS_ANGELES_CLIPPERS,12,6,373,2,4,0,1,2,2,1,1,0,0,0,0,5.0
22,2016-12-23,hernaju01,Juan Hernangómez,335,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.HOME,ATLANTA_HAWKS,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0.0
23,2017-01-03,hernaju01,Juan Hernangómez,335,[<Position.POWER_FORWARD: 'POWER FORWARD'>],2.7,Location.HOME,SACRAMENTO_KINGS,25,0,71,0,0,0,0,0,0,0,1,1,0,0,0,1.0
24,2017-01-07,hernaju01,Juan Hernangómez,335,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.0,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,4,820,2,3,0,0,0,0,1,4,0,0,0,0,4.2
25,2017-01-12,hernaju01,Juan Hernangómez,335,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7.0,Location.HOME,INDIANA_PACERS,11,4,198,2,2,0,0,0,0,0,0,0,0,1,0,4.1
26,2017-01-16,hernaju01,Juan Hernangómez,335,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7.4,Location.HOME,ORLANDO_MAGIC,21,2,185,1,1,0,0,0,0,0,2,0,1,0,0,3.3
27,2017-01-17,hernaju01,Juan Hernangómez,335,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4.2,Location.AWAY,LOS_ANGELES_LAKERS,13,0,442,0,1,0,1,0,0,1,0,0,0,1,0,0.3
28,2017-01-19,hernaju01,Juan Hernangómez,335,[<Position.POWER_FORWARD: 'POWER FORWARD'>],21.7,Location.AWAY,SAN_ANTONIO_SPURS,26,8,2305,3,9,1,4,1,2,2,4,1,1,1,1,5.3
29,2017-01-21,hernaju01,Juan Hernangómez,335,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.5,Location.HOME,LOS_ANGELES_CLIPPERS,12,2,300,0,0,0,0,2,2,0,0,1,0,0,0,2.3
30,2017-01-31,hernaju01,Juan Hernangómez,335,[<Position.POWER_FORWARD: 'POWER FORWARD'>],13.4,Location.AWAY,LOS_ANGELES_LAKERS,13,8,743,2,2,2,2,2,2,1,1,0,1,0,0,9.0
31,2017-02-01,hernaju01,Juan Hernangómez,335,[<Position.POWER_FORWARD: 'POWER FORWARD'>],13.3,Location.HOME,MEMPHIS_GRIZZLIES,14,8,903,3,5,1,1,1,1,1,3,1,0,0,1,6.6
32,2017-02-03,hernaju01,Juan Hernangómez,335,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.2,Location.HOME,MILWAUKEE_BUCKS,16,0,173,0,0,0,0,0,0,0,1,0,0,0,0,0.3
