,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-25,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],4.2,Location.AWAY,CLEVELAND_CAVALIERS,5,4,566,2,3,0,0,0,0,1,0,0,0,0,1,2.0
1,2016-10-29,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],4.4,Location.HOME,MEMPHIS_GRIZZLIES,14,4,471,2,3,0,0,0,2,1,1,0,0,0,2,0.9
2,2016-11-01,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],3.2,Location.AWAY,DETROIT_PISTONS,8,0,303,0,0,0,0,0,0,0,1,0,1,0,1,-0.1
3,2016-11-09,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],29.2,Location.HOME,BROOKLYN_NETS,2,14,891,6,7,0,0,2,2,2,4,0,1,2,1,14.7
4,2016-11-11,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],30.9,Location.AWAY,BOSTON_CELTICS,1,8,1412,4,13,0,0,0,0,6,6,3,2,1,5,4.3
5,2016-11-12,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],0.19999999999999996,Location.AWAY,TORONTO_RAPTORS,27,0,245,0,0,0,0,0,0,0,1,0,0,0,1,-0.7
6,2016-11-14,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],14.2,Location.HOME,DALLAS_MAVERICKS,6,4,799,2,6,0,0,0,0,2,4,0,1,0,0,3.8
7,2016-11-16,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],4.4,Location.HOME,DETROIT_PISTONS,8,2,236,1,2,0,0,0,0,1,1,0,0,0,0,2.0
8,2016-11-17,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],9.2,Location.AWAY,WASHINGTON_WIZARDS,29,5,615,2,2,0,0,1,2,0,1,0,0,1,0,5.0
9,2016-11-20,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],15.100000000000001,Location.HOME,ATLANTA_HAWKS,0,7,1760,3,4,0,0,1,3,2,6,1,0,0,3,4.3
10,2016-11-22,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],9.8,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,9,1242,4,5,0,0,1,1,0,4,0,0,0,4,3.1
11,2016-11-25,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],18.799999999999997,Location.HOME,CHARLOTTE_HORNETS,3,6,1184,3,5,0,0,0,0,2,7,2,0,1,4,4.1
12,2016-11-26,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],19.1,Location.AWAY,CHARLOTTE_HORNETS,3,8,1018,4,5,0,0,0,0,3,5,1,0,1,3,6.5
13,2016-11-28,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],20.9,Location.HOME,OKLAHOMA_CITY_THUNDER,20,8,867,3,5,0,0,2,2,1,1,3,2,0,0,10.0
14,2016-11-30,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],8.9,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,6,499,2,2,0,0,2,2,1,1,1,0,0,1,5.3
15,2016-12-02,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],10.3,Location.HOME,MINNESOTA_TIMBERWOLVES,17,6,999,3,6,0,0,0,0,1,3,1,0,0,2,2.5
16,2016-12-04,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],16.3,Location.HOME,SACRAMENTO_KINGS,25,4,718,1,1,0,0,2,2,0,4,3,0,1,0,7.3
17,2016-12-06,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],5.4,Location.AWAY,MIAMI_HEAT,15,0,203,0,0,0,0,0,0,0,2,0,0,1,0,1.3
18,2016-12-07,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],20.4,Location.HOME,CLEVELAND_CAVALIERS,5,9,899,2,5,1,1,4,4,4,3,0,1,0,0,11.0
19,2016-12-11,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],30.9,Location.AWAY,LOS_ANGELES_LAKERS,13,6,1194,3,8,0,1,0,0,4,8,1,1,2,0,8.7
20,2016-12-15,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],26.0,Location.AWAY,GOLDEN_STATE_WARRIORS,9,8,1247,4,8,0,0,0,2,1,9,2,0,1,0,8.7
21,2016-12-17,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],35.8,Location.AWAY,DENVER_NUGGETS,7,17,1693,5,8,0,0,7,8,2,7,2,0,2,1,16.7
22,2016-12-20,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],0.0,Location.HOME,INDIANA_PACERS,11,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0.0
23,2016-12-22,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],20.0,Location.HOME,ORLANDO_MAGIC,21,15,1279,7,11,1,3,0,0,3,2,0,0,0,1,10.6
24,2016-12-25,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],0.0,Location.HOME,BOSTON_CELTICS,1,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,2016-12-28,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],2.9,Location.AWAY,ATLANTA_HAWKS,0,0,582,0,1,0,0,0,0,1,1,1,0,0,1,-0.4
26,2016-12-30,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],3.4000000000000004,Location.AWAY,NEW_ORLEANS_PELICANS,18,2,394,1,1,0,0,0,0,1,1,0,0,0,1,1.3
27,2016-12-31,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],17.0,Location.AWAY,HOUSTON_ROCKETS,10,3,1169,1,5,0,1,1,2,3,7,0,0,1,1,3.0
28,2017-01-02,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],7.6,Location.HOME,ORLANDO_MAGIC,21,4,948,2,3,0,0,0,2,1,2,2,0,0,3,1.6
29,2017-01-04,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],1.2,Location.HOME,MILWAUKEE_BUCKS,16,0,163,0,1,0,0,0,0,0,1,0,0,0,0,-0.4
30,2017-01-07,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],17.8,Location.AWAY,INDIANA_PACERS,11,8,1109,3,9,1,3,1,1,0,4,0,0,2,1,4.5
31,2017-01-09,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],13.3,Location.HOME,NEW_ORLEANS_PELICANS,18,6,796,3,4,0,0,0,0,2,2,3,0,0,2,6.5
32,2017-01-11,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],0.0,Location.AWAY,PHILADELPHIA_76ERS,22,0,174,0,0,0,0,0,0,0,0,0,0,0,0,-0.8
33,2017-01-12,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],-1.0,Location.HOME,CHICAGO_BULLS,4,0,408,0,0,0,0,0,0,0,0,0,0,0,1,-1.8
34,2017-01-15,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],24.8,Location.AWAY,TORONTO_RAPTORS,27,8,1252,3,7,0,1,2,3,5,9,0,0,1,3,7.0
35,2017-01-18,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],30.7,Location.AWAY,BOSTON_CELTICS,1,17,1175,8,13,0,0,1,1,4,7,1,0,0,1,14.9
36,2017-01-21,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],16.1,Location.HOME,PHOENIX_SUNS,23,6,835,2,4,0,0,2,2,0,8,1,0,0,1,5.3
37,2017-01-23,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],38.0,Location.AWAY,INDIANA_PACERS,11,14,1463,5,8,0,0,4,4,2,8,2,1,2,0,17.6
38,2017-01-25,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],36.2,Location.AWAY,DALLAS_MAVERICKS,6,8,1458,4,9,0,0,0,0,6,10,0,3,0,0,12.7
39,2017-01-27,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],14.899999999999999,Location.HOME,CHARLOTTE_HORNETS,3,4,910,2,5,0,0,0,0,4,3,3,0,0,2,4.3
40,2017-01-29,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],0.0,Location.AWAY,ATLANTA_HAWKS,0,0,192,0,1,0,0,0,0,0,0,0,0,0,0,-1.5
41,2017-01-31,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],36.8,Location.AWAY,WASHINGTON_WIZARDS,29,15,1890,5,12,0,0,5,5,6,8,4,0,0,1,15.4
42,2017-02-01,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],46.2,Location.AWAY,BROOKLYN_NETS,2,16,1508,7,12,0,0,2,4,7,9,2,2,1,1,19.5
43,2017-02-04,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],33.5,Location.HOME,CLEVELAND_CAVALIERS,5,16,2144,7,10,0,1,2,6,3,2,5,0,2,2,15.4
44,2017-02-06,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],33.1,Location.HOME,LOS_ANGELES_LAKERS,13,8,1458,3,9,0,0,2,2,3,10,1,2,1,1,8.8
45,2017-02-08,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],20.799999999999997,Location.HOME,LOS_ANGELES_CLIPPERS,12,5,1200,0,3,0,0,5,6,2,7,4,0,0,1,6.6
46,2017-02-10,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],15.8,Location.HOME,DENVER_NUGGETS,7,12,514,6,7,0,0,0,0,2,2,0,0,0,1,10.5
47,2017-02-12,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],31.299999999999997,Location.HOME,SAN_ANTONIO_SPURS,26,12,1742,6,8,0,0,0,0,3,6,1,3,0,2,13.2
48,2017-02-15,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],35.5,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,8,1936,3,6,0,0,2,2,3,7,1,2,3,1,11.8
49,2017-02-23,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],33.7,Location.AWAY,CLEVELAND_CAVALIERS,5,11,1642,4,10,0,1,3,4,4,7,3,0,2,1,11.4
50,2017-02-25,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],27.299999999999997,Location.HOME,PHILADELPHIA_76ERS,22,11,1386,4,6,0,0,3,3,3,6,1,0,2,2,10.4
51,2017-02-27,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],22.799999999999997,Location.HOME,TORONTO_RAPTORS,27,8,2010,4,6,0,0,0,0,4,5,2,1,0,2,8.5
52,2017-03-05,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],11.0,Location.HOME,GOLDEN_STATE_WARRIORS,9,8,838,4,5,0,0,0,0,2,3,0,0,0,3,4.6
53,2017-03-06,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],26.1,Location.AWAY,ORLANDO_MAGIC,21,14,1069,7,10,0,0,0,0,4,4,3,0,0,2,12.3
54,2017-03-08,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],31.9,Location.AWAY,MILWAUKEE_BUCKS,16,13,1655,6,10,0,0,1,3,3,9,1,2,1,6,7.4
55,2017-03-11,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],28.299999999999997,Location.AWAY,DETROIT_PISTONS,8,14,1639,7,12,0,0,0,0,2,7,3,1,0,4,9.8
56,2017-03-12,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],22.5,Location.AWAY,BROOKLYN_NETS,2,6,1020,3,8,0,1,0,0,1,9,1,0,1,0,6.0
57,2017-03-14,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],46.2,Location.HOME,INDIANA_PACERS,11,13,1872,6,12,0,0,1,4,6,10,4,3,1,4,14.3
58,2017-03-16,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],13.2,Location.HOME,BROOKLYN_NETS,2,4,1143,2,7,0,0,0,0,1,5,0,1,0,1,0.1
59,2017-03-20,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],17.799999999999997,Location.AWAY,LOS_ANGELES_CLIPPERS,12,8,994,3,11,0,0,2,2,5,4,0,0,0,1,5.2
60,2017-03-22,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],27.7,Location.AWAY,UTAH_JAZZ,28,9,1041,4,8,0,0,1,2,4,7,1,2,0,2,9.0
61,2017-03-23,hernawi01,Willy Hernangómez,336,[<Position.CENTER: 'CENTER'>],28.6,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,10,1242,5,10,0,0,0,1,3,5,2,0,2,0,10.2
