,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,hibbero01,Roy Hibbert,340,[<Position.CENTER: 'CENTER'>],44.5,Location.AWAY,MILWAUKEE_BUCKS,16,15,1911,6,9,0,0,3,3,4,6,3,0,5,2,17.7
1,2016-10-28,hibbero01,Roy Hibbert,340,[<Position.CENTER: 'CENTER'>],1.2,Location.AWAY,MIAMI_HEAT,15,0,269,0,1,0,0,0,0,0,1,0,0,0,0,-0.8
2,2016-11-11,hibbero01,Roy Hibbert,340,[<Position.CENTER: 'CENTER'>],11.4,Location.HOME,TORONTO_RAPTORS,27,10,809,3,5,0,0,4,4,2,0,0,0,0,1,8.1
3,2016-11-13,hibbero01,Roy Hibbert,340,[<Position.CENTER: 'CENTER'>],9.6,Location.AWAY,CLEVELAND_CAVALIERS,5,6,790,3,5,0,0,0,0,2,1,0,0,0,0,4.6
4,2016-11-15,hibbero01,Roy Hibbert,340,[<Position.CENTER: 'CENTER'>],13.8,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,9,712,4,5,0,0,1,2,2,2,0,0,1,3,5.2
5,2016-11-18,hibbero01,Roy Hibbert,340,[<Position.CENTER: 'CENTER'>],4.6,Location.HOME,ATLANTA_HAWKS,0,1,996,0,1,0,0,1,2,1,2,0,0,0,0,0.4
6,2016-11-19,hibbero01,Roy Hibbert,340,[<Position.CENTER: 'CENTER'>],8.4,Location.AWAY,NEW_ORLEANS_PELICANS,18,4,1007,2,4,0,0,0,0,0,2,0,1,0,1,1.4
7,2016-11-21,hibbero01,Roy Hibbert,340,[<Position.CENTER: 'CENTER'>],3.2,Location.HOME,MEMPHIS_GRIZZLIES,14,2,648,1,1,0,0,0,0,1,0,0,0,0,0,1.6
8,2016-11-23,hibbero01,Roy Hibbert,340,[<Position.CENTER: 'CENTER'>],14.4,Location.HOME,SAN_ANTONIO_SPURS,26,10,1030,4,8,0,0,2,2,1,1,2,0,0,1,6.2
9,2016-11-25,hibbero01,Roy Hibbert,340,[<Position.CENTER: 'CENTER'>],15.600000000000001,Location.AWAY,NEW_YORK_KNICKS,19,4,1233,1,5,0,0,2,2,3,5,0,0,1,1,3.8
10,2016-11-26,hibbero01,Roy Hibbert,340,[<Position.CENTER: 'CENTER'>],16.1,Location.HOME,NEW_YORK_KNICKS,19,6,847,1,2,0,0,4,4,1,2,1,0,2,1,7.0
11,2016-11-28,hibbero01,Roy Hibbert,340,[<Position.CENTER: 'CENTER'>],14.2,Location.AWAY,MEMPHIS_GRIZZLIES,14,5,1036,2,4,0,0,1,3,3,3,0,0,1,1,3.3
12,2016-11-29,hibbero01,Roy Hibbert,340,[<Position.CENTER: 'CENTER'>],14.2,Location.HOME,DETROIT_PISTONS,8,4,765,1,2,0,0,2,3,0,1,2,2,0,0,5.9
13,2016-12-01,hibbero01,Roy Hibbert,340,[<Position.CENTER: 'CENTER'>],24.8,Location.HOME,DALLAS_MAVERICKS,6,11,1035,5,7,0,0,1,5,0,4,2,0,2,0,9.3
14,2016-12-03,hibbero01,Roy Hibbert,340,[<Position.CENTER: 'CENTER'>],13.6,Location.HOME,MINNESOTA_TIMBERWOLVES,17,6,1096,2,8,0,0,2,2,2,1,0,0,2,2,1.9
15,2016-12-05,hibbero01,Roy Hibbert,340,[<Position.CENTER: 'CENTER'>],15.0,Location.AWAY,DALLAS_MAVERICKS,6,6,1293,2,3,0,0,2,2,2,3,0,0,1,0,6.5
16,2016-12-07,hibbero01,Roy Hibbert,340,[<Position.CENTER: 'CENTER'>],11.9,Location.HOME,DETROIT_PISTONS,8,2,949,1,5,0,0,0,0,1,6,1,0,0,0,1.3
17,2016-12-09,hibbero01,Roy Hibbert,340,[<Position.CENTER: 'CENTER'>],18.0,Location.HOME,ORLANDO_MAGIC,21,3,1072,0,6,0,0,3,6,1,4,0,0,3,0,0.8
18,2016-12-10,hibbero01,Roy Hibbert,340,[<Position.CENTER: 'CENTER'>],8.4,Location.AWAY,CLEVELAND_CAVALIERS,5,4,765,0,0,0,0,4,4,1,1,2,0,0,1,4.2
19,2016-12-12,hibbero01,Roy Hibbert,340,[<Position.CENTER: 'CENTER'>],11.6,Location.AWAY,INDIANA_PACERS,11,6,1001,2,3,0,0,2,2,1,2,0,0,1,1,4.9
20,2016-12-14,hibbero01,Roy Hibbert,340,[<Position.CENTER: 'CENTER'>],26.2,Location.AWAY,WASHINGTON_WIZARDS,29,4,1089,0,0,0,0,4,4,2,4,2,1,3,0,9.9
21,2016-12-17,hibbero01,Roy Hibbert,340,[<Position.CENTER: 'CENTER'>],5.4,Location.AWAY,ATLANTA_HAWKS,0,1,598,0,1,0,0,1,2,0,2,0,0,1,1,-1.0
22,2016-12-20,hibbero01,Roy Hibbert,340,[<Position.CENTER: 'CENTER'>],11.4,Location.HOME,LOS_ANGELES_LAKERS,13,6,523,2,3,0,0,2,2,0,2,0,0,1,0,5.6
23,2016-12-23,hibbero01,Roy Hibbert,340,[<Position.CENTER: 'CENTER'>],20.0,Location.HOME,CHICAGO_BULLS,4,4,950,2,2,0,0,0,0,0,5,0,0,4,2,4.5
24,2016-12-26,hibbero01,Roy Hibbert,340,[<Position.CENTER: 'CENTER'>],15.8,Location.AWAY,BROOKLYN_NETS,2,4,1158,2,3,0,0,0,0,2,2,2,2,0,2,4.5
