,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-28,hillida01,Darrun Hilliard,346,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.5,Location.HOME,ORLANDO_MAGIC,21,0,148,0,0,0,0,0,0,0,0,1,0,0,1,-0.3
1,2016-11-05,hillida01,Darrun Hilliard,346,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.0,Location.HOME,DENVER_NUGGETS,7,0,148,0,1,0,1,0,0,0,0,2,0,0,0,0.7
2,2016-11-07,hillida01,Darrun Hilliard,346,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.4,Location.AWAY,LOS_ANGELES_CLIPPERS,12,3,720,0,2,0,1,3,4,0,2,2,0,0,0,3.2
3,2016-11-14,hillida01,Darrun Hilliard,346,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.0,Location.HOME,OKLAHOMA_CITY_THUNDER,20,2,77,1,1,0,0,0,0,0,0,0,0,0,0,1.3
4,2016-11-18,hillida01,Darrun Hilliard,346,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],12.7,Location.AWAY,CLEVELAND_CAVALIERS,5,7,1177,1,6,1,2,4,6,0,1,3,0,0,0,3.2
5,2016-11-23,hillida01,Darrun Hilliard,346,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.5,Location.HOME,MIAMI_HEAT,15,2,311,0,0,0,0,2,2,0,0,1,0,0,3,-0.7
6,2016-11-25,hillida01,Darrun Hilliard,346,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.100000000000001,Location.HOME,LOS_ANGELES_CLIPPERS,12,9,1151,4,6,0,1,1,1,1,2,1,1,0,2,6.6
7,2016-11-26,hillida01,Darrun Hilliard,346,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.2,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,2,709,1,3,0,1,0,0,0,1,0,0,0,0,-0.2
8,2016-11-29,hillida01,Darrun Hilliard,346,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.0,Location.AWAY,CHARLOTTE_HORNETS,3,5,557,2,4,1,2,0,1,0,0,0,1,0,0,2.8
9,2016-11-30,hillida01,Darrun Hilliard,346,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.7,Location.AWAY,BOSTON_CELTICS,1,0,778,0,3,0,1,0,0,0,1,1,0,1,1,-2.2
