,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,hillso01,Solomon Hill,348,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],5.7,Location.HOME,DENVER_NUGGETS,7,2,1623,1,7,0,4,0,0,0,1,1,1,0,2,-4.1
1,2016-10-28,hillso01,Solomon Hill,348,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],15.2,Location.HOME,GOLDEN_STATE_WARRIORS,9,3,1444,1,4,0,1,1,2,0,1,4,2,0,1,3.1
2,2016-10-29,hillso01,Solomon Hill,348,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],14.8,Location.AWAY,SAN_ANTONIO_SPURS,26,5,1611,2,7,1,3,0,0,1,3,0,2,0,1,1.9
3,2016-11-01,hillso01,Solomon Hill,348,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],37.2,Location.HOME,MILWAUKEE_BUCKS,16,18,2141,5,9,3,4,5,8,1,5,4,2,0,0,18.3
4,2016-11-02,hillso01,Solomon Hill,348,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],5.4,Location.AWAY,MEMPHIS_GRIZZLIES,14,0,633,0,2,0,1,0,0,0,2,0,1,0,0,-0.6
5,2016-11-04,hillso01,Solomon Hill,348,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],26.5,Location.HOME,PHOENIX_SUNS,23,7,1782,2,5,1,2,2,4,1,4,3,1,2,0,8.3
6,2016-11-07,hillso01,Solomon Hill,348,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],21.0,Location.AWAY,GOLDEN_STATE_WARRIORS,9,2,1920,0,4,0,1,2,2,0,5,4,3,0,2,4.1
7,2016-11-08,hillso01,Solomon Hill,348,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],12.5,Location.AWAY,SACRAMENTO_KINGS,25,5,1548,1,4,1,2,2,2,0,5,1,0,0,0,3.2
8,2016-11-10,hillso01,Solomon Hill,348,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],27.7,Location.AWAY,MILWAUKEE_BUCKS,16,8,1849,4,6,0,2,0,0,1,5,5,2,1,4,9.0
9,2016-11-12,hillso01,Solomon Hill,348,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],9.5,Location.HOME,LOS_ANGELES_LAKERS,13,0,1060,0,3,0,0,0,0,0,0,3,1,1,1,0.3
10,2016-11-14,hillso01,Solomon Hill,348,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],19.9,Location.HOME,BOSTON_CELTICS,1,9,1909,2,5,1,4,4,4,1,6,1,1,0,2,6.5
11,2016-11-16,hillso01,Solomon Hill,348,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],8.7,Location.AWAY,ORLANDO_MAGIC,21,2,1223,0,2,0,0,2,2,0,1,3,0,1,2,1.3
