,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2018-10-17,holidaa01,Aaron Holiday,350,[<Position.POINT_GUARD: 'POINT GUARD'>],2.0,Location.HOME,MEMPHIS_GRIZZLIES,14,3,238,1,2,1,2,0,0,0,0,0,0,0,1,0.6
1,2018-10-19,holidaa01,Aaron Holiday,350,[<Position.POINT_GUARD: 'POINT GUARD'>],2.7,Location.AWAY,MILWAUKEE_BUCKS,16,0,254,0,2,0,1,0,0,0,1,1,0,0,0,-0.4
2,2018-10-20,holidaa01,Aaron Holiday,350,[<Position.POINT_GUARD: 'POINT GUARD'>],1.5,Location.HOME,BROOKLYN_NETS,2,0,196,0,1,0,1,0,0,0,0,1,0,0,0,0.0
3,2018-10-24,holidaa01,Aaron Holiday,350,[<Position.POINT_GUARD: 'POINT GUARD'>],-2.0,Location.AWAY,SAN_ANTONIO_SPURS,26,0,171,0,0,0,0,0,0,0,0,0,0,0,2,-2.4
4,2018-10-27,holidaa01,Aaron Holiday,350,[<Position.POINT_GUARD: 'POINT GUARD'>],2.0,Location.AWAY,CLEVELAND_CAVALIERS,5,2,107,1,1,0,0,0,0,0,0,0,0,0,0,1.7
5,2018-11-17,holidaa01,Aaron Holiday,350,[<Position.POINT_GUARD: 'POINT GUARD'>],16.6,Location.HOME,ATLANTA_HAWKS,0,12,914,4,6,3,4,1,2,0,3,2,0,0,2,7.7
6,2018-11-19,holidaa01,Aaron Holiday,350,[<Position.POINT_GUARD: 'POINT GUARD'>],28.9,Location.HOME,UTAH_JAZZ,28,19,1266,7,10,2,4,3,5,0,7,1,0,0,0,15.6
7,2018-11-21,holidaa01,Aaron Holiday,350,[<Position.POINT_GUARD: 'POINT GUARD'>],26.7,Location.AWAY,CHARLOTTE_HORNETS,3,11,1432,2,9,1,7,6,6,1,5,3,1,1,2,8.7
8,2018-11-23,holidaa01,Aaron Holiday,350,[<Position.POINT_GUARD: 'POINT GUARD'>],22.8,Location.HOME,SAN_ANTONIO_SPURS,26,11,1241,5,14,0,5,1,1,0,4,2,1,1,2,4.7
9,2018-11-26,holidaa01,Aaron Holiday,350,[<Position.POINT_GUARD: 'POINT GUARD'>],19.4,Location.AWAY,UTAH_JAZZ,28,12,1305,6,8,0,1,0,0,0,2,2,1,0,1,10.0
10,2018-11-27,holidaa01,Aaron Holiday,350,[<Position.POINT_GUARD: 'POINT GUARD'>],5.0,Location.AWAY,PHOENIX_SUNS,23,2,951,1,6,0,3,0,0,0,0,2,0,0,0,-0.8
