,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-25,holidju01,Justin Holiday,352,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],21.2,Location.AWAY,CLEVELAND_CAVALIERS,5,8,1587,2,7,2,3,2,2,1,5,2,1,0,0,8.5
1,2016-10-29,holidju01,Justin Holiday,352,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],12.5,Location.HOME,MEMPHIS_GRIZZLIES,14,8,1164,4,7,0,2,0,0,0,0,1,0,1,0,4.9
2,2016-11-01,holidju01,Justin Holiday,352,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.6,Location.AWAY,DETROIT_PISTONS,8,0,696,0,1,0,1,0,0,0,3,0,0,1,0,0.5
3,2016-11-02,holidju01,Justin Holiday,352,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],13.399999999999999,Location.HOME,HOUSTON_ROCKETS,10,8,1068,3,10,2,4,0,0,0,2,2,1,0,3,1.0
4,2016-11-04,holidju01,Justin Holiday,352,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.0,Location.AWAY,CHICAGO_BULLS,4,4,841,1,2,1,2,1,2,0,0,0,0,0,0,2.6
5,2016-11-06,holidju01,Justin Holiday,352,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.7,Location.HOME,UTAH_JAZZ,28,2,781,1,2,0,0,0,0,0,1,1,0,0,0,2.0
6,2016-11-09,holidju01,Justin Holiday,352,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,BROOKLYN_NETS,2,0,318,0,2,0,0,0,0,0,0,0,0,0,0,-1.4
7,2016-11-11,holidju01,Justin Holiday,352,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],24.0,Location.AWAY,BOSTON_CELTICS,1,10,1583,4,11,2,5,0,0,4,1,0,1,2,1,7.6
8,2016-11-12,holidju01,Justin Holiday,352,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.5,Location.AWAY,TORONTO_RAPTORS,27,2,863,1,4,0,1,0,0,0,0,1,0,0,2,-2.5
9,2016-11-14,holidju01,Justin Holiday,352,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],28.8,Location.HOME,DALLAS_MAVERICKS,6,16,1523,6,7,2,3,2,2,0,4,2,1,1,1,15.6
10,2016-11-16,holidju01,Justin Holiday,352,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],18.0,Location.HOME,DETROIT_PISTONS,8,9,1433,3,7,1,3,2,2,2,3,0,0,1,0,7.9
11,2016-11-17,holidju01,Justin Holiday,352,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.8,Location.AWAY,WASHINGTON_WIZARDS,29,8,1384,2,3,1,2,3,4,0,4,0,1,0,1,6.7
12,2016-11-20,holidju01,Justin Holiday,352,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.4,Location.HOME,ATLANTA_HAWKS,0,6,1130,2,8,2,5,0,0,0,2,0,1,0,1,1.4
13,2016-11-22,holidju01,Justin Holiday,352,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],18.0,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,7,1161,3,4,1,1,0,0,0,5,4,0,0,1,7.9
