,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,holmeri01,Richaun Holmes,355,[<Position.CENTER: 'CENTER'>],17.6,Location.HOME,OKLAHOMA_CITY_THUNDER,20,6,712,2,2,0,0,2,2,1,2,0,0,3,1,6.6
1,2016-10-29,holmeri01,Richaun Holmes,355,[<Position.CENTER: 'CENTER'>],17.7,Location.HOME,ATLANTA_HAWKS,0,10,1172,5,8,0,0,0,0,1,5,1,0,0,1,7.1
2,2016-11-01,holmeri01,Richaun Holmes,355,[<Position.CENTER: 'CENTER'>],18.4,Location.HOME,ORLANDO_MAGIC,21,6,1389,3,6,0,0,0,0,1,6,2,0,1,2,4.8
3,2016-11-02,holmeri01,Richaun Holmes,355,[<Position.CENTER: 'CENTER'>],18.6,Location.AWAY,CHARLOTTE_HORNETS,3,11,691,4,4,1,1,2,2,1,2,2,0,1,2,9.6
4,2016-11-07,holmeri01,Richaun Holmes,355,[<Position.CENTER: 'CENTER'>],4.2,Location.HOME,UTAH_JAZZ,28,3,314,1,2,1,1,0,0,0,1,0,0,0,0,2.3
5,2016-11-09,holmeri01,Richaun Holmes,355,[<Position.CENTER: 'CENTER'>],25.2,Location.AWAY,INDIANA_PACERS,11,7,1662,3,4,1,2,0,4,0,6,0,2,2,1,6.8
6,2016-11-11,holmeri01,Richaun Holmes,355,[<Position.CENTER: 'CENTER'>],27.4,Location.HOME,INDIANA_PACERS,11,8,1466,4,10,0,1,0,0,4,8,0,1,1,1,7.7
7,2016-11-12,holmeri01,Richaun Holmes,355,[<Position.CENTER: 'CENTER'>],19.0,Location.AWAY,ATLANTA_HAWKS,0,7,1224,2,8,0,1,3,4,2,3,2,1,0,0,6.1
8,2016-11-14,holmeri01,Richaun Holmes,355,[<Position.CENTER: 'CENTER'>],9.1,Location.AWAY,HOUSTON_ROCKETS,10,4,503,2,4,0,1,0,0,1,2,1,0,0,0,4.0
9,2016-11-16,holmeri01,Richaun Holmes,355,[<Position.CENTER: 'CENTER'>],23.6,Location.HOME,WASHINGTON_WIZARDS,29,8,1168,3,3,2,2,0,0,2,1,2,3,0,0,12.0
10,2016-11-17,holmeri01,Richaun Holmes,355,[<Position.CENTER: 'CENTER'>],11.4,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,4,198,2,3,0,1,0,0,1,1,0,1,1,1,4.4
11,2016-11-19,holmeri01,Richaun Holmes,355,[<Position.CENTER: 'CENTER'>],5.7,Location.HOME,PHOENIX_SUNS,23,3,448,1,2,0,0,1,2,0,1,1,0,0,0,1.8
12,2016-11-25,holmeri01,Richaun Holmes,355,[<Position.CENTER: 'CENTER'>],29.0,Location.HOME,CHICAGO_BULLS,4,13,1275,4,8,1,2,4,4,3,2,0,1,3,2,12.4
13,2016-11-28,holmeri01,Richaun Holmes,355,[<Position.CENTER: 'CENTER'>],27.299999999999997,Location.AWAY,TORONTO_RAPTORS,27,11,1402,4,10,1,3,2,2,4,5,1,2,0,2,9.4
14,2016-12-02,holmeri01,Richaun Holmes,355,[<Position.CENTER: 'CENTER'>],3.2,Location.HOME,ORLANDO_MAGIC,21,2,463,1,3,0,1,0,0,0,1,0,0,0,0,-0.2
15,2016-12-03,holmeri01,Richaun Holmes,355,[<Position.CENTER: 'CENTER'>],3.7,Location.HOME,BOSTON_CELTICS,1,3,659,0,2,0,1,3,4,1,0,1,0,0,2,-0.6
16,2016-12-05,holmeri01,Richaun Holmes,355,[<Position.CENTER: 'CENTER'>],27.1,Location.HOME,DENVER_NUGGETS,7,11,1100,5,8,0,1,1,2,5,3,1,0,2,1,10.9
17,2016-12-06,holmeri01,Richaun Holmes,355,[<Position.CENTER: 'CENTER'>],30.200000000000003,Location.AWAY,MEMPHIS_GRIZZLIES,14,10,2042,5,13,0,2,0,1,3,3,2,1,3,2,6.4
18,2016-12-08,holmeri01,Richaun Holmes,355,[<Position.CENTER: 'CENTER'>],23.9,Location.AWAY,NEW_ORLEANS_PELICANS,18,8,1203,4,6,0,0,0,2,0,7,1,0,2,0,7.2
19,2016-12-11,holmeri01,Richaun Holmes,355,[<Position.CENTER: 'CENTER'>],5.2,Location.AWAY,DETROIT_PISTONS,8,4,665,2,6,0,0,0,0,0,1,0,0,0,0,0.9
20,2016-12-14,holmeri01,Richaun Holmes,355,[<Position.CENTER: 'CENTER'>],11.7,Location.HOME,TORONTO_RAPTORS,27,6,434,3,5,0,0,0,0,1,0,1,1,0,0,5.7
21,2017-01-21,holmeri01,Richaun Holmes,355,[<Position.CENTER: 'CENTER'>],0.19999999999999996,Location.AWAY,ATLANTA_HAWKS,0,0,326,0,1,0,0,0,0,1,0,0,0,0,1,-1.0
22,2017-01-24,holmeri01,Richaun Holmes,355,[<Position.CENTER: 'CENTER'>],24.6,Location.HOME,LOS_ANGELES_CLIPPERS,12,18,1124,8,11,1,1,1,1,0,3,0,0,1,0,13.9
23,2017-01-25,holmeri01,Richaun Holmes,355,[<Position.CENTER: 'CENTER'>],19.1,Location.AWAY,MILWAUKEE_BUCKS,16,9,1198,3,4,0,1,3,3,2,6,1,1,0,4,7.1
24,2017-01-29,holmeri01,Richaun Holmes,355,[<Position.CENTER: 'CENTER'>],12.1,Location.AWAY,CHICAGO_BULLS,4,4,1336,2,8,0,0,0,0,1,2,1,1,0,0,1.4
25,2017-02-01,holmeri01,Richaun Holmes,355,[<Position.CENTER: 'CENTER'>],5.0,Location.AWAY,DALLAS_MAVERICKS,6,2,382,1,1,0,0,0,0,0,0,0,0,1,0,2.4
26,2017-02-02,holmeri01,Richaun Holmes,355,[<Position.CENTER: 'CENTER'>],15.7,Location.AWAY,SAN_ANTONIO_SPURS,26,4,1110,1,4,0,0,2,6,2,4,1,0,1,0,3.6
27,2017-02-04,holmeri01,Richaun Holmes,355,[<Position.CENTER: 'CENTER'>],26.799999999999997,Location.AWAY,MIAMI_HEAT,15,12,1441,4,6,0,0,4,4,2,7,2,1,0,2,12.5
28,2017-02-06,holmeri01,Richaun Holmes,355,[<Position.CENTER: 'CENTER'>],6.1,Location.AWAY,DETROIT_PISTONS,8,2,373,1,2,0,0,0,0,2,1,1,0,0,1,2.4
29,2017-02-11,holmeri01,Richaun Holmes,355,[<Position.CENTER: 'CENTER'>],14.3,Location.HOME,MIAMI_HEAT,15,6,980,2,2,0,0,2,3,4,0,1,0,1,1,6.6
30,2017-02-13,holmeri01,Richaun Holmes,355,[<Position.CENTER: 'CENTER'>],10.8,Location.AWAY,CHARLOTTE_HORNETS,3,3,1166,1,3,0,0,1,4,2,2,0,0,1,0,2.4
31,2017-02-24,holmeri01,Richaun Holmes,355,[<Position.CENTER: 'CENTER'>],46.5,Location.HOME,WASHINGTON_WIZARDS,29,12,1560,6,9,0,1,0,0,3,7,1,2,5,0,17.3
