,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,horfoal01,Al Horford,358,[<Position.CENTER: 'CENTER'>],36.0,Location.HOME,BROOKLYN_NETS,2,11,1629,5,8,1,4,0,0,1,4,6,0,4,2,13.5
1,2016-10-27,horfoal01,Al Horford,358,[<Position.CENTER: 'CENTER'>],28.9,Location.AWAY,CHICAGO_BULLS,4,11,1803,4,9,0,2,3,4,0,7,5,0,1,1,9.2
2,2016-10-29,horfoal01,Al Horford,358,[<Position.CENTER: 'CENTER'>],28.3,Location.AWAY,CHARLOTTE_HORNETS,3,14,1871,6,10,1,1,1,2,0,4,3,0,2,1,11.9
3,2016-11-19,horfoal01,Al Horford,358,[<Position.CENTER: 'CENTER'>],52.7,Location.AWAY,DETROIT_PISTONS,8,18,2025,7,12,2,3,2,2,2,9,5,2,3,1,22.3
4,2016-11-21,horfoal01,Al Horford,358,[<Position.CENTER: 'CENTER'>],46.7,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,20,2163,9,20,2,7,0,0,4,2,5,1,3,0,18.8
5,2016-11-23,horfoal01,Al Horford,358,[<Position.CENTER: 'CENTER'>],42.0,Location.AWAY,BROOKLYN_NETS,2,17,1824,7,12,3,4,0,0,1,4,8,1,2,2,18.5
6,2016-11-25,horfoal01,Al Horford,358,[<Position.CENTER: 'CENTER'>],36.0,Location.HOME,SAN_ANTONIO_SPURS,26,12,2127,6,13,0,3,0,0,2,8,4,0,3,3,9.8
7,2016-11-30,horfoal01,Al Horford,358,[<Position.CENTER: 'CENTER'>],26.0,Location.HOME,DETROIT_PISTONS,8,9,1899,3,5,1,2,2,2,0,5,4,0,2,1,10.6
8,2016-12-02,horfoal01,Al Horford,358,[<Position.CENTER: 'CENTER'>],63.099999999999994,Location.HOME,SACRAMENTO_KINGS,25,26,2132,10,18,4,7,2,2,2,6,3,2,6,1,27.1
9,2016-12-03,horfoal01,Al Horford,358,[<Position.CENTER: 'CENTER'>],22.3,Location.AWAY,PHILADELPHIA_76ERS,22,11,2026,4,10,1,3,2,2,0,4,3,0,1,1,7.8
10,2016-12-05,horfoal01,Al Horford,358,[<Position.CENTER: 'CENTER'>],46.7,Location.AWAY,HOUSTON_ROCKETS,10,21,2089,9,22,1,5,2,2,1,5,9,1,2,4,14.9
11,2016-12-07,horfoal01,Al Horford,358,[<Position.CENTER: 'CENTER'>],35.2,Location.AWAY,ORLANDO_MAGIC,21,10,1763,3,9,0,3,4,4,1,5,8,0,2,0,13.3
12,2016-12-09,horfoal01,Al Horford,358,[<Position.CENTER: 'CENTER'>],35.4,Location.HOME,TORONTO_RAPTORS,27,19,1894,5,14,3,8,6,9,1,6,6,0,1,4,12.6
13,2016-12-11,horfoal01,Al Horford,358,[<Position.CENTER: 'CENTER'>],34.8,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,19,1997,8,17,3,8,0,0,1,3,6,0,1,1,15.4
14,2016-12-14,horfoal01,Al Horford,358,[<Position.CENTER: 'CENTER'>],23.0,Location.AWAY,SAN_ANTONIO_SPURS,26,13,2070,4,12,1,4,4,4,1,4,4,0,0,2,8.1
15,2016-12-16,horfoal01,Al Horford,358,[<Position.CENTER: 'CENTER'>],54.1,Location.HOME,CHARLOTTE_HORNETS,3,18,2072,6,11,0,0,6,8,1,7,5,2,5,2,21.7
16,2016-12-18,horfoal01,Al Horford,358,[<Position.CENTER: 'CENTER'>],45.4,Location.AWAY,MIAMI_HEAT,15,17,1870,7,16,0,5,3,3,2,5,8,2,1,1,18.4
17,2016-12-20,horfoal01,Al Horford,358,[<Position.CENTER: 'CENTER'>],39.3,Location.AWAY,MEMPHIS_GRIZZLIES,14,17,2388,8,19,1,8,0,1,3,11,3,0,1,2,11.5
18,2016-12-22,horfoal01,Al Horford,358,[<Position.CENTER: 'CENTER'>],24.7,Location.AWAY,INDIANA_PACERS,11,8,1980,3,12,0,3,2,2,3,8,1,0,1,1,4.9
19,2016-12-23,horfoal01,Al Horford,358,[<Position.CENTER: 'CENTER'>],43.2,Location.HOME,OKLAHOMA_CITY_THUNDER,20,23,1953,8,17,3,6,4,4,1,5,4,2,1,2,18.4
20,2016-12-25,horfoal01,Al Horford,358,[<Position.CENTER: 'CENTER'>],42.9,Location.AWAY,NEW_YORK_KNICKS,19,15,2090,7,13,1,3,0,0,3,4,5,3,1,0,19.2
21,2016-12-27,horfoal01,Al Horford,358,[<Position.CENTER: 'CENTER'>],24.3,Location.HOME,MEMPHIS_GRIZZLIES,14,11,2043,5,14,1,4,0,0,2,2,5,0,2,5,3.9
22,2016-12-29,horfoal01,Al Horford,358,[<Position.CENTER: 'CENTER'>],20.2,Location.AWAY,CLEVELAND_CAVALIERS,5,6,1746,3,9,0,2,0,0,0,1,4,0,3,2,3.3
23,2016-12-30,horfoal01,Al Horford,358,[<Position.CENTER: 'CENTER'>],35.2,Location.HOME,MIAMI_HEAT,15,21,1884,8,12,3,6,2,2,0,6,4,1,0,2,19.0
24,2017-01-03,horfoal01,Al Horford,358,[<Position.CENTER: 'CENTER'>],35.0,Location.HOME,UTAH_JAZZ,28,21,1854,9,16,3,6,0,0,1,4,4,1,0,1,16.1
25,2017-01-06,horfoal01,Al Horford,358,[<Position.CENTER: 'CENTER'>],44.4,Location.HOME,PHILADELPHIA_76ERS,22,19,1945,7,15,4,7,1,2,5,7,4,0,2,1,17.7
26,2017-01-07,horfoal01,Al Horford,358,[<Position.CENTER: 'CENTER'>],32.4,Location.HOME,NEW_ORLEANS_PELICANS,18,8,2093,3,18,1,6,1,1,4,3,8,0,2,2,4.5
27,2017-01-10,horfoal01,Al Horford,358,[<Position.CENTER: 'CENTER'>],30.799999999999997,Location.AWAY,TORONTO_RAPTORS,27,14,2078,5,11,2,4,2,2,2,7,4,1,0,3,12.2
28,2017-01-11,horfoal01,Al Horford,358,[<Position.CENTER: 'CENTER'>],41.3,Location.HOME,WASHINGTON_WIZARDS,29,16,1954,7,12,2,6,0,0,1,8,3,2,2,2,16.2
29,2017-01-13,horfoal01,Al Horford,358,[<Position.CENTER: 'CENTER'>],31.200000000000003,Location.AWAY,ATLANTA_HAWKS,0,10,2081,4,8,2,5,0,2,0,6,6,1,1,1,11.5
30,2017-01-16,horfoal01,Al Horford,358,[<Position.CENTER: 'CENTER'>],33.2,Location.HOME,CHARLOTTE_HORNETS,3,22,2024,8,14,1,5,5,5,2,4,4,0,0,2,18.4
31,2017-01-18,horfoal01,Al Horford,358,[<Position.CENTER: 'CENTER'>],34.4,Location.HOME,NEW_YORK_KNICKS,19,5,2027,2,14,1,8,0,0,2,5,10,1,1,0,7.6
32,2017-01-21,horfoal01,Al Horford,358,[<Position.CENTER: 'CENTER'>],35.5,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,17,2289,6,13,2,2,3,5,2,8,5,0,0,1,13.4
33,2017-01-24,horfoal01,Al Horford,358,[<Position.CENTER: 'CENTER'>],32.4,Location.AWAY,WASHINGTON_WIZARDS,29,22,1998,9,12,2,3,2,2,0,2,4,0,1,1,19.1
34,2017-01-25,horfoal01,Al Horford,358,[<Position.CENTER: 'CENTER'>],51.1,Location.HOME,HOUSTON_ROCKETS,10,20,2018,9,15,2,2,0,0,0,3,9,3,2,1,22.9
35,2017-01-30,horfoal01,Al Horford,358,[<Position.CENTER: 'CENTER'>],33.2,Location.HOME,DETROIT_PISTONS,8,13,2070,6,10,1,3,0,0,1,5,6,0,2,2,14.2
36,2017-02-01,horfoal01,Al Horford,358,[<Position.CENTER: 'CENTER'>],25.6,Location.HOME,TORONTO_RAPTORS,27,11,1909,4,13,1,5,2,2,1,2,6,1,0,1,7.8
37,2017-02-03,horfoal01,Al Horford,358,[<Position.CENTER: 'CENTER'>],33.6,Location.HOME,LOS_ANGELES_LAKERS,13,11,1845,4,11,1,4,2,4,2,6,8,0,1,2,10.8
38,2017-02-05,horfoal01,Al Horford,358,[<Position.CENTER: 'CENTER'>],47.0,Location.HOME,LOS_ANGELES_CLIPPERS,12,13,2077,4,13,3,9,2,2,2,13,6,1,2,2,13.4
39,2017-02-08,horfoal01,Al Horford,358,[<Position.CENTER: 'CENTER'>],21.7,Location.AWAY,SACRAMENTO_KINGS,25,10,1915,4,8,1,2,1,1,0,6,1,1,1,3,6.8
40,2017-02-09,horfoal01,Al Horford,358,[<Position.CENTER: 'CENTER'>],27.2,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,12,1952,5,12,1,2,1,1,2,4,4,0,1,1,9.9
41,2017-02-11,horfoal01,Al Horford,358,[<Position.CENTER: 'CENTER'>],30.299999999999997,Location.AWAY,UTAH_JAZZ,28,16,2055,6,9,2,4,2,3,0,9,3,0,1,4,12.4
42,2017-02-13,horfoal01,Al Horford,358,[<Position.CENTER: 'CENTER'>],24.0,Location.AWAY,DALLAS_MAVERICKS,6,11,1911,5,12,1,2,0,0,1,4,4,1,0,2,7.9
