,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-11-11,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.2,Location.HOME,CLEVELAND_CAVALIERS,5,0,50,0,0,0,0,0,0,0,1,0,0,0,0,0.3
1,2017-12-09,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.2,Location.HOME,SAN_ANTONIO_SPURS,26,2,675,1,3,0,2,0,0,0,1,0,0,0,1,-0.4
2,2017-12-13,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.7,Location.HOME,TORONTO_RAPTORS,27,2,1179,0,3,0,1,2,2,0,1,1,0,0,0,0.5
3,2017-12-16,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.5,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,8,882,2,3,1,1,3,3,0,0,1,0,0,0,7.0
4,2017-12-18,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.1,Location.AWAY,DALLAS_MAVERICKS,6,3,758,1,2,0,1,1,1,0,3,1,0,0,1,1.4
5,2017-12-20,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.2,Location.AWAY,LOS_ANGELES_CLIPPERS,12,7,465,2,4,1,3,2,2,0,1,0,0,0,0,4.9
6,2017-12-21,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.4,Location.HOME,MEMPHIS_GRIZZLIES,14,6,864,3,8,0,3,0,0,0,2,0,0,0,1,1.2
7,2017-12-23,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.7,Location.HOME,MINNESOTA_TIMBERWOLVES,17,3,509,0,2,0,2,3,3,0,1,1,1,0,0,3.6
8,2018-01-03,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.4,Location.AWAY,DENVER_NUGGETS,7,1,193,0,1,0,0,1,2,0,2,0,1,0,0,1.5
9,2018-01-05,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22.2,Location.AWAY,SAN_ANTONIO_SPURS,26,9,1283,3,9,1,2,2,2,4,2,2,1,0,0,9.3
10,2018-01-12,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.0,Location.HOME,HOUSTON_ROCKETS,10,8,1040,3,5,2,2,0,0,1,4,0,1,0,2,5.8
11,2018-01-14,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.2,Location.HOME,INDIANA_PACERS,11,1,700,0,3,0,2,1,2,0,1,0,0,0,0,-1.6
12,2018-01-26,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.4,Location.HOME,NEW_YORK_KNICKS,19,3,315,1,3,1,2,0,0,1,1,0,0,0,0,1.9
13,2018-01-31,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.0,Location.HOME,DALLAS_MAVERICKS,6,6,660,2,6,2,3,0,0,2,3,2,0,0,0,5.1
14,2018-02-02,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.4,Location.HOME,UTAH_JAZZ,28,4,509,2,3,0,1,0,1,0,2,0,0,0,0,2.9
15,2018-02-04,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],11.6,Location.HOME,CHARLOTTE_HORNETS,3,5,670,2,4,0,2,1,1,0,3,0,0,1,0,4.2
16,2018-02-07,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],11.4,Location.HOME,SAN_ANTONIO_SPURS,26,6,904,3,8,0,4,0,0,1,1,0,1,0,0,3.6
17,2018-03-28,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,LOS_ANGELES_CLIPPERS,12,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,2018-03-30,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],19.6,Location.AWAY,HOUSTON_ROCKETS,10,5,1480,2,3,1,2,0,0,0,8,0,1,1,1,6.8
19,2018-04-01,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],33.7,Location.AWAY,GOLDEN_STATE_WARRIORS,9,16,2044,6,11,1,5,3,3,2,4,3,0,2,0,16.4
20,2018-04-03,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],25.7,Location.HOME,SACRAMENTO_KINGS,25,14,1694,5,9,2,4,2,2,0,6,5,0,0,3,10.8
21,2018-04-06,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],18.1,Location.HOME,NEW_ORLEANS_PELICANS,18,5,2091,2,9,0,4,1,2,0,3,3,0,2,1,2.1
22,2018-04-08,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],39.1,Location.HOME,GOLDEN_STATE_WARRIORS,9,22,2671,9,18,2,9,2,3,1,7,3,1,0,0,17.7
23,2018-04-10,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],29.1,Location.AWAY,DALLAS_MAVERICKS,6,16,2394,7,12,1,3,1,2,1,7,3,0,0,1,13.5
24,2018-11-26,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.1,Location.AWAY,WASHINGTON_WIZARDS,29,4,1709,1,5,0,3,2,2,2,1,1,0,0,1,1.1
25,2018-11-28,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],24.5,Location.HOME,DALLAS_MAVERICKS,6,18,1405,6,13,2,8,4,6,2,3,1,0,0,1,10.9
26,2018-11-30,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.5,Location.AWAY,SAN_ANTONIO_SPURS,26,8,1461,2,4,2,4,2,2,2,3,1,0,0,0,8.2
27,2018-12-01,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.2,Location.HOME,CHICAGO_BULLS,4,6,1034,2,7,0,3,2,4,0,1,0,0,0,0,0.2
28,2018-12-03,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.5,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,6,740,2,4,2,4,0,0,0,0,1,1,0,1,3.5
29,2018-12-06,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],16.1,Location.AWAY,UTAH_JAZZ,28,7,1438,2,4,0,1,3,4,0,3,1,1,1,2,4.7
30,2018-12-08,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.9,Location.AWAY,DALLAS_MAVERICKS,6,0,529,0,1,0,1,0,0,0,2,1,0,0,0,0.2
31,2018-12-11,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22.5,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,12,1130,4,8,1,4,3,4,0,5,1,1,0,0,10.8
32,2018-12-13,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],20.6,Location.HOME,LOS_ANGELES_LAKERS,13,15,1756,5,8,3,5,2,2,1,2,0,1,0,1,12.7
33,2018-12-15,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.4,Location.AWAY,MEMPHIS_GRIZZLIES,14,0,1151,0,2,0,2,0,0,1,1,0,0,0,0,-0.8
34,2018-12-17,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.8,Location.HOME,UTAH_JAZZ,28,4,1111,1,3,0,2,2,2,2,2,0,0,1,1,3.2
35,2018-12-19,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],13.8,Location.HOME,WASHINGTON_WIZARDS,29,9,1512,2,8,2,8,3,5,0,4,0,1,0,3,2.6
36,2018-12-20,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.2,Location.AWAY,MIAMI_HEAT,15,10,1101,3,4,2,3,2,2,0,1,0,1,0,0,9.7
37,2018-12-22,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.1,Location.HOME,SAN_ANTONIO_SPURS,26,4,1654,2,4,0,2,0,0,0,3,1,0,0,0,2.4
38,2018-12-25,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],21.8,Location.HOME,OKLAHOMA_CITY_THUNDER,20,9,1528,3,6,2,4,1,1,2,2,2,1,1,1,9.7
39,2018-12-27,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],24.6,Location.HOME,BOSTON_CELTICS,1,7,1656,3,5,1,3,0,0,2,6,2,1,1,1,8.8
40,2018-12-29,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],24.3,Location.AWAY,NEW_ORLEANS_PELICANS,18,15,1939,5,8,3,5,2,4,1,3,1,1,0,0,13.1
41,2018-12-31,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],24.1,Location.HOME,MEMPHIS_GRIZZLIES,14,16,1644,5,8,4,6,2,2,2,1,1,0,1,0,14.7
42,2019-01-03,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],28.3,Location.AWAY,GOLDEN_STATE_WARRIORS,9,17,2359,3,5,2,3,9,9,0,4,3,1,0,1,16.8
43,2019-01-05,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],20.8,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,7,1573,3,6,1,3,0,0,0,4,0,2,1,0,7.9
44,2019-01-07,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.7,Location.HOME,DENVER_NUGGETS,7,6,1557,1,3,1,1,3,3,1,5,3,0,0,3,5.6
45,2019-01-09,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.5,Location.HOME,MILWAUKEE_BUCKS,16,3,1507,1,5,1,4,0,0,1,4,1,0,2,1,2.1
46,2019-01-11,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],30.0,Location.HOME,CLEVELAND_CAVALIERS,5,14,1800,4,9,3,7,3,3,0,5,2,1,2,2,11.8
47,2019-01-13,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],17.2,Location.AWAY,ORLANDO_MAGIC,21,14,1790,5,13,4,7,0,0,0,1,2,0,0,1,6.8
48,2019-01-14,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],21.3,Location.HOME,MEMPHIS_GRIZZLIES,14,15,2131,6,12,3,7,0,0,1,3,1,1,0,3,8.1
49,2019-03-15,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23.6,Location.HOME,PHOENIX_SUNS,23,18,2091,6,11,4,8,2,2,0,3,0,1,0,1,12.4
50,2019-03-17,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23.4,Location.HOME,MINNESOTA_TIMBERWOLVES,17,14,1700,5,6,2,3,2,4,2,5,2,0,0,2,12.5
51,2019-03-19,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23.6,Location.AWAY,ATLANTA_HAWKS,0,19,1950,6,12,6,11,1,2,1,2,2,0,0,2,12.1
52,2019-03-20,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.6,Location.AWAY,MEMPHIS_GRIZZLIES,14,9,2339,3,9,3,8,0,0,2,1,0,0,0,3,1.0
53,2019-03-22,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.0,Location.HOME,SAN_ANTONIO_SPURS,26,1,1149,0,4,0,4,1,2,0,5,0,1,0,1,-1.5
54,2019-03-24,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23.2,Location.AWAY,NEW_ORLEANS_PELICANS,18,14,1801,5,6,4,5,0,0,0,6,0,1,0,1,13.2
55,2019-03-26,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],19.8,Location.AWAY,MILWAUKEE_BUCKS,16,15,1659,5,10,5,9,0,0,0,4,0,0,0,0,10.4
56,2019-03-28,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.0,Location.HOME,DENVER_NUGGETS,7,0,1201,0,5,0,5,0,0,0,0,2,1,0,0,-1.9
57,2019-03-30,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.9,Location.HOME,SACRAMENTO_KINGS,25,3,1197,1,3,1,3,0,0,0,2,1,0,0,1,0.8
58,2019-04-02,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23.2,Location.AWAY,SACRAMENTO_KINGS,25,19,1731,7,14,4,10,1,2,0,1,2,0,0,0,12.9
59,2019-04-03,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23.7,Location.AWAY,LOS_ANGELES_CLIPPERS,12,13,1312,3,4,3,3,4,4,0,6,3,0,0,1,12.3
60,2019-04-05,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.6,Location.HOME,NEW_YORK_KNICKS,19,2,643,1,2,0,1,0,0,0,3,0,1,0,0,1.7
61,2019-04-07,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],27.7,Location.HOME,PHOENIX_SUNS,23,13,1300,5,7,3,4,0,0,0,6,1,1,1,0,13.5
62,2019-04-09,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.9,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,0,1431,0,4,0,4,0,0,0,2,1,1,0,0,-1.7
63,2019-10-24,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],19.9,Location.HOME,MILWAUKEE_BUCKS,16,8,1564,2,6,2,4,2,2,0,2,3,1,1,1,7.2
64,2019-10-26,houseda01,Danuel House,360,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],27.6,Location.HOME,NEW_ORLEANS_PELICANS,18,15,1806,4,6,4,5,3,3,1,7,0,0,1,0,15.5
