,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-27,howardw01,Dwight Howard,361,[<Position.CENTER: 'CENTER'>],45.8,Location.HOME,WASHINGTON_WIZARDS,29,11,1808,4,9,0,0,3,4,7,12,2,1,3,3,15.1
1,2016-10-29,howardw01,Dwight Howard,361,[<Position.CENTER: 'CENTER'>],19.9,Location.AWAY,PHILADELPHIA_76ERS,22,2,1150,1,4,0,0,0,0,3,4,1,0,3,1,3.1
2,2016-10-31,howardw01,Dwight Howard,361,[<Position.CENTER: 'CENTER'>],42.7,Location.HOME,SACRAMENTO_KINGS,25,18,1805,5,9,0,0,8,20,7,4,1,0,4,2,14.5
3,2016-11-02,howardw01,Dwight Howard,361,[<Position.CENTER: 'CENTER'>],50.2,Location.HOME,LOS_ANGELES_LAKERS,13,31,1902,12,16,0,0,7,10,3,8,0,3,0,3,26.3
4,2016-11-04,howardw01,Dwight Howard,361,[<Position.CENTER: 'CENTER'>],37.9,Location.AWAY,WASHINGTON_WIZARDS,29,20,1752,7,12,0,0,6,12,5,7,1,2,0,4,14.3
5,2016-11-05,howardw01,Dwight Howard,361,[<Position.CENTER: 'CENTER'>],48.5,Location.HOME,HOUSTON_ROCKETS,10,20,1752,8,10,0,0,4,10,7,8,3,1,2,3,21.4
6,2016-11-08,howardw01,Dwight Howard,361,[<Position.CENTER: 'CENTER'>],36.4,Location.AWAY,CLEVELAND_CAVALIERS,5,7,1619,3,5,0,0,1,4,2,15,2,0,3,3,8.3
7,2016-11-09,howardw01,Dwight Howard,361,[<Position.CENTER: 'CENTER'>],43.0,Location.HOME,CHICAGO_BULLS,4,18,2020,6,9,0,0,6,9,6,4,0,3,2,2,19.5
8,2016-11-12,howardw01,Dwight Howard,361,[<Position.CENTER: 'CENTER'>],29.2,Location.HOME,PHILADELPHIA_76ERS,22,10,1688,5,7,0,0,0,1,5,6,2,1,0,0,12.8
9,2016-11-15,howardw01,Dwight Howard,361,[<Position.CENTER: 'CENTER'>],29.700000000000003,Location.AWAY,MIAMI_HEAT,15,11,1474,5,9,0,0,1,3,2,9,1,3,0,5,7.5
