,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2018-10-17,huertke01,Kevin Huerter,363,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.5999999999999996,Location.AWAY,NEW_YORK_KNICKS,19,0,275,0,1,0,0,0,0,1,2,0,0,0,0,0.6
1,2018-10-19,huertke01,Kevin Huerter,363,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.4,Location.AWAY,MEMPHIS_GRIZZLIES,14,3,786,1,3,0,2,1,1,0,2,2,0,0,0,2.9
2,2018-10-21,huertke01,Kevin Huerter,363,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],36.0,Location.AWAY,CLEVELAND_CAVALIERS,5,9,1504,3,8,3,5,0,0,3,7,4,2,1,0,13.1
3,2018-10-24,huertke01,Kevin Huerter,363,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.300000000000001,Location.HOME,DALLAS_MAVERICKS,6,3,1055,1,3,0,1,1,2,0,4,1,0,0,2,0.8
4,2018-10-27,huertke01,Kevin Huerter,363,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],19.2,Location.HOME,CHICAGO_BULLS,4,6,1023,2,5,2,4,0,0,1,5,2,1,0,0,7.9
5,2018-10-29,huertke01,Kevin Huerter,363,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.1,Location.AWAY,PHILADELPHIA_76ERS,22,2,1041,0,3,0,2,2,2,0,3,1,0,1,1,0.8
6,2018-10-30,huertke01,Kevin Huerter,363,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],12.2,Location.AWAY,CLEVELAND_CAVALIERS,5,13,920,5,6,3,4,0,0,1,0,0,0,0,2,9.5
7,2018-11-01,huertke01,Kevin Huerter,363,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.0,Location.HOME,SACRAMENTO_KINGS,25,3,87,1,1,1,1,0,0,0,0,0,0,0,0,2.7
8,2018-11-03,huertke01,Kevin Huerter,363,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],19.7,Location.HOME,MIAMI_HEAT,15,12,1761,5,9,2,5,0,0,0,1,3,1,0,1,8.9
9,2018-11-06,huertke01,Kevin Huerter,363,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],28.5,Location.AWAY,CHARLOTTE_HORNETS,3,7,1933,2,5,0,2,3,3,1,4,3,3,1,1,10.6
10,2018-11-09,huertke01,Kevin Huerter,363,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],13.7,Location.HOME,DETROIT_PISTONS,8,2,1734,1,5,0,2,0,0,0,6,3,0,0,0,1.6
11,2018-11-11,huertke01,Kevin Huerter,363,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.5,Location.AWAY,LOS_ANGELES_LAKERS,13,0,699,0,6,0,3,0,0,0,0,1,0,0,0,-4.7
12,2018-11-13,huertke01,Kevin Huerter,363,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.4,Location.AWAY,GOLDEN_STATE_WARRIORS,9,2,823,1,4,0,0,0,0,0,2,0,1,0,2,-0.8
13,2018-11-15,huertke01,Kevin Huerter,363,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],16.1,Location.AWAY,DENVER_NUGGETS,7,10,1688,4,10,2,6,0,1,1,2,1,1,0,2,4.8
14,2018-11-17,huertke01,Kevin Huerter,363,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],17.1,Location.AWAY,INDIANA_PACERS,11,5,1757,2,9,1,4,0,1,0,3,3,1,1,2,1.0
15,2018-11-19,huertke01,Kevin Huerter,363,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.2,Location.HOME,LOS_ANGELES_CLIPPERS,12,8,822,3,6,2,3,0,0,0,1,0,0,0,1,2.3
16,2018-11-21,huertke01,Kevin Huerter,363,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],20.8,Location.HOME,TORONTO_RAPTORS,27,10,1522,4,9,2,4,0,0,3,1,2,0,1,0,9.8
17,2018-11-23,huertke01,Kevin Huerter,363,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.1,Location.HOME,BOSTON_CELTICS,1,4,1391,2,5,0,3,0,0,1,2,3,0,1,0,3.8
18,2018-11-25,huertke01,Kevin Huerter,363,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],20.1,Location.HOME,CHARLOTTE_HORNETS,3,4,1349,1,2,1,1,1,2,2,1,5,2,0,1,7.6
19,2018-11-27,huertke01,Kevin Huerter,363,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.7,Location.AWAY,MIAMI_HEAT,15,8,1152,3,7,2,4,0,0,1,0,1,0,0,1,4.3
20,2018-11-28,huertke01,Kevin Huerter,363,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22.0,Location.AWAY,CHARLOTTE_HORNETS,3,12,2017,4,9,4,7,0,0,2,3,4,0,0,2,9.2
21,2018-11-30,huertke01,Kevin Huerter,363,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],21.2,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,5,1518,2,3,1,2,0,0,1,5,4,2,0,3,7.3
22,2018-12-03,huertke01,Kevin Huerter,363,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],25.0,Location.HOME,GOLDEN_STATE_WARRIORS,9,10,1647,4,6,0,2,2,2,2,3,4,1,1,3,10.0
23,2018-12-05,huertke01,Kevin Huerter,363,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],19.6,Location.HOME,WASHINGTON_WIZARDS,29,8,1633,2,6,2,5,2,2,1,2,4,0,1,1,7.2
24,2018-12-08,huertke01,Kevin Huerter,363,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],24.4,Location.HOME,DENVER_NUGGETS,7,8,2179,3,8,2,6,0,0,0,2,4,2,1,1,8.7
25,2018-12-12,huertke01,Kevin Huerter,363,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23.7,Location.AWAY,DALLAS_MAVERICKS,6,19,2187,6,11,4,6,3,4,0,1,1,1,1,4,10.4
26,2018-12-14,huertke01,Kevin Huerter,363,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],32.9,Location.AWAY,BOSTON_CELTICS,1,19,1866,7,10,5,8,0,0,0,2,3,3,1,5,15.4
27,2018-12-16,huertke01,Kevin Huerter,363,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.199999999999999,Location.AWAY,BROOKLYN_NETS,2,4,1669,2,4,0,1,0,0,1,0,2,0,0,1,1.9
28,2018-12-18,huertke01,Kevin Huerter,363,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],21.8,Location.HOME,WASHINGTON_WIZARDS,29,13,2110,4,12,3,8,2,2,0,4,2,1,0,2,7.0
29,2018-12-21,huertke01,Kevin Huerter,363,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],21.7,Location.AWAY,NEW_YORK_KNICKS,19,16,2057,6,12,2,6,2,2,1,0,1,1,1,3,9.7
30,2018-12-23,huertke01,Kevin Huerter,363,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],19.4,Location.AWAY,DETROIT_PISTONS,8,8,2063,4,10,0,2,0,0,1,1,2,1,1,0,5.1
31,2018-12-26,huertke01,Kevin Huerter,363,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],13.9,Location.HOME,INDIANA_PACERS,11,3,1853,1,8,1,5,0,0,1,1,5,1,0,2,0.5
32,2018-12-28,huertke01,Kevin Huerter,363,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23.3,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,10,1512,4,10,2,7,0,0,0,4,3,1,1,2,6.0
33,2018-12-29,huertke01,Kevin Huerter,363,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],17.0,Location.HOME,CLEVELAND_CAVALIERS,5,7,1803,3,12,1,5,0,0,3,2,4,0,0,2,2.1
34,2018-12-31,huertke01,Kevin Huerter,363,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],26.0,Location.AWAY,INDIANA_PACERS,11,22,2387,8,15,6,9,0,2,0,0,2,0,1,2,12.8
35,2019-01-02,huertke01,Kevin Huerter,363,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],21.7,Location.AWAY,WASHINGTON_WIZARDS,29,12,2666,5,14,1,7,1,1,0,1,5,0,1,2,5.9
36,2019-01-04,huertke01,Kevin Huerter,363,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],13.899999999999999,Location.AWAY,MILWAUKEE_BUCKS,16,10,2012,4,10,1,5,1,2,0,2,1,1,0,3,3.1
37,2019-01-06,huertke01,Kevin Huerter,363,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],33.1,Location.HOME,MIAMI_HEAT,15,10,2173,4,16,2,7,0,0,2,6,7,2,0,3,6.7
38,2019-01-09,huertke01,Kevin Huerter,363,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],28.5,Location.AWAY,BROOKLYN_NETS,2,14,2203,6,15,0,4,2,2,2,8,3,0,0,2,9.0
39,2019-01-11,huertke01,Kevin Huerter,363,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],41.1,Location.AWAY,PHILADELPHIA_76ERS,22,29,2352,11,17,5,8,2,2,2,1,3,2,0,2,23.7
40,2019-01-13,huertke01,Kevin Huerter,363,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],20.9,Location.HOME,MILWAUKEE_BUCKS,16,11,2272,3,9,2,5,3,4,0,2,3,1,1,3,6.1
41,2019-01-15,huertke01,Kevin Huerter,363,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23.6,Location.HOME,OKLAHOMA_CITY_THUNDER,20,17,2231,6,10,5,8,0,0,1,2,4,0,0,3,12.3
42,2019-01-19,huertke01,Kevin Huerter,363,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],40.3,Location.HOME,BOSTON_CELTICS,1,18,2089,7,18,4,10,0,0,2,2,7,3,0,2,15.3
43,2019-01-26,huertke01,Kevin Huerter,363,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.699999999999999,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,3,1268,1,8,0,5,1,2,0,1,1,1,0,1,-2.8
44,2019-01-28,huertke01,Kevin Huerter,363,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22.8,Location.AWAY,LOS_ANGELES_CLIPPERS,12,5,1807,2,10,1,6,0,0,1,3,4,2,1,2,3.5
45,2019-01-30,huertke01,Kevin Huerter,363,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],29.8,Location.AWAY,SACRAMENTO_KINGS,25,11,1453,4,9,3,7,0,0,0,4,4,2,1,1,11.2
46,2019-02-01,huertke01,Kevin Huerter,363,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],26.9,Location.AWAY,UTAH_JAZZ,28,14,1739,5,10,4,7,0,0,0,2,7,0,0,0,14.5
47,2019-02-02,huertke01,Kevin Huerter,363,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],28.9,Location.AWAY,PHOENIX_SUNS,23,10,2051,4,9,2,6,0,0,2,5,5,2,0,3,10.3
48,2019-02-04,huertke01,Kevin Huerter,363,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],33.0,Location.AWAY,WASHINGTON_WIZARDS,29,19,1929,6,9,5,6,2,2,1,4,4,1,0,1,18.6
