,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2017-02-01,huestjo01,Josh Huestis,365,[<Position.POWER_FORWARD: 'POWER FORWARD'>],13.3,Location.HOME,CHICAGO_BULLS,4,7,413,3,4,1,2,0,0,2,2,1,0,0,0,8.1
1,2017-04-12,huestjo01,Josh Huestis,365,[<Position.POWER_FORWARD: 'POWER FORWARD'>],25.0,Location.HOME,DENVER_NUGGETS,7,7,1440,3,7,1,2,0,1,2,3,2,0,3,0,8.7
2,2017-10-19,huestjo01,Josh Huestis,365,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.19999999999999996,Location.HOME,NEW_YORK_KNICKS,19,0,154,0,0,0,0,0,0,1,0,0,0,0,1,-0.3
3,2017-10-21,huestjo01,Josh Huestis,365,[<Position.POWER_FORWARD: 'POWER FORWARD'>],6.0,Location.AWAY,UTAH_JAZZ,28,3,92,1,1,1,1,0,0,0,0,0,1,0,0,3.7
4,2017-10-22,huestjo01,Josh Huestis,365,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.3,Location.HOME,MINNESOTA_TIMBERWOLVES,17,0,850,0,1,0,0,0,0,0,4,1,0,2,0,1.8
5,2017-10-25,huestjo01,Josh Huestis,365,[<Position.POWER_FORWARD: 'POWER FORWARD'>],8.6,Location.HOME,INDIANA_PACERS,11,3,1540,1,5,1,4,0,0,2,1,0,1,0,1,0.0
6,2017-10-27,huestjo01,Josh Huestis,365,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.6,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,3,926,1,5,1,4,0,0,0,3,0,0,1,0,0.3
7,2017-10-28,huestjo01,Josh Huestis,365,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7.9,Location.AWAY,CHICAGO_BULLS,4,2,1022,1,5,0,3,0,0,0,2,1,0,1,1,-0.9
8,2017-10-31,huestjo01,Josh Huestis,365,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.9,Location.AWAY,MILWAUKEE_BUCKS,16,0,362,0,1,0,1,0,0,0,2,1,0,1,1,0.3
9,2017-11-07,huestjo01,Josh Huestis,365,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.0,Location.AWAY,SACRAMENTO_KINGS,25,3,538,1,1,1,1,0,0,0,0,0,0,0,0,2.7
10,2017-11-10,huestjo01,Josh Huestis,365,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.4,Location.HOME,LOS_ANGELES_CLIPPERS,12,3,960,1,1,1,1,0,0,0,2,0,1,2,2,2.5
11,2017-11-12,huestjo01,Josh Huestis,365,[<Position.POWER_FORWARD: 'POWER FORWARD'>],19.7,Location.HOME,DALLAS_MAVERICKS,6,9,1347,3,7,3,7,0,0,0,1,1,2,1,1,5.6
12,2017-11-15,huestjo01,Josh Huestis,365,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7.7,Location.HOME,CHICAGO_BULLS,4,2,616,1,5,0,2,0,0,1,0,1,1,0,0,0.5
13,2017-11-17,huestjo01,Josh Huestis,365,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.5,Location.AWAY,SAN_ANTONIO_SPURS,26,0,352,0,1,0,1,0,0,0,0,1,0,0,0,-0.8
14,2017-11-20,huestjo01,Josh Huestis,365,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.2,Location.AWAY,NEW_ORLEANS_PELICANS,18,0,125,0,1,0,1,0,0,0,1,0,0,0,0,-0.4
15,2017-11-22,huestjo01,Josh Huestis,365,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7.6,Location.HOME,GOLDEN_STATE_WARRIORS,9,2,1055,0,3,0,3,2,4,0,3,0,0,1,1,-0.3
16,2017-11-24,huestjo01,Josh Huestis,365,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.4,Location.HOME,DETROIT_PISTONS,8,0,769,0,2,0,1,0,0,1,1,0,0,0,1,-1.4
17,2017-11-25,huestjo01,Josh Huestis,365,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4.2,Location.AWAY,DALLAS_MAVERICKS,6,3,147,1,1,1,1,0,0,0,1,0,0,0,0,2.2
18,2017-12-01,huestjo01,Josh Huestis,365,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4.2,Location.HOME,MINNESOTA_TIMBERWOLVES,17,3,793,1,4,1,2,0,0,1,0,0,0,0,0,0.5
19,2017-12-03,huestjo01,Josh Huestis,365,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4.9,Location.HOME,SAN_ANTONIO_SPURS,26,2,427,1,2,0,1,0,2,1,1,1,0,0,1,0.5
20,2017-12-09,huestjo01,Josh Huestis,365,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4.0,Location.AWAY,MEMPHIS_GRIZZLIES,14,5,409,2,2,1,1,0,0,0,0,0,0,0,1,3.4
21,2017-12-11,huestjo01,Josh Huestis,365,[<Position.POWER_FORWARD: 'POWER FORWARD'>],6.6,Location.HOME,CHARLOTTE_HORNETS,3,5,791,2,3,1,2,0,0,1,2,0,0,0,2,3.0
22,2017-12-13,huestjo01,Josh Huestis,365,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.2,Location.AWAY,INDIANA_PACERS,11,5,976,2,3,1,2,0,0,1,0,0,1,0,0,4.6
23,2017-12-15,huestjo01,Josh Huestis,365,[<Position.POWER_FORWARD: 'POWER FORWARD'>],14.8,Location.AWAY,PHILADELPHIA_76ERS,22,7,1173,3,3,1,1,0,1,0,4,0,0,1,0,7.2
24,2017-12-16,huestjo01,Josh Huestis,365,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.7000000000000002,Location.AWAY,NEW_YORK_KNICKS,19,0,819,0,1,0,0,0,0,1,0,1,0,0,1,-0.3
25,2017-12-18,huestjo01,Josh Huestis,365,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7.2,Location.HOME,DENVER_NUGGETS,7,3,796,1,4,1,3,0,0,1,0,0,0,1,0,1.2
26,2017-12-20,huestjo01,Josh Huestis,365,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.2,Location.HOME,UTAH_JAZZ,28,0,1065,0,1,0,0,0,0,0,1,0,0,1,1,-1.9
27,2017-12-22,huestjo01,Josh Huestis,365,[<Position.POWER_FORWARD: 'POWER FORWARD'>],20.3,Location.HOME,ATLANTA_HAWKS,0,5,1472,2,5,1,2,0,0,1,3,1,1,2,0,6.6
28,2017-12-23,huestjo01,Josh Huestis,365,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4.6,Location.AWAY,UTAH_JAZZ,28,2,905,1,3,0,2,0,0,1,2,0,0,0,1,0.2
29,2017-12-25,huestjo01,Josh Huestis,365,[<Position.POWER_FORWARD: 'POWER FORWARD'>],14.1,Location.HOME,HOUSTON_ROCKETS,10,3,1068,1,3,1,3,0,0,1,2,1,0,2,0,4.3
30,2017-12-27,huestjo01,Josh Huestis,365,[<Position.POWER_FORWARD: 'POWER FORWARD'>],16.8,Location.HOME,TORONTO_RAPTORS,27,6,731,2,3,1,2,1,2,1,3,0,0,2,0,6.5
31,2017-12-29,huestjo01,Josh Huestis,365,[<Position.POWER_FORWARD: 'POWER FORWARD'>],8.0,Location.HOME,MILWAUKEE_BUCKS,16,5,1671,2,4,1,3,0,0,0,0,0,0,1,0,2.5
32,2017-12-31,huestjo01,Josh Huestis,365,[<Position.POWER_FORWARD: 'POWER FORWARD'>],6.2,Location.HOME,DALLAS_MAVERICKS,6,0,1154,0,3,0,3,0,0,0,1,0,1,1,1,-1.1
33,2018-01-03,huestjo01,Josh Huestis,365,[<Position.POWER_FORWARD: 'POWER FORWARD'>],22.299999999999997,Location.AWAY,LOS_ANGELES_LAKERS,13,4,1785,2,4,0,2,0,0,1,8,1,0,2,0,6.4
34,2018-01-04,huestjo01,Josh Huestis,365,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.4,Location.AWAY,LOS_ANGELES_CLIPPERS,12,0,895,0,1,0,1,0,0,0,2,0,0,1,0,0.6
35,2018-01-07,huestjo01,Josh Huestis,365,[<Position.POWER_FORWARD: 'POWER FORWARD'>],13.1,Location.AWAY,PHOENIX_SUNS,23,2,1604,1,4,0,2,0,2,2,1,1,0,2,0,2.2
36,2018-01-09,huestjo01,Josh Huestis,365,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.1,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,0,928,0,1,0,0,0,0,0,3,1,0,0,0,0.9
37,2018-01-10,huestjo01,Josh Huestis,365,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.8,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,2,1165,1,3,0,1,0,0,1,3,0,0,1,0,2.2
38,2018-01-13,huestjo01,Josh Huestis,365,[<Position.POWER_FORWARD: 'POWER FORWARD'>],14.4,Location.AWAY,CHARLOTTE_HORNETS,3,3,1041,1,2,1,2,0,0,0,2,0,2,1,0,4.9
39,2018-01-15,huestjo01,Josh Huestis,365,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.0,Location.HOME,SACRAMENTO_KINGS,25,0,1046,0,1,0,1,0,0,0,5,0,1,0,0,1.8
40,2018-01-17,huestjo01,Josh Huestis,365,[<Position.POWER_FORWARD: 'POWER FORWARD'>],15.600000000000001,Location.HOME,LOS_ANGELES_LAKERS,13,4,884,2,4,0,2,0,0,3,5,0,0,1,1,4.9
